Country,country_code,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995
Denmark,DNK,88,88,90,91,92,91,90,93.9208,93,93,93,94,95,95,95,95,95,95,98,100,100,99,93.3,93.2
New Zealand,NZL,87,89,90,91,91,91,90,94.62681,93,94,93,94,96,96,96,95,95,94,94,94,94,92,94.3,95.5
Finland,FIN,85,85,89,90,89,89,90,94.03927,92,89,90,94,96,96,97,97,97,99,100,98,96,95,90.5,91.2
Singapore,SGP,85,84,84,85,84,86,87,91.66839,93,92,92,93,94,94,93,94,93,92,91,91,91,87,88,92.6
Sweden,SWE,85,84,88,89,87,89,88,92.98488,92,92,93,93,92,92,92,93,93,90,94,94,95,95,90.8,88.7
Switzerland,CHE,85,85,86,86,86,85,86,88.01674,87,90,90,90,91,91,91,88,85,84,86,89,89,86,87.6,87.6
Norway,NOR,84,85,85,88,86,86,85,89.89854,86,86,79,87,88,89,89,88,85,86,91,89,90,89,88.7,86.1
Netherlands,NLD,82,82,83,84,83,83,84,88.94497,88,89,89,90,87,86,87,89,90,88,89,90,90,90,87.1,86.9
Canada,CAN,81,82,82,83,81,81,84,86.72457,89,87,87,87,85,84,85,87,90,89,92,92,92,91,89.6,88.7
Luxembourg,LUX,81,82,81,85,82,80,80,85.0703,85,82,83,84,86,85,84,87,90,87,86,88,87,86,0,0
Germany,DEU,80,81,81,81,79,78,79,80.46144,79,80,79,78,80,82,82,77,73,74,76,80,79,82,82.7,81.4
United Kingdom,GBR,80,82,81,81,78,76,74,77.75084,76,77,77,84,86,86,86,87,87,83,87,86,87,82,84.4,85.7
Australia,AUS,77,77,79,79,80,81,85,88.44156,87,87,87,86,87,88,88,88,86,85,83,87,87,89,86,88
Austria,AUT,76,75,75,76,72,69,69,77.86903,79,79,81,81,86,87,84,80,78,78,77,76,75,76,75.9,71.3
Hong Kong,HKG,76,77,77,75,74,75,77,83.89815,84,82,81,83,83,83,80,80,82,79,77,77,78,73,70.1,71.2
Iceland,ISL,76,77,78,79,79,78,82,82.74027,85,87,89,92,96,97,95,96,94,92,91,92,93,0,0,0
Belgium,BEL,75,75,77,77,76,75,75,74.87431,71,71,73,71,73,74,75,76,71,66,61,53,54,53,68.4,68.5
Estonia,EST,73,71,70,70,69,68,64,63.53611,65,66,66,65,67,64,60,55,56,56,57,57,57,0,0,0
Ireland,IRL,73,74,73,75,74,72,69,75.36039,80,80,77,75,74,74,75,75,69,75,72,77,82,83,84.5,85.7
Japan,JPN,73,73,72,75,76,74,74,80.409,78,77,73,75,76,73,69,70,71,71,64,60,58,66,70.5,67.2
France,FRA,72,70,69,70,69,71,71,70.05064,68,69,69,73,74,75,71,69,63,67,67,66,67,67,69.6,70
United States of America,USA,71,75,74,76,74,73,73,71.35683,71,75,73,72,73,76,75,75,77,76,78,75,75,76,76.6,77.9
United Arab Emirates,ARE,70,71,66,70,70,69,68,68.22888,63,65,59,57,62,62,61,52,0,0,0,0,0,0,0,0
Uruguay,URY,70,70,71,74,73,73,72,70.4446,69,67,69,67,64,59,62,55,51,51,0,44,43,41,0,0
Barbados,BRB,68,68,61,,74,75,76,77.73902,78,74,70,69,67,69,73,0,0,0,0,0,0,0,0,0
Bhutan,BTN,68,67,65,65,65,63,63,57.42364,57,50,52,50,60,0,0,0,0,0,0,0,0,0,0,0
Chile,CHL,67,67,66,70,73,71,72,72.13856,72,67,69,70,73,73,74,74,75,75,74,69,68,61,68,79.4
Seychelles,SYC,66,60,,55,55,54,52,48.2171,48,48,48,45,36,40,44,0,0,0,0,0,0,0,0,0
Bahamas,BHS,65,65,66,,71,71,71,72.89454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Portugal,PRT,64,63,62,64,63,62,63,60.97609,60,58,61,65,66,65,63,66,63,63,64,67,65,70,65.3,55.6
Brunei Darussalam,BRN,63,62,58,,,60,55,52.07397,55,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taiwan,TWN,63,63,61,62,61,61,61,61.36312,58,56,57,57,59,59,56,57,56,59,55,56,53,50,49.8,50.8
Qatar,QAT,62,63,61,71,69,68,68,71.55269,77,70,65,60,60,59,52,56,0,0,0,0,0,0,0,0
Botswana,BWA,61,61,60,63,63,64,65,60.77882,58,56,58,54,56,59,60,57,64,60,60,61,61,0,0,0
Israel,ISR,61,62,64,61,60,61,60,58.0688,61,61,60,61,59,63,64,70,73,76,66,68,71,80,77.1,0
Poland,POL,60,60,62,63,61,60,58,54.82418,53,50,46,42,37,34,35,36,40,41,41,42,46,51,55.7,0
Slovenia,SVN,60,61,61,60,58,57,61,58.70487,64,66,67,66,64,61,60,59,60,52,55,60,0,0,0,0
Cyprus,CYP,59,57,55,61,63,63,66,62.65644,63,66,64,53,56,57,54,61,0,0,0,0,0,0,0,0
Czech Republic,CZE,59,57,55,56,51,48,49,43.68084,46,49,52,52,48,43,42,39,37,39,43,46,48,52,53.7,0
Lithuania,LTU,59,59,59,59,58,57,54,47.51965,50,49,46,48,48,48,46,47,48,48,41,38,0,0,0,0
Georgia,GEO,58,56,57,52,52,49,52,41.32969,38,41,39,34,28,23,20,18,24,0,0,23,0,0,0,0
Latvia,LVA,58,58,57,56,55,53,49,41.943,43,45,50,48,47,42,40,38,37,34,34,34,27,0,0,0
Saint Vincent and the Grenadines,VCT,58,58,60,,62,62,62,57.61158,0,64,65,61,0,0,0,0,0,0,0,0,0,0,0,0
Spain,ESP,58,57,58,58,60,59,65,62.296,61,61,65,67,68,70,71,69,71,70,70,66,61,59,43.1,43.5
Cabo Verde,CPV,57,55,59,55,57,58,60,55.24542,51,51,51,49,0,0,0,0,0,0,0,0,0,0,0,0
Dominica,DMA,57,57,59,,58,58,58,51.7456,52,59,60,56,45,0,0,0,0,0,0,0,0,0,0,0
"Korea, South",KOR,57,54,53,54,55,55,56,53.56394,54,55,56,51,51,50,45,43,45,42,40,38,42,43,50.2,42.9
Costa Rica,CRI,56,59,58,55,54,53,54,47.98095,53,53,51,50,41,42,49,43,45,45,54,51,56,65,0,0
Rwanda,RWA,56,55,54,54,49,53,53,49.83419,40,33,30,28,25,31,0,0,0,0,0,0,0,0,0,0
Saint Lucia,LCA,55,55,60,,71,71,71,70.18194,0,70,71,68,0,0,0,0,0,0,0,0,0,0,0,0
Malta,MLT,54,56,55,60,55,56,57,55.92464,56,52,58,58,64,66,68,0,0,0,0,0,0,0,0,0
Namibia,NAM,53,51,52,53,49,48,48,44.2965,44,45,45,45,41,43,41,47,57,54,54,53,53,0,0,0
Grenada,GRD,52,52,56,,,,,0,0,0,0,34,35,0,0,0,0,0,0,0,0,0,0,0
Italy,ITA,52,50,47,44,43,43,42,39.06913,39,43,48,52,49,50,48,53,52,55,46,47,46,50,34.2,29.9
Oman,OMN,52,44,45,45,45,47,47,48.34576,53,55,55,47,54,63,61,63,0,0,0,0,0,0,0,0
Mauritius,MUS,51,50,54,53,54,52,57,50.67148,54,54,55,47,51,42,41,44,45,45,47,49,50,0,0,0
Slovakia,SVK,50,50,51,51,50,47,46,39.71617,43,45,50,49,47,43,40,37,37,37,35,37,39,0,0,0
Jordan,JOR,49,48,48,53,49,45,48,44.85752,47,50,51,47,53,57,53,46,45,49,46,44,47,0,48.9,0
Saudi Arabia,SAU,49,49,46,52,49,46,44,43.86654,47,43,35,34,33,34,34,45,0,0,0,0,0,0,0,0
Croatia,HRV,48,49,49,51,48,48,46,40.34245,41,41,44,41,34,34,35,37,38,39,37,27,0,0,0,0
Cuba,CUB,47,47,47,47,46,46,48,41.63939,37,44,43,42,35,38,37,46,0,0,0,0,0,0,0,0
Malaysia,MYS,47,47,49,50,52,50,49,43.07416,44,45,51,51,50,51,50,52,49,50,48,51,53,50,53.2,52.8
Romania,ROU,47,48,48,46,43,43,44,36.12146,37,38,38,37,31,30,29,28,26,28,29,33,30,34,0,0
Hungary,HUN,46,45,48,51,54,54,55,45.55448,47,51,51,53,52,50,48,48,49,53,52,52,50,52,48.6,41.2
Sao Tome and Principe,STP,46,46,46,42,42,42,42,29.86329,30,28,27,27,0,0,0,0,0,0,0,0,0,0,0,0
Vanuatu,VUT,46,43,,,,,,35.29686,36,32,29,31,0,0,0,0,0,0,0,0,0,0,0,0
