Country,Proportion of undernourished in the population (%);1999,Proportion of undernourished in the population (%);2000,Proportion of undernourished in the population (%);2001,Proportion of undernourished in the population (%);2004,Proportion of undernourished in the population (%);2005,Proportion of undernourished in the population (%);2006,Proportion of undernourished in the population (%);2009,Proportion of undernourished in the population (%);2010,Proportion of undernourished in the population (%);2011,Proportion of undernourished in the population (%);2016,Proportion of undernourished in the population (%);2017,Proportion of undernourished in the population (%);2018,"Prevalence of wasting in
 children under five years (%);1998","Prevalence of wasting in
 children under five years (%);1999","Prevalence of wasting in
 children under five years (%);2000","Prevalence of wasting in
 children under five years (%);2001","Prevalence of wasting in
 children under five years (%);2002","Prevalence of wasting in
 children under five years (%);2003","Prevalence of wasting in
 children under five years (%);2004","Prevalence of wasting in
 children under five years (%);2005","Prevalence of wasting in
 children under five years (%);2006","Prevalence of wasting in
 children under five years (%);2007","Prevalence of wasting in
 children under five years (%);2008","Prevalence of wasting in
 children under five years (%);2009","Prevalence of wasting in
 children under five years (%);2010","Prevalence of wasting in
 children under five years (%);2011","Prevalence of wasting in
 children under five years (%);2012","Prevalence of wasting in
 children under five years (%);2014","Prevalence of wasting in
 children under five years (%);2015","Prevalence of wasting in
 children under five years (%);2016","Prevalence of wasting in
 children under five years (%);2017","Prevalence of wasting in
 children under five years (%);2018","Prevalence of stunting in
 children under five years (%);1998","Prevalence of stunting in
 children under five years (%);1999","Prevalence of stunting in
 children under five years (%);2000","Prevalence of stunting in
 children under five years (%);2001","Prevalence of stunting in
 children under five years (%);2002","Prevalence of stunting in
 children under five years (%);2003","Prevalence of stunting in
 children under five years (%);2004","Prevalence of stunting in
 children under five years (%);2005","Prevalence of stunting in
 children under five years (%);2006","Prevalence of stunting in
 children under five years (%);2007","Prevalence of stunting in
 children under five years (%);2008","Prevalence of stunting in
 children under five years (%);2009","Prevalence of stunting in
 children under five years (%);2010","Prevalence of stunting in
 children under five years (%);2011","Prevalence of stunting in
 children under five years (%);2012","Prevalence of stunting in
 children under five years (%);2014","Prevalence of stunting in
 children under five years (%);2015","Prevalence of stunting in
 children under five years (%);2016","Prevalence of stunting in
 children under five years (%);2017","Prevalence of stunting in
 children under five years (%);2018",Hunger Index;1998,Hunger Index;1999,Hunger Index;2000,Hunger Index;2001,Hunger Index;2002,Hunger Index;2003,Hunger Index;2004,Hunger Index;2005,Hunger Index;2006,Hunger Index;2007,Hunger Index;2008,Hunger Index;2009,Hunger Index;2010,Hunger Index;2011,Hunger Index;2012,Hunger Index;2014,Hunger Index;2015,Hunger Index;2016,Hunger Index;2017,Hunger Index;2018
Afghanistan,46.1,46.1,46.1,33.2,33.2,33.2,22.1,22.1,22.1,29.8,29.8,29.8,14,14,14,14,14,8.6,8.6,8.6,8.6,8.6,8.5,8.5,8.5,8.5,8.5,8.1,8.1,8.1,8.1,8.1,54,54,54,54,54,59.3,59.3,59.3,59.3,59.3,49.5,49.5,49.5,49.5,49.5,43.6,43.6,43.6,43.6,43.6,52.1,52.1,52.1,52.1,52.1,43.2,43.2,43.2,43.2,43.2,34.3,34.3,34.3,34.3,34.3,33.8,33.8,33.8,33.8,33.8
Albania,7.2,7.2,7.2,10.9,10.9,10.9,7.4,7.4,7.4,6.2,6.2,6.2,12.2,12.2,12.2,12.2,12.2,7.3,7.3,7.3,7.3,7.3,9.6,9.6,9.6,9.6,9.6,1.6,1.6,1.6,1.6,1.6,39.2,39.2,39.2,39.2,39.2,26.7,26.7,26.7,26.7,26.7,23.2,23.2,23.2,23.2,23.2,11.3,11.3,11.3,11.3,11.3,21.5,21.5,21.5,21.5,21.5,16.6,16.6,16.6,16.6,16.6,15.1,15.1,15.1,15.1,15.1,7,7,7,7,7
Algeria,10.7,10.7,10.7,8.8,8.8,8.8,6.3,6.3,6.3,3.9,3.9,3.9,3.1,3.1,3.1,3.1,3.1,4,4,4,4,4,4.2,4.2,4.2,4.2,4.2,5,5,5,5,5,23.6,23.6,23.6,23.6,23.6,15.9,15.9,15.9,15.9,15.9,12.8,12.8,12.8,12.8,12.8,15.3,15.3,15.3,15.3,15.3,15.6,15.6,15.6,15.6,15.6,12.9,12.9,12.9,12.9,12.9,10.6,10.6,10.6,10.6,10.6,10.3,10.3,10.3,10.3,10.3
Angola,71.5,71.5,71.5,54.8,54.8,54.8,40.4,40.4,40.4,25,25,25,11.9,11.9,11.9,11.9,11.9,8.2,8.2,8.2,8.2,8.2,7.2,7.2,7.2,7.2,7.2,4.9,4.9,4.9,4.9,4.9,38.2,38.2,38.2,38.2,38.2,29.2,29.2,29.2,29.2,29.2,26.2,26.2,26.2,26.2,26.2,37.6,37.6,37.6,37.6,37.6,65.1,65.1,65.1,65.1,65.1,50.3,50.3,50.3,50.3,50.3,38.6,38.6,38.6,38.6,38.6,29.8,29.8,29.8,29.8,29.8
Argentina,3.5,3.5,3.5,4.7,4.7,4.7,4,4,4,4.6,4.6,4.6,1.7,1.7,1.7,1.7,1.7,1.2,1.2,1.2,1.2,1.2,1.6,1.6,1.6,1.6,1.6,1.5,1.5,1.5,1.5,1.5,9.6,9.6,9.6,9.6,9.6,8.2,8.2,8.2,8.2,8.2,7.9,7.9,7.9,7.9,7.9,7.3,7.3,7.3,7.3,7.3,6.6,6.6,6.6,6.6,6.6,6.2,6.2,6.2,6.2,6.2,5.9,5.9,5.9,5.9,5.9,5.4,5.4,5.4,5.4,5.4
Armenia,23.8,23.8,23.8,7.8,7.8,7.8,5.5,5.5,5.5,4.3,4.3,4.3,2.5,2.5,2.5,2.5,2.5,5.4,5.4,5.4,5.4,5.4,4.1,4.1,4.1,4.1,4.1,4.5,4.5,4.5,4.5,4.5,17.3,17.3,17.3,17.3,17.3,17.9,17.9,17.9,17.9,17.9,20.9,20.9,20.9,20.9,20.9,9.4,9.4,9.4,9.4,9.4,18.3,18.3,18.3,18.3,18.3,12.7,12.7,12.7,12.7,12.7,11.3,11.3,11.3,11.3,11.3,7.8,7.8,7.8,7.8,7.8
Azerbaijan,23,23,23,5.5,5.5,5.5,42.5,42.5,42.5,42.5,42.5,42.5,9,9,9,9,9,6.8,6.8,6.8,6.8,6.8,6.6,6.6,6.6,6.6,6.6,3.6,3.6,3.6,3.6,3.6,24.2,24.2,24.2,24.2,24.2,26.5,26.5,26.5,26.5,26.5,16.4,16.4,16.4,16.4,16.4,11.3,11.3,11.3,11.3,11.3,27.5,27.5,27.5,27.5,27.5,17.3,17.3,17.3,17.3,17.3,12.1,12.1,12.1,12.1,12.1,7.4,7.4,7.4,7.4,7.4
Bahrain,—,—,—,—,—,—,—,—,—,—,—,—,3.2,3.2,3.2,3.2,3.2,2.7,2.7,2.7,2.7,2.7,2.3,2.3,2.3,2.3,2.3,2,2,2,2,2,2.3,2.3,2.3,2.3,2.3,2,2,2,2,2,1.7,1.7,1.7,1.7,1.7,2.3,2.3,2.3,2.3,2.3,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Bangladesh,20.8,20.8,20.8,16.6,16.6,16.6,16.9,16.9,16.9,14.7,14.7,14.7,12.5,12.5,12.5,12.5,12.5,11.8,11.8,11.8,11.8,11.8,15.7,15.7,15.7,15.7,15.7,14.4,14.4,14.4,14.4,14.4,51.1,51.1,51.1,51.1,51.1,45.9,45.9,45.9,45.9,45.9,41.3,41.3,41.3,41.3,41.3,36.2,36.2,36.2,36.2,36.2,36.1,36.1,36.1,36.1,36.1,30.7,30.7,30.7,30.7,30.7,30.3,30.3,30.3,30.3,30.3,25.8,25.8,25.8,25.8,25.8
Belarus,42.5,42.5,42.5,3,3,3,42.5,42.5,42.5,42.5,42.5,42.5,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,1.9,1.9,1.9,1.9,1.9,1.7,1.7,1.7,1.7,1.7,6.2,6.2,6.2,6.2,6.2,4.5,4.5,4.5,4.5,4.5,3.7,3.7,3.7,3.7,3.7,2.8,2.8,2.8,2.8,2.8,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
