WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
512,AFG,NGDP_R,Afghanistan,"Gross domestic product, constant prices",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,182.842,198.736,200.069,223.737,235.731,267.177,277.498,334.621,362.857,386.368,440.336,465.358,477.909,482.629,493.073,506.215,519.883,535.479,554.101,576.265,602.197,632.307,667.084
512,AFG,NGDP_RPCH,Afghanistan,"Gross domestic product, constant prices",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,8.692,0.671,11.83,5.361,13.34,3.863,20.585,8.438,6.479,13.968,5.683,2.697,0.988,2.164,2.665,2.7,3,3.478,4,4.5,5,5.5
512,AFG,NGDP,Afghanistan,"Gross domestic product, current prices",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,178.756,220.013,246.21,304.926,345.817,427.495,517.509,607.227,711.759,836.222,"1,033.59","1,116.83","1,183.04","1,226.57","1,318.48","1,377.54","1,421.41","1,502.47","1,624.89","1,770.34","1,942.73","2,142.06","2,373.04"
512,AFG,NGDPD,Afghanistan,"Gross domestic product, current prices",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4.367,4.553,5.146,6.167,6.925,8.556,10.297,12.066,15.325,17.89,20.293,20.17,20.616,20.057,19.428,20.235,19.63,18.734,18.861,19.998,21.54,23.237,25.19
512,AFG,PPPGDP,Afghanistan,"Gross domestic product, current prices",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,18.835,20.852,21.557,24.858,26.983,31.404,33.252,40.403,44.323,48.18,55.963,60.181,62.948,64.231,66.301,69.35,72.958,76.486,80.717,85.678,91.329,97.814,105.271
512,AFG,NGDP_D,Afghanistan,"Gross domestic product, deflator",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,97.765,110.706,123.063,136.288,146.7,160.005,186.491,181.467,196.154,216.432,234.728,239.993,247.545,254.144,267.4,272.125,273.41,280.585,293.247,307.209,322.606,338.768,355.734
512,AFG,NGDPRPC,Afghanistan,"Gross domestic product per capita, constant prices",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"8,235.10","8,597.26","8,329.72","8,999.55","9,197.00","10,037.91","10,166.97","11,948.89","12,597.83","13,005.25","14,344.61","14,665.42","14,589.07","14,305.84","14,227.64","14,247.51","14,433.15","14,666.64","14,975.71","15,361.26","15,835.46","16,405.41","17,079.84"
512,AFG,NGDPRPPPPC,Afghanistan,"Gross domestic product per capita, constant prices",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"1,026.92","1,072.08","1,038.72","1,122.25","1,146.87","1,251.73","1,267.82","1,490.03","1,570.95","1,621.76","1,788.78","1,828.78","1,819.26","1,783.94","1,774.19","1,776.67","1,799.82","1,828.93","1,867.47","1,915.55","1,974.69","2,045.76","2,129.86"
512,AFG,NGDPPC,Afghanistan,"Gross domestic product per capita, current prices",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"8,051.07","9,517.72","10,250.79","12,265.32","13,491.99","16,061.11","18,960.53","21,683.33","24,711.15","28,147.49","33,670.81","35,195.98","36,114.49","36,357.36","38,044.70","38,770.96","39,461.65","41,152.37","43,915.86","47,191.20","51,086.18","55,576.30","60,758.77"
512,AFG,NGDPDPC,Afghanistan,"Gross domestic product per capita, current prices",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,196.683,196.954,214.23,248.049,270.189,321.441,377.256,430.867,532.072,602.183,661.087,635.635,629.332,594.513,560.601,569.531,544.983,513.108,509.759,533.089,566.416,602.884,644.95
512,AFG,PPPPC,Afghanistan,"Gross domestic product per capita, current prices",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,848.304,902.056,897.513,999.89,"1,052.75","1,179.88","1,218.29","1,442.73","1,538.81","1,621.76","1,823.09","1,896.56","1,921.60","1,903.91","1,913.11","1,951.87","2,025.47","2,094.93","2,181.53","2,283.88","2,401.60","2,537.83","2,695.34"
512,AFG,NGAP_NPGDP,Afghanistan,Output gap in percent of potential GDP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
512,AFG,PPPSH,Afghanistan,Gross domestic product based on purchasing-power-parity (PPP) share of world total,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.034,0.036,0.034,0.037,0.037,0.039,0.04,0.048,0.05,0.051,0.056,0.057,0.057,0.055,0.055,0.054,0.054,0.054,0.054,0.054,0.055,0.056,0.057
512,AFG,PPPEX,Afghanistan,Implied PPP conversion rate,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,9.491,10.551,11.421,12.267,12.816,13.613,15.563,15.029,16.059,17.356,18.469,18.558,18.794,19.096,19.886,19.864,19.483,19.644,20.131,20.663,21.272,21.899,22.542
512,AFG,NID_NGDP,Afghanistan,Total investment,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,27.243,30.103,35.354,37.051,29.492,55.856,30.226,36.507,30.269,26.407,25.34,23.093,17.46,18.481,18.381,17.611,16.951,17.378,19.03,19.106,21.227,22.591,23.312
512,AFG,NGSD_NGDP,Afghanistan,Gross national savings,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,61.151,59.719,72.57,67.277,50.337,119.246,63.994,78.094,59.698,52.981,36.204,23.405,23.246,21.387,26.772,22.348,26.09,19.248,19.197,18.996,20.624,21.265,21.742
