T04,International migrants and refugees,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
1,"Total, all countries or areas",2005,International migrant stock: Both sexes (number),190531600.0000,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
1,"Total, all countries or areas",2005,International migrant stock: Both sexes (% total population),2.9124,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
1,"Total, all countries or areas",2005,International migrant stock: Male (% total Population),2.9517,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
1,"Total, all countries or areas",2005,International migrant stock: Female (% total Population),2.8733,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
1,"Total, all countries or areas",2010,International migrant stock: Both sexes (number),220019266.0000,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
1,"Total, all countries or areas",2010,International migrant stock: Both sexes (% total population),3.1620,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
1,"Total, all countries or areas",2010,International migrant stock: Male (% total Population),3.2381,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
1,"Total, all countries or areas",2010,International migrant stock: Female (% total Population),3.0856,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
1,"Total, all countries or areas",2015,International migrant stock: Both sexes (number),247585744.0000,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
1,"Total, all countries or areas",2015,International migrant stock: Both sexes (% total population),3.3535,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
1,"Total, all countries or areas",2015,International migrant stock: Male (% total Population),3.4267,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
1,"Total, all countries or areas",2015,International migrant stock: Female (% total Population),3.2798,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
1,"Total, all countries or areas",2015,Total refugees and people in refugee-like situations (number),15097633.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
1,"Total, all countries or areas",2015,"Asylum seekers, including pending cases (number)",2343919.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
1,"Total, all countries or areas",2015,Other of concern to UNHCR (number),40518150.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
1,"Total, all countries or areas",2015,Total population of concern to UNHCR (number),57959702.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
1,"Total, all countries or areas",2017,International migrant stock: Both sexes (number),257715425.0000,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
1,"Total, all countries or areas",2017,International migrant stock: Both sexes (% total population),3.4133,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
1,"Total, all countries or areas",2017,International migrant stock: Male (% total Population),3.4944,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
1,"Total, all countries or areas",2017,International migrant stock: Female (% total Population),3.3318,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
1,"Total, all countries or areas",2017,Total refugees and people in refugee-like situations (number),18473853.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
1,"Total, all countries or areas",2017,"Asylum seekers, including pending cases (number)",2954666.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
1,"Total, all countries or areas",2017,Other of concern to UNHCR (number),45979852.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
1,"Total, all countries or areas",2017,Total population of concern to UNHCR (number),67408371.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
1,"Total, all countries or areas",2018,Total refugees and people in refugee-like situations (number),20203120.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
1,"Total, all countries or areas",2018,"Asylum seekers, including pending cases (number)",3174042.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
1,"Total, all countries or areas",2018,Other of concern to UNHCR (number),46974012.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
1,"Total, all countries or areas",2018,Total population of concern to UNHCR (number),70351174.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
2,Africa,2005,International migrant stock: Both sexes (number),15462306.0000,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
2,Africa,2005,International migrant stock: Both sexes (% total population),1.6720,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
2,Africa,2005,International migrant stock: Male (% total Population),1.8246,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
2,Africa,2005,International migrant stock: Female (% total Population),1.5204,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
2,Africa,2010,International migrant stock: Both sexes (number),17007249.0000,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
2,Africa,2010,International migrant stock: Both sexes (% total population),1.6206,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
2,Africa,2010,International migrant stock: Male (% total Population),1.7487,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
2,Africa,2010,International migrant stock: Female (% total Population),1.4932,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
2,Africa,2015,International migrant stock: Both sexes (number),23436088.0000,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
2,Africa,2015,International migrant stock: Both sexes (% total population),1.9622,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
2,Africa,2015,International migrant stock: Male (% total Population),2.0857,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
2,Africa,2015,International migrant stock: Female (% total Population),1.8391,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
2,Africa,2015,Total refugees and people in refugee-like situations (number),4493139.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
2,Africa,2015,"Asylum seekers, including pending cases (number)",1044031.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
2,Africa,2015,Other of concern to UNHCR (number),11530138.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
2,Africa,2015,Total population of concern to UNHCR (number),17067308.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
2,Africa,2017,International migrant stock: Both sexes (number),24650223.0000,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
2,Africa,2017,International migrant stock: Both sexes (% total population),1.9622,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
2,Africa,2017,International migrant stock: Male (% total Population),2.0772,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
2,Africa,2017,International migrant stock: Female (% total Population),1.8474,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
2,Africa,2017,Total refugees and people in refugee-like situations (number),6134401.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
2,Africa,2017,"Asylum seekers, including pending cases (number)",589255.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
2,Africa,2017,Other of concern to UNHCR (number),15203541.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
2,Africa,2017,Total population of concern to UNHCR (number),21927197.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
2,Africa,2018,Total refugees and people in refugee-like situations (number),6658476.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
2,Africa,2018,"Asylum seekers, including pending cases (number)",594946.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
2,Africa,2018,Other of concern to UNHCR (number),17868520.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
2,Africa,2018,Total population of concern to UNHCR (number),25121942.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
15,Northern Africa,2005,International migrant stock: Both sexes (number),1731939.0000,Excluding Sudan.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
15,Northern Africa,2005,International migrant stock: Both sexes (% total population),0.9221,Excluding Sudan.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
15,Northern Africa,2005,International migrant stock: Male (% total Population),1.0977,Excluding Sudan.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
15,Northern Africa,2005,International migrant stock: Female (% total Population),0.7448,Excluding Sudan.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
15,Northern Africa,2010,International migrant stock: Both sexes (number),1893613.0000,Excluding Sudan.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
15,Northern Africa,2010,International migrant stock: Both sexes (% total population),0.9268,Excluding Sudan.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
15,Northern Africa,2010,International migrant stock: Male (% total Population),1.0984,Excluding Sudan.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
15,Northern Africa,2010,International migrant stock: Female (% total Population),0.7541,Excluding Sudan.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
15,Northern Africa,2015,International migrant stock: Both sexes (number),2354732.0000,Excluding Sudan.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
15,Northern Africa,2015,International migrant stock: Both sexes (% total population),1.0459,Excluding Sudan.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
15,Northern Africa,2015,International migrant stock: Male (% total Population),1.2257,Excluding Sudan.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
15,Northern Africa,2015,International migrant stock: Female (% total Population),0.8645,Excluding Sudan.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
