T06,"Ratio of girls to boys in primary, secondary and tertiary education",,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
753,Eastern and South-Eastern Asia,1985,Ratio of girls to boys in primary education,0.8770,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
753,Eastern and South-Eastern Asia,1995,Ratio of girls to boys in primary education,0.9580,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
753,Eastern and South-Eastern Asia,2005,Ratio of girls to boys in primary education,0.9894,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
753,Eastern and South-Eastern Asia,2010,Ratio of girls to boys in primary education,0.9934,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
753,Eastern and South-Eastern Asia,2015,Ratio of girls to boys in primary education,0.9923,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
753,Eastern and South-Eastern Asia,2016,Ratio of girls to boys in primary education,0.9942,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
753,Eastern and South-Eastern Asia,2017,Ratio of girls to boys in primary education,0.9949,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
753,Eastern and South-Eastern Asia,1985,Ratio of girls to boys in secondary education,0.7925,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
753,Eastern and South-Eastern Asia,1995,Ratio of girls to boys in secondary education,0.8975,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
753,Eastern and South-Eastern Asia,2005,Ratio of girls to boys in secondary education,0.9853,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
753,Eastern and South-Eastern Asia,2010,Ratio of girls to boys in secondary education,1.0003,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
753,Eastern and South-Eastern Asia,2015,Ratio of girls to boys in secondary education,1.0155,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
753,Eastern and South-Eastern Asia,2016,Ratio of girls to boys in secondary education,1.0195,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
753,Eastern and South-Eastern Asia,2017,Ratio of girls to boys in secondary education,1.0178,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
753,Eastern and South-Eastern Asia,1985,Ratio of girls to boys in tertiary education,0.6005,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
753,Eastern and South-Eastern Asia,1995,Ratio of girls to boys in tertiary education,0.7367,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
753,Eastern and South-Eastern Asia,2005,Ratio of girls to boys in tertiary education,0.8967,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
753,Eastern and South-Eastern Asia,2010,Ratio of girls to boys in tertiary education,1.0225,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
753,Eastern and South-Eastern Asia,2015,Ratio of girls to boys in tertiary education,1.1363,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
753,Eastern and South-Eastern Asia,2016,Ratio of girls to boys in tertiary education,1.1567,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
753,Eastern and South-Eastern Asia,2017,Ratio of girls to boys in tertiary education,1.1589,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
747,Northern Africa and Western Asia,1985,Ratio of girls to boys in primary education,0.8184,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
