T10,Health Personnel,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
4,Afghanistan,2001,Health personnel: Physicians (number),"4,104",,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
4,Afghanistan,2001,Health personnel: Physicians (per 1000 population),0.2,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
4,Afghanistan,2001,Health personnel: Pharmacists (number),525,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
4,Afghanistan,2001,Health personnel: Pharmacists (per 1000 population),0.0,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
4,Afghanistan,2005,Health personnel: Pharmacists (number),900,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
4,Afghanistan,2005,Health personnel: Pharmacists (per 1000 population),0.0,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
4,Afghanistan,2005,Health personnel: Nurses and midwives (number),"14,930",,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
4,Afghanistan,2005,Health personnel: Nurses and midwives personnel (per 1000 population),0.6,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
4,Afghanistan,2008,Health personnel: Physicians (number),"4,834",,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
4,Afghanistan,2008,Health personnel: Physicians (per 1000 population),0.2,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
4,Afghanistan,2008,Health personnel: Dentists (number),382,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
4,Afghanistan,2008,Health personnel: Dentists (per 1000 population),0.0,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
4,Afghanistan,2008,Health personnel: Pharmacists (number),829,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
4,Afghanistan,2008,Health personnel: Pharmacists (per 1000 population),0.0,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
4,Afghanistan,2008,Health personnel: Nurses and midwives (number),"13,780",,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
4,Afghanistan,2008,Health personnel: Nurses and midwives personnel (per 1000 population),0.5,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
4,Afghanistan,2009,Health personnel: Physicians (number),"6,037",,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
4,Afghanistan,2009,Health personnel: Physicians (per 1000 population),0.2,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
4,Afghanistan,2009,Health personnel: Pharmacists (number),847,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
4,Afghanistan,2009,Health personnel: Pharmacists (per 1000 population),0.0,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
4,Afghanistan,2009,Health personnel: Nurses and midwives (number),"17,257",,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
4,Afghanistan,2009,Health personnel: Nurses and midwives personnel (per 1000 population),0.6,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
4,Afghanistan,2010,Health personnel: Physicians (number),"6,901",,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
4,Afghanistan,2010,Health personnel: Physicians (per 1000 population),0.2,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
4,Afghanistan,2010,Health personnel: Pharmacists (number),814,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
4,Afghanistan,2010,Health personnel: Pharmacists (per 1000 population),0.0,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
4,Afghanistan,2014,Health personnel: Physicians (number),"9,954",,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
4,Afghanistan,2014,Health personnel: Physicians (per 1000 population),0.3,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
4,Afghanistan,2014,Health personnel: Dentists (number),111,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
4,Afghanistan,2014,Health personnel: Dentists (per 1000 population),0.0,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
4,Afghanistan,2014,Health personnel: Pharmacists (number),"1,711",,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
4,Afghanistan,2014,Health personnel: Pharmacists (per 1000 population),0.1,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
4,Afghanistan,2014,Health personnel: Nurses and midwives (number),"10,482",,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
4,Afghanistan,2014,Health personnel: Nurses and midwives personnel (per 1000 population),0.3,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
4,Afghanistan,2015,Health personnel: Physicians (number),"9,808",,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
4,Afghanistan,2015,Health personnel: Physicians (per 1000 population),0.3,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
4,Afghanistan,2015,Health personnel: Dentists (number),123,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
4,Afghanistan,2015,Health personnel: Dentists (per 1000 population),0.0,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
4,Afghanistan,2015,Health personnel: Pharmacists (number),"1,712",,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
4,Afghanistan,2015,Health personnel: Pharmacists (per 1000 population),0.1,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
4,Afghanistan,2016,Health personnel: Physicians (number),"9,842",,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
4,Afghanistan,2016,Health personnel: Physicians (per 1000 population),0.3,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed March 2019."
