T11,Expenditure on health,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
4,Afghanistan,2005,Current health expenditure (% of GDP),9.9483,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
4,Afghanistan,2010,Current health expenditure (% of GDP),8.5697,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
4,Afghanistan,2014,Current health expenditure (% of GDP),9.5289,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
4,Afghanistan,2015,Current health expenditure (% of GDP),10.0940,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
4,Afghanistan,2016,Current health expenditure (% of GDP),10.1987,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
4,Afghanistan,2005,Domestic general government health expenditure (% of total government expenditure),3.3710,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
4,Afghanistan,2010,Domestic general government health expenditure (% of total government expenditure),2.2555,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
4,Afghanistan,2014,Domestic general government health expenditure (% of total government expenditure),1.8607,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
4,Afghanistan,2015,Domestic general government health expenditure (% of total government expenditure),2.0144,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
4,Afghanistan,2016,Domestic general government health expenditure (% of total government expenditure),2.0144,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
8,Albania,2000,Current health expenditure (% of GDP),6.7613,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
8,Albania,2005,Current health expenditure (% of GDP),6.3428,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
8,Albania,2010,Current health expenditure (% of GDP),5.0100,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
8,Albania,2014,Current health expenditure (% of GDP),6.9168,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
8,Albania,2015,Current health expenditure (% of GDP),6.8197,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
8,Albania,2016,Current health expenditure (% of GDP),6.6979,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
8,Albania,2000,Domestic general government health expenditure (% of total government expenditure),7.0700,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
8,Albania,2005,Domestic general government health expenditure (% of total government expenditure),9.6865,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
8,Albania,2010,Domestic general government health expenditure (% of total government expenditure),8.4640,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
8,Albania,2014,Domestic general government health expenditure (% of total government expenditure),9.5540,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
8,Albania,2015,Domestic general government health expenditure (% of total government expenditure),9.5081,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
8,Albania,2016,Domestic general government health expenditure (% of total government expenditure),9.5081,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
