X26,Water supply and sanitation services,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
1,"Total, all countries or areas",2005,"Safely managed drinking water sources, urban (Proportion of population with access)",86.1804,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
1,"Total, all countries or areas",2005,"Safely managed drinking water sources, rural (Proportion of population with access)",43.0323,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
1,"Total, all countries or areas",2005,"Safely managed drinking water sources, total (Proportion of population with access)",64.2425,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
1,"Total, all countries or areas",2005,"Safely managed sanitation facilities, urban (Proportion of population with access)",37.0176,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
1,"Total, all countries or areas",2005,"Safely managed sanitation facilities, rural (Proportion of population with access)",26.0720,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
1,"Total, all countries or areas",2005,"Safely managed sanitation facilities, total (Proportion of population with access)",31.4525,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
1,"Total, all countries or areas",2010,"Safely managed drinking water sources, urban (Proportion of population with access)",85.8733,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
1,"Total, all countries or areas",2010,"Safely managed drinking water sources, rural (Proportion of population with access)",45.7852,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
1,"Total, all countries or areas",2010,"Safely managed drinking water sources, total (Proportion of population with access)",66.4963,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
1,"Total, all countries or areas",2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",41.2881,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
1,"Total, all countries or areas",2010,"Safely managed sanitation facilities, rural (Proportion of population with access)",32.5330,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
1,"Total, all countries or areas",2010,"Safely managed sanitation facilities, total (Proportion of population with access)",37.0562,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
1,"Total, all countries or areas",2017,"Safely managed drinking water sources, urban (Proportion of population with access)",85.1475,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
1,"Total, all countries or areas",2017,"Safely managed drinking water sources, rural (Proportion of population with access)",53.0372,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
1,"Total, all countries or areas",2017,"Safely managed drinking water sources, total (Proportion of population with access)",70.6449,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
1,"Total, all countries or areas",2017,"Safely managed sanitation facilities, urban (Proportion of population with access)",47.0236,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
1,"Total, all countries or areas",2017,"Safely managed sanitation facilities, rural (Proportion of population with access)",42.5072,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
1,"Total, all countries or areas",2017,"Safely managed sanitation facilities, total (Proportion of population with access)",44.9838,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
15,Northern Africa,2005,"Safely managed sanitation facilities, urban (Proportion of population with access)",32.8116,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
15,Northern Africa,2005,"Safely managed sanitation facilities, total (Proportion of population with access)",20.0516,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
15,Northern Africa,2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",35.6687,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
15,Northern Africa,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",23.7565,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
15,Northern Africa,2017,"Safely managed sanitation facilities, urban (Proportion of population with access)",39.2672,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
15,Northern Africa,2017,"Safely managed sanitation facilities, total (Proportion of population with access)",28.8441,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
