T34,Net disbursements of official development assistance to recipients,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
1,"Total, all countries or areas",1975,Net official development assistance received: Bilateral  (millions of US dollars),15188.7100,Including regional aid disbursements in addition to the disbursements made to individual countries and areas.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
1,"Total, all countries or areas",1985,Net official development assistance received: Bilateral  (millions of US dollars),26347.8100,Including regional aid disbursements in addition to the disbursements made to individual countries and areas.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
1,"Total, all countries or areas",1995,Net official development assistance received: Bilateral  (millions of US dollars),48267.8400,Including regional aid disbursements in addition to the disbursements made to individual countries and areas.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
1,"Total, all countries or areas",2005,Net official development assistance received: Bilateral  (millions of US dollars),82922.8100,Including regional aid disbursements in addition to the disbursements made to individual countries and areas.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
1,"Total, all countries or areas",2010,Net official development assistance received: Bilateral  (millions of US dollars),94440.6100,Including regional aid disbursements in addition to the disbursements made to individual countries and areas.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
1,"Total, all countries or areas",2015,Net official development assistance received: Bilateral  (millions of US dollars),117371.8100,Including regional aid disbursements in addition to the disbursements made to individual countries and areas.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
1,"Total, all countries or areas",2016,Net official development assistance received: Bilateral  (millions of US dollars),116518.9200,Including regional aid disbursements in addition to the disbursements made to individual countries and areas.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
1,"Total, all countries or areas",1975,Net official development assistance received: Multilateral (millions of US dollars),3596.6300,Including regional aid disbursements in addition to the disbursements made to individual countries and areas.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
1,"Total, all countries or areas",1985,Net official development assistance received: Multilateral (millions of US dollars),5920.2400,Including regional aid disbursements in addition to the disbursements made to individual countries and areas.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
1,"Total, all countries or areas",1995,Net official development assistance received: Multilateral (millions of US dollars),11003.7200,Including regional aid disbursements in addition to the disbursements made to individual countries and areas.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
1,"Total, all countries or areas",2005,Net official development assistance received: Multilateral (millions of US dollars),25619.6100,Including regional aid disbursements in addition to the disbursements made to individual countries and areas.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
1,"Total, all countries or areas",2010,Net official development assistance received: Multilateral (millions of US dollars),37133.3300,Including regional aid disbursements in addition to the disbursements made to individual countries and areas.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
1,"Total, all countries or areas",2015,Net official development assistance received: Multilateral (millions of US dollars),35367.7200,Including regional aid disbursements in addition to the disbursements made to individual countries and areas.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
1,"Total, all countries or areas",2016,Net official development assistance received: Multilateral (millions of US dollars),40492.5000,Including regional aid disbursements in addition to the disbursements made to individual countries and areas.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
1,"Total, all countries or areas",1975,Net official development assistance received: Total (millions of US dollars),18785.3400,Including regional aid disbursements in addition to the disbursements made to individual countries and areas.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
1,"Total, all countries or areas",1985,Net official development assistance received: Total (millions of US dollars),32268.0500,Including regional aid disbursements in addition to the disbursements made to individual countries and areas.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
1,"Total, all countries or areas",1995,Net official development assistance received: Total (millions of US dollars),59271.5600,Including regional aid disbursements in addition to the disbursements made to individual countries and areas.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
