[T24.],Land,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
1,"Total, all countries or areas",2005,Land area (thousand hectares),"13,010,426",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
1,"Total, all countries or areas",2005,Arable land (thousand hectares),"1,405,868",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
1,"Total, all countries or areas",2005,Permanent crops (thousand hectares),"148,343",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
1,"Total, all countries or areas",2005,Forest cover (thousand hectares),"4,032,743",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
1,"Total, all countries or areas",2005,Arable land (% of total land area),10.8,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
1,"Total, all countries or areas",2005,Permanent crops (% of total land area),1.1,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
1,"Total, all countries or areas",2005,Forest cover (% of total land area),31.0,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
1,"Total, all countries or areas",2005,Important sites for terrestrial biodiversity protected (% of total sites protected),40.10,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCWC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, May 2018."
1,"Total, all countries or areas",2010,Land area (thousand hectares),"13,008,350",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
1,"Total, all countries or areas",2010,Arable land (thousand hectares),"1,388,167",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
1,"Total, all countries or areas",2010,Permanent crops (thousand hectares),"159,209",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
1,"Total, all countries or areas",2010,Forest cover (thousand hectares),"4,015,673",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
1,"Total, all countries or areas",2010,Arable land (% of total land area),10.7,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
1,"Total, all countries or areas",2010,Permanent crops (% of total land area),1.2,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
1,"Total, all countries or areas",2010,Forest cover (% of total land area),30.9,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
1,"Total, all countries or areas",2010,Important sites for terrestrial biodiversity protected (% of total sites protected),44.37,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCWC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, May 2018."
1,"Total, all countries or areas",2016,Land area (thousand hectares),"13,008,757",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
1,"Total, all countries or areas",2016,Arable land (thousand hectares),"1,423,794",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
1,"Total, all countries or areas",2016,Permanent crops (thousand hectares),"166,201",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
1,"Total, all countries or areas",2016,Forest cover (thousand hectares),"3,995,825",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
1,"Total, all countries or areas",2016,Arable land (% of total land area),10.9,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
1,"Total, all countries or areas",2016,Permanent crops (% of total land area),1.3,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
1,"Total, all countries or areas",2016,Forest cover (% of total land area),30.7,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
1,"Total, all countries or areas",2016,Important sites for terrestrial biodiversity protected (% of total sites protected),46.58,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCWC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, May 2018."
1,"Total, all countries or areas",2018,Important sites for terrestrial biodiversity protected (% of total sites protected),46.65,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCWC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, May 2018."
2,Africa,2005,Land area (thousand hectares),"2,964,823",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
2,Africa,2005,Arable land (thousand hectares),"216,298",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
2,Africa,2005,Permanent crops (thousand hectares),"30,844",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
2,Africa,2005,Forest cover (thousand hectares),"654,679",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
2,Africa,2005,Arable land (% of total land area),7.3,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
2,Africa,2005,Permanent crops (% of total land area),1.0,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
2,Africa,2005,Forest cover (% of total land area),22.1,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
2,Africa,2010,Land area (thousand hectares),"2,964,894",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
2,Africa,2010,Arable land (thousand hectares),"226,601",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
2,Africa,2010,Permanent crops (thousand hectares),"33,026",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
2,Africa,2010,Forest cover (thousand hectares),"638,282",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
2,Africa,2010,Arable land (% of total land area),7.6,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
2,Africa,2010,Permanent crops (% of total land area),1.1,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
2,Africa,2010,Forest cover (% of total land area),21.5,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
2,Africa,2016,Land area (thousand hectares),"2,964,921",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
2,Africa,2016,Arable land (thousand hectares),"234,952",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
2,Africa,2016,Permanent crops (thousand hectares),"33,927",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
2,Africa,2016,Forest cover (thousand hectares),"621,267",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
2,Africa,2016,Arable land (% of total land area),7.9,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
2,Africa,2016,Permanent crops (% of total land area),1.1,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
2,Africa,2016,Forest cover (% of total land area),21.0,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
15,Northern Africa,2005,Land area (thousand hectares),"838,039",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
15,Northern Africa,2005,Arable land (thousand hectares),"41,430",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
15,Northern Africa,2005,Permanent crops (thousand hectares),"5,310",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
15,Northern Africa,2005,Forest cover (thousand hectares),"36,954",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
15,Northern Africa,2005,Arable land (% of total land area),4.9,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
15,Northern Africa,2005,Permanent crops (% of total land area),0.6,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
15,Northern Africa,2005,Forest cover (% of total land area),4.4,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
15,Northern Africa,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),21.13,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCWC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, May 2018."
15,Northern Africa,2010,Land area (thousand hectares),"838,039",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
15,Northern Africa,2010,Arable land (thousand hectares),"42,525",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
15,Northern Africa,2010,Permanent crops (thousand hectares),"5,806",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
15,Northern Africa,2010,Forest cover (thousand hectares),"36,813",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
15,Northern Africa,2010,Arable land (% of total land area),5.1,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
15,Northern Africa,2010,Permanent crops (% of total land area),0.7,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
15,Northern Africa,2010,Forest cover (% of total land area),4.4,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
