,Year,Series,Value
Albania,2007,"Index of industrial production: Total industry - Mining; manufacturing; electricity, gas and water (Index base: 2005=100)",118.5
Albania,2008,"Index of industrial production: Total industry - Mining; manufacturing; electricity, gas and water (Index base: 2005=100)",142.7
Albania,2009,"Index of industrial production: Total industry - Mining; manufacturing; electricity, gas and water (Index base: 2005=100)",148.3
Albania,2010,"Index of industrial production: Total industry - Mining; manufacturing; electricity, gas and water (Index base: 2005=100)",200.2
Albania,2011,"Index of industrial production: Total industry - Mining; manufacturing; electricity, gas and water (Index base: 2005=100)",237.6
Albania,2012,"Index of industrial production: Total industry - Mining; manufacturing; electricity, gas and water (Index base: 2005=100)",273.4
Albania,2013,"Index of industrial production: Total industry - Mining; manufacturing; electricity, gas and water (Index base: 2005=100)",349.1
Albania,2014,"Index of industrial production: Total industry - Mining; manufacturing; electricity, gas and water (Index base: 2005=100)",355.3
Albania,2007,Index of industrial production: Mining (Index base: 2005=100),136.5
Albania,2008,Index of industrial production: Mining (Index base: 2005=100),156.7
Albania,2009,Index of industrial production: Mining (Index base: 2005=100),153.1
Albania,2010,Index of industrial production: Mining (Index base: 2005=100),241.7
Albania,2011,Index of industrial production: Mining (Index base: 2005=100),361.4
Albania,2012,Index of industrial production: Mining (Index base: 2005=100),477
Albania,2013,Index of industrial production: Mining (Index base: 2005=100),699.8
Albania,2014,Index of industrial production: Mining (Index base: 2005=100),695.1
Albania,2007,Index of industrial production: Manufacturing (Index base: 2005=100),113.3
Albania,2008,Index of industrial production: Manufacturing (Index base: 2005=100),134.2
Albania,2009,Index of industrial production: Manufacturing (Index base: 2005=100),153.9
Albania,2010,Index of industrial production: Manufacturing (Index base: 2005=100),186.6
Albania,2011,Index of industrial production: Manufacturing (Index base: 2005=100),204.1
Albania,2012,Index of industrial production: Manufacturing (Index base: 2005=100),199.5
Albania,2013,Index of industrial production: Manufacturing (Index base: 2005=100),198.5
Albania,2014,Index of industrial production: Manufacturing (Index base: 2005=100),212.9
Albania,2007,"Index of industrial production: Food, beverages and tobacco (Index base: 2005=100)",124.8
Albania,2008,"Index of industrial production: Food, beverages and tobacco (Index base: 2005=100)",149.9
Albania,2009,"Index of industrial production: Food, beverages and tobacco (Index base: 2005=100)",149.3
Albania,2010,"Index of industrial production: Food, beverages and tobacco (Index base: 2005=100)",158.9
Albania,2011,"Index of industrial production: Food, beverages and tobacco (Index base: 2005=100)",161.6
Albania,2012,"Index of industrial production: Food, beverages and tobacco (Index base: 2005=100)",185.3
Albania,2013,"Index of industrial production: Food, beverages and tobacco (Index base: 2005=100)",169.9
Albania,2014,"Index of industrial production: Food, beverages and tobacco (Index base: 2005=100)",169.8
Albania,2007,"Index of industrial production: Textiles, wearing apparel, leather, footwear (Index base: 2005=100)",106.6
Albania,2008,"Index of industrial production: Textiles, wearing apparel, leather, footwear (Index base: 2005=100)",128.1
Albania,2009,"Index of industrial production: Textiles, wearing apparel, leather, footwear (Index base: 2005=100)",159.6
Albania,2010,"Index of industrial production: Textiles, wearing apparel, leather, footwear (Index base: 2005=100)",181.7
Albania,2011,"Index of industrial production: Textiles, wearing apparel, leather, footwear (Index base: 2005=100)",183.6
Albania,2012,"Index of industrial production: Textiles, wearing apparel, leather, footwear (Index base: 2005=100)",168.5
Albania,2013,"Index of industrial production: Textiles, wearing apparel, leather, footwear (Index base: 2005=100)",195.2
Albania,2014,"Index of industrial production: Textiles, wearing apparel, leather, footwear (Index base: 2005=100)",231.9
Albania,2007,"Index of industrial production: Chemicals, petroleum, rubber and plastic products (Index base: 2005=100)",69.9
Albania,2008,"Index of industrial production: Chemicals, petroleum, rubber and plastic products (Index base: 2005=100)",73.3
Albania,2009,"Index of industrial production: Chemicals, petroleum, rubber and plastic products (Index base: 2005=100)",122.5
Albania,2010,"Index of industrial production: Chemicals, petroleum, rubber and plastic products (Index base: 2005=100)",77.4
Albania,2011,"Index of industrial production: Chemicals, petroleum, rubber and plastic products (Index base: 2005=100)",119.1
Albania,2012,"Index of industrial production: Chemicals, petroleum, rubber and plastic products (Index base: 2005=100)",94.5
Albania,2013,"Index of industrial production: Chemicals, petroleum, rubber and plastic products (Index base: 2005=100)",69.2
Albania,2014,"Index of industrial production: Chemicals, petroleum, rubber and plastic products (Index base: 2005=100)",44.5
Albania,2007,Index of industrial production: Metal products and machinery (Index Base: 2005=100),113.9
Albania,2008,Index of industrial production: Metal products and machinery (Index Base: 2005=100),126.6
Albania,2009,Index of industrial production: Metal products and machinery (Index Base: 2005=100),109.2
Albania,2010,Index of industrial production: Metal products and machinery (Index Base: 2005=100),145.6
Albania,2011,Index of industrial production: Metal products and machinery (Index Base: 2005=100),167.1
Albania,2012,Index of industrial production: Metal products and machinery (Index Base: 2005=100),206
Albania,2013,Index of industrial production: Metal products and machinery (Index Base: 2005=100),218.1
Albania,2014,Index of industrial production: Metal products and machinery (Index Base: 2005=100),215.7
Albania,2007,"Index of industrial production: Electricity, gas, steam (Index base: 2005=100)",56.6
Albania,2008,"Index of industrial production: Electricity, gas, steam (Index base: 2005=100)",84.1
Albania,2009,"Index of industrial production: Electricity, gas, steam (Index base: 2005=100)",66.4
Albania,2010,"Index of industrial production: Electricity, gas, steam (Index base: 2005=100)",83.4
Albania,2011,"Index of industrial production: Electricity, gas, steam (Index base: 2005=100)",41
Albania,2012,"Index of industrial production: Electricity, gas, steam (Index base: 2005=100)",57.3
Albania,2013,"Index of industrial production: Electricity, gas, steam (Index base: 2005=100)",112.4
Albania,2014,"Index of industrial production: Electricity, gas, steam (Index base: 2005=100)",99.7
Albania,2007,Index of industrial production: Water and waste management (Index base: 2005=100),102.8
Albania,2008,Index of industrial production: Water and waste management (Index base: 2005=100),131.1
Albania,2009,Index of industrial production: Water and waste management (Index base: 2005=100),125.5
Albania,2010,Index of industrial production: Water and waste management (Index base: 2005=100),110.6
Albania,2011,Index of industrial production: Water and waste management (Index base: 2005=100),118.4
Albania,2012,Index of industrial production: Water and waste management (Index base: 2005=100),108.4
Albania,2013,Index of industrial production: Water and waste management (Index base: 2005=100),116
Albania,2014,Index of industrial production: Water and waste management (Index base: 2005=100),116.1
Algeria,2007,"Index of industrial production: Total industry - Mining; manufacturing; electricity, gas and water (Index base: 2005=100)",97
Algeria,2008,"Index of industrial production: Total industry - Mining; manufacturing; electricity, gas and water (Index base: 2005=100)",98.7
Algeria,2009,"Index of industrial production: Total industry - Mining; manufacturing; electricity, gas and water (Index base: 2005=100)",99.2
Algeria,2010,"Index of industrial production: Total industry - Mining; manufacturing; electricity, gas and water (Index base: 2005=100)",96.7
Algeria,2011,"Index of industrial production: Total industry - Mining; manufacturing; electricity, gas and water (Index base: 2005=100)",97
Algeria,2012,"Index of industrial production: Total industry - Mining; manufacturing; electricity, gas and water (Index base: 2005=100)",98.6
Algeria,2013,"Index of industrial production: Total industry - Mining; manufacturing; electricity, gas and water (Index base: 2005=100)",99.5
Algeria,2014,"Index of industrial production: Total industry - Mining; manufacturing; electricity, gas and water (Index base: 2005=100)",104.2
Algeria,2007,Index of industrial production: Mining (Index base: 2005=100),125.9
Algeria,2008,Index of industrial production: Mining (Index base: 2005=100),138.3
Algeria,2009,Index of industrial production: Mining (Index base: 2005=100),143
Algeria,2010,Index of industrial production: Mining (Index base: 2005=100),138.3
Algeria,2011,Index of industrial production: Mining (Index base: 2005=100),125.2
Algeria,2012,Index of industrial production: Mining (Index base: 2005=100),118.2
Algeria,2013,Index of industrial production: Mining (Index base: 2005=100),125.3
Algeria,2014,Index of industrial production: Mining (Index base: 2005=100),133.6
Algeria,2007,Index of industrial production: Manufacturing (Index base: 2005=100),87.2
Algeria,2008,Index of industrial production: Manufacturing (Index base: 2005=100),88.9
Algeria,2009,Index of industrial production: Manufacturing (Index base: 2005=100),90.4
Algeria,2010,Index of industrial production: Manufacturing (Index base: 2005=100),85.5
Algeria,2011,Index of industrial production: Manufacturing (Index base: 2005=100),84.3
Algeria,2012,Index of industrial production: Manufacturing (Index base: 2005=100),84.3
Algeria,2013,Index of industrial production: Manufacturing (Index base: 2005=100),85.9
Algeria,2014,Index of industrial production: Manufacturing (Index base: 2005=100),86.4
Algeria,2007,"Index of industrial production: Food, beverages and tobacco (Index base: 2005=100)",87.1
Algeria,2008,"Index of industrial production: Food, beverages and tobacco (Index base: 2005=100)",93
Algeria,2009,"Index of industrial production: Food, beverages and tobacco (Index base: 2005=100)",84.4
Algeria,2010,"Index of industrial production: Food, beverages and tobacco (Index base: 2005=100)",81.7
Algeria,2011,"Index of industrial production: Food, beverages and tobacco (Index base: 2005=100)",98.7
Algeria,2012,"Index of industrial production: Food, beverages and tobacco (Index base: 2005=100)",96.8
Algeria,2013,"Index of industrial production: Food, beverages and tobacco (Index base: 2005=100)",96
Algeria,2014,"Index of industrial production: Food, beverages and tobacco (Index base: 2005=100)",103
Algeria,2007,"Index of industrial production: Textiles, wearing apparel, leather, footwear (Index base: 2005=100)",64
Algeria,2008,"Index of industrial production: Textiles, wearing apparel, leather, footwear (Index base: 2005=100)",58.7
Algeria,2009,"Index of industrial production: Textiles, wearing apparel, leather, footwear (Index base: 2005=100)",59.4
Algeria,2010,"Index of industrial production: Textiles, wearing apparel, leather, footwear (Index base: 2005=100)",53.6
Algeria,2011,"Index of industrial production: Textiles, wearing apparel, leather, footwear (Index base: 2005=100)",47.6
Algeria,2012,"Index of industrial production: Textiles, wearing apparel, leather, footwear (Index base: 2005=100)",42.7
Algeria,2013,"Index of industrial production: Textiles, wearing apparel, leather, footwear (Index base: 2005=100)",42.8
Algeria,2014,"Index of industrial production: Textiles, wearing apparel, leather, footwear (Index base: 2005=100)",45.6
Algeria,2007,"Index of industrial production: Chemicals, petroleum, rubber and plastic products (Index base: 2005=100)",99.2
Algeria,2008,"Index of industrial production: Chemicals, petroleum, rubber and plastic products (Index base: 2005=100)",103.8
Algeria,2009,"Index of industrial production: Chemicals, petroleum, rubber and plastic products (Index base: 2005=100)",109.1
Algeria,2010,"Index of industrial production: Chemicals, petroleum, rubber and plastic products (Index base: 2005=100)",129.2
Algeria,2011,"Index of industrial production: Chemicals, petroleum, rubber and plastic products (Index base: 2005=100)",123.7
Algeria,2012,"Index of industrial production: Chemicals, petroleum, rubber and plastic products (Index base: 2005=100)",115.7
Algeria,2013,"Index of industrial production: Chemicals, petroleum, rubber and plastic products (Index base: 2005=100)",115.3
Algeria,2014,"Index of industrial production: Chemicals, petroleum, rubber and plastic products (Index base: 2005=100)",145.9
Algeria,2007,Index of industrial production: Basic metals (Index base: 2005=100),100.3
Algeria,2008,Index of industrial production: Basic metals (Index base: 2005=100),133.9
Algeria,2009,Index of industrial production: Basic metals (Index base: 2005=100),204.3
Algeria,2010,Index of industrial production: Basic metals (Index base: 2005=100),109.4
Algeria,2011,Index of industrial production: Basic metals (Index base: 2005=100),57.1
Algeria,2012,Index of industrial production: Basic metals (Index base: 2005=100),101.4
Algeria,2013,Index of industrial production: Basic metals (Index base: 2005=100),142.5
Algeria,2014,Index of industrial production: Basic metals (Index base: 2005=100),108.8
Algeria,2007,Index of industrial production: Metal products and machinery (Index Base: 2005=100),77.9
Algeria,2008,Index of industrial production: Metal products and machinery (Index Base: 2005=100),75.8
Algeria,2009,Index of industrial production: Metal products and machinery (Index Base: 2005=100),74.7
Algeria,2010,Index of industrial production: Metal products and machinery (Index Base: 2005=100),73.9
Algeria,2011,Index of industrial production: Metal products and machinery (Index Base: 2005=100),80.6
Algeria,2012,Index of industrial production: Metal products and machinery (Index Base: 2005=100),82.1
Algeria,2013,Index of industrial production: Metal products and machinery (Index Base: 2005=100),83.2
Algeria,2014,Index of industrial production: Metal products and machinery (Index Base: 2005=100),70.3
Algeria,2007,"Index of industrial production: Electricity, gas and water (Index base: 2005=100)",109.5
Algeria,2008,"Index of industrial production: Electricity, gas and water (Index base: 2005=100)",118.2
Algeria,2009,"Index of industrial production: Electricity, gas and water (Index base: 2005=100)",126.6
Algeria,2010,"Index of industrial production: Electricity, gas and water (Index base: 2005=100)",133.7
Algeria,2011,"Index of industrial production: Electricity, gas and water (Index base: 2005=100)",144.6
Algeria,2012,"Index of industrial production: Electricity, gas and water (Index base: 2005=100)",162.2
Algeria,2013,"Index of industrial production: Electricity, gas and water (Index base: 2005=100)",165.6
Algeria,2014,"Index of industrial production: Electricity, gas and water (Index base: 2005=100)",178.9
Argentina,2007,Index of industrial production: Manufacturing (Index base: 2005=100),119.6
Argentina,2008,Index of industrial production: Manufacturing (Index base: 2005=100),126.3
Argentina,2009,Index of industrial production: Manufacturing (Index base: 2005=100),127
Argentina,2010,Index of industrial production: Manufacturing (Index base: 2005=100),142.8
Argentina,2011,Index of industrial production: Manufacturing (Index base: 2005=100),162.4
Argentina,2012,Index of industrial production: Manufacturing (Index base: 2005=100),165.1
Argentina,2013,Index of industrial production: Manufacturing (Index base: 2005=100),171
Argentina,2014,Index of industrial production: Manufacturing (Index base: 2005=100),169.4
Argentina,2007,"Index of industrial production: Food, beverages and tobacco (Index base: 2005=100)",116.8
Argentina,2008,"Index of industrial production: Food, beverages and tobacco (Index base: 2005=100)",127.9
Argentina,2009,"Index of industrial production: Food, beverages and tobacco (Index base: 2005=100)",139.7
Argentina,2010,"Index of industrial production: Food, beverages and tobacco (Index base: 2005=100)",149.9
Argentina,2011,"Index of industrial production: Food, beverages and tobacco (Index base: 2005=100)",173.5
Argentina,2012,"Index of industrial production: Food, beverages and tobacco (Index base: 2005=100)",186.6
Argentina,2013,"Index of industrial production: Food, beverages and tobacco (Index base: 2005=100)",197.6
