,Year,Series,Value
"Total, all countries or areas",1975,Emissions (thousand metric tons of carbon dioxide),"16,853,532"
"Total, all countries or areas",1985,Emissions (thousand metric tons of carbon dioxide),"19,864,139"
"Total, all countries or areas",1995,Emissions (thousand metric tons of carbon dioxide),"23,120,435"
"Total, all countries or areas",2005,Emissions (thousand metric tons of carbon dioxide),"29,490,014"
"Total, all countries or areas",2010,Emissions (thousand metric tons of carbon dioxide),"33,472,376"
"Total, all countries or areas",2012,Emissions (thousand metric tons of carbon dioxide),"35,470,891"
"Total, all countries or areas",2013,Emissions (thousand metric tons of carbon dioxide),"35,837,591"
"Total, all countries or areas",2014,Emissions (thousand metric tons of carbon dioxide),"36,138,285"
"Total, all countries or areas",1975,Emissions per capita (metric tons of carbon dioxide),4.1
"Total, all countries or areas",1985,Emissions per capita (metric tons of carbon dioxide),4.1
"Total, all countries or areas",1995,Emissions per capita (metric tons of carbon dioxide),4
"Total, all countries or areas",2005,Emissions per capita (metric tons of carbon dioxide),4.5
"Total, all countries or areas",2010,Emissions per capita (metric tons of carbon dioxide),4.8
"Total, all countries or areas",2012,Emissions per capita (metric tons of carbon dioxide),5
"Total, all countries or areas",2013,Emissions per capita (metric tons of carbon dioxide),5
"Total, all countries or areas",2014,Emissions per capita (metric tons of carbon dioxide),5
Afghanistan,1975,Emissions (thousand metric tons of carbon dioxide),"2,127"
Afghanistan,1985,Emissions (thousand metric tons of carbon dioxide),"3,509"
Afghanistan,1995,Emissions (thousand metric tons of carbon dioxide),"1,243"
Afghanistan,2005,Emissions (thousand metric tons of carbon dioxide),"1,327"
Afghanistan,2010,Emissions (thousand metric tons of carbon dioxide),"8,463"
Afghanistan,2012,Emissions (thousand metric tons of carbon dioxide),"10,755"
Afghanistan,2013,Emissions (thousand metric tons of carbon dioxide),"10,015"
Afghanistan,2014,Emissions (thousand metric tons of carbon dioxide),"9,809"
Afghanistan,1975,Emissions per capita (metric tons of carbon dioxide),0.1
Afghanistan,1985,Emissions per capita (metric tons of carbon dioxide),0.3
Afghanistan,1995,Emissions per capita (metric tons of carbon dioxide),0.1
Afghanistan,2005,Emissions per capita (metric tons of carbon dioxide),0
Afghanistan,2010,Emissions per capita (metric tons of carbon dioxide),0.3
Afghanistan,2012,Emissions per capita (metric tons of carbon dioxide),0.4
Afghanistan,2013,Emissions per capita (metric tons of carbon dioxide),0.3
Afghanistan,2014,Emissions per capita (metric tons of carbon dioxide),0.3
Albania,1975,Emissions (thousand metric tons of carbon dioxide),"4,595"
Albania,1985,Emissions (thousand metric tons of carbon dioxide),"7,880"
Albania,1995,Emissions (thousand metric tons of carbon dioxide),"2,087"
Albania,2005,Emissions (thousand metric tons of carbon dioxide),"4,254"
Albania,2010,Emissions (thousand metric tons of carbon dioxide),"4,598"
Albania,2012,Emissions (thousand metric tons of carbon dioxide),"4,910"
Albania,2013,Emissions (thousand metric tons of carbon dioxide),"5,064"
Albania,2014,Emissions (thousand metric tons of carbon dioxide),"5,717"
Albania,1975,Emissions per capita (metric tons of carbon dioxide),1.9
Albania,1985,Emissions per capita (metric tons of carbon dioxide),2.7
Albania,1995,Emissions per capita (metric tons of carbon dioxide),0.7
Albania,2005,Emissions per capita (metric tons of carbon dioxide),1.4
Albania,2010,Emissions per capita (metric tons of carbon dioxide),1.6
Albania,2012,Emissions per capita (metric tons of carbon dioxide),1.7
Albania,2013,Emissions per capita (metric tons of carbon dioxide),1.8
Albania,2014,Emissions per capita (metric tons of carbon dioxide),2
Algeria,1975,Emissions (thousand metric tons of carbon dioxide),"32,031"
Algeria,1985,Emissions (thousand metric tons of carbon dioxide),"72,786"
Algeria,1995,Emissions (thousand metric tons of carbon dioxide),"95,294"
Algeria,2005,Emissions (thousand metric tons of carbon dioxide),"107,278"
Algeria,2010,Emissions (thousand metric tons of carbon dioxide),"119,178"
Algeria,2012,Emissions (thousand metric tons of carbon dioxide),"129,988"
Algeria,2013,Emissions (thousand metric tons of carbon dioxide),"134,465"
Algeria,2014,Emissions (thousand metric tons of carbon dioxide),"145,400"
Algeria,1975,Emissions per capita (metric tons of carbon dioxide),2
Algeria,1985,Emissions per capita (metric tons of carbon dioxide),3.3
Algeria,1995,Emissions per capita (metric tons of carbon dioxide),3.4
Algeria,2005,Emissions per capita (metric tons of carbon dioxide),3.3
Algeria,2010,Emissions per capita (metric tons of carbon dioxide),3.3
Algeria,2012,Emissions per capita (metric tons of carbon dioxide),3.5
Algeria,2013,Emissions per capita (metric tons of carbon dioxide),3.5
Algeria,2014,Emissions per capita (metric tons of carbon dioxide),3.7
Andorra,1995,Emissions (thousand metric tons of carbon dioxide),425
Andorra,2005,Emissions (thousand metric tons of carbon dioxide),576
Andorra,2010,Emissions (thousand metric tons of carbon dioxide),517
Andorra,2012,Emissions (thousand metric tons of carbon dioxide),488
Andorra,2013,Emissions (thousand metric tons of carbon dioxide),477
Andorra,2014,Emissions (thousand metric tons of carbon dioxide),462
Andorra,1995,Emissions per capita (metric tons of carbon dioxide),6.6
Andorra,2005,Emissions per capita (metric tons of carbon dioxide),7.4
Andorra,2010,Emissions per capita (metric tons of carbon dioxide),6.2
Andorra,2012,Emissions per capita (metric tons of carbon dioxide),6.2
Andorra,2013,Emissions per capita (metric tons of carbon dioxide),6.3
Andorra,2014,Emissions per capita (metric tons of carbon dioxide),6.4
Angola,1975,Emissions (thousand metric tons of carbon dioxide),"4,415"
Angola,1985,Emissions (thousand metric tons of carbon dioxide),"4,701"
Angola,1995,Emissions (thousand metric tons of carbon dioxide),"10,975"
Angola,2005,Emissions (thousand metric tons of carbon dioxide),"19,156"
Angola,2010,Emissions (thousand metric tons of carbon dioxide),"29,057"
Angola,2012,Emissions (thousand metric tons of carbon dioxide),"33,399"
Angola,2013,Emissions (thousand metric tons of carbon dioxide),"32,618"
Angola,2014,Emissions (thousand metric tons of carbon dioxide),"34,763"
Angola,1975,Emissions per capita (metric tons of carbon dioxide),0.7
Angola,1985,Emissions per capita (metric tons of carbon dioxide),0.5
Angola,1995,Emissions per capita (metric tons of carbon dioxide),0.9
Angola,2005,Emissions per capita (metric tons of carbon dioxide),1.2
Angola,2010,Emissions per capita (metric tons of carbon dioxide),1.4
Angola,2012,Emissions per capita (metric tons of carbon dioxide),1.5
Angola,2013,Emissions per capita (metric tons of carbon dioxide),1.4
Angola,2014,Emissions per capita (metric tons of carbon dioxide),1.4
Anguilla,1995,Emissions (thousand metric tons of carbon dioxide),66
Anguilla,2005,Emissions (thousand metric tons of carbon dioxide),128
Anguilla,2010,Emissions (thousand metric tons of carbon dioxide),150
Anguilla,2012,Emissions (thousand metric tons of carbon dioxide),143
Anguilla,2013,Emissions (thousand metric tons of carbon dioxide),136
Anguilla,2014,Emissions (thousand metric tons of carbon dioxide),143
Anguilla,1995,Emissions per capita (metric tons of carbon dioxide),6.9
Anguilla,2005,Emissions per capita (metric tons of carbon dioxide),9.5
Anguilla,2010,Emissions per capita (metric tons of carbon dioxide),10.9
Anguilla,2012,Emissions per capita (metric tons of carbon dioxide),10
Anguilla,2013,Emissions per capita (metric tons of carbon dioxide),9.5
Anguilla,2014,Emissions per capita (metric tons of carbon dioxide),9.8
Antigua and Barbuda,1975,Emissions (thousand metric tons of carbon dioxide),708
Antigua and Barbuda,1985,Emissions (thousand metric tons of carbon dioxide),249
Antigua and Barbuda,1995,Emissions (thousand metric tons of carbon dioxide),275
Antigua and Barbuda,2005,Emissions (thousand metric tons of carbon dioxide),429
Antigua and Barbuda,2010,Emissions (thousand metric tons of carbon dioxide),524
Antigua and Barbuda,2012,Emissions (thousand metric tons of carbon dioxide),524
Antigua and Barbuda,2013,Emissions (thousand metric tons of carbon dioxide),524
Antigua and Barbuda,2014,Emissions (thousand metric tons of carbon dioxide),532
Antigua and Barbuda,1975,Emissions per capita (metric tons of carbon dioxide),10.2
Antigua and Barbuda,1985,Emissions per capita (metric tons of carbon dioxide),3.8
Antigua and Barbuda,1995,Emissions per capita (metric tons of carbon dioxide),4
Antigua and Barbuda,2005,Emissions per capita (metric tons of carbon dioxide),5.1
Antigua and Barbuda,2010,Emissions per capita (metric tons of carbon dioxide),6
Antigua and Barbuda,2012,Emissions per capita (metric tons of carbon dioxide),5.9
Antigua and Barbuda,2013,Emissions per capita (metric tons of carbon dioxide),5.8
Antigua and Barbuda,2014,Emissions per capita (metric tons of carbon dioxide),5.8
Argentina,1975,Emissions (thousand metric tons of carbon dioxide),"94,931"
Argentina,1985,Emissions (thousand metric tons of carbon dioxide),"100,597"
Argentina,1995,Emissions (thousand metric tons of carbon dioxide),"127,964"
Argentina,2005,Emissions (thousand metric tons of carbon dioxide),"162,111"
Argentina,2010,Emissions (thousand metric tons of carbon dioxide),"187,919"
Argentina,2012,Emissions (thousand metric tons of carbon dioxide),"192,356"
Argentina,2013,Emissions (thousand metric tons of carbon dioxide),"189,852"
Argentina,2014,Emissions (thousand metric tons of carbon dioxide),"204,025"
Argentina,1975,Emissions per capita (metric tons of carbon dioxide),3.6
Argentina,1985,Emissions per capita (metric tons of carbon dioxide),3.3
Argentina,1995,Emissions per capita (metric tons of carbon dioxide),3.7
Argentina,2005,Emissions per capita (metric tons of carbon dioxide),4.2
Argentina,2010,Emissions per capita (metric tons of carbon dioxide),4.5
Argentina,2012,Emissions per capita (metric tons of carbon dioxide),4.6
Argentina,2013,Emissions per capita (metric tons of carbon dioxide),4.5
Argentina,2014,Emissions per capita (metric tons of carbon dioxide),4.7
Armenia,1995,Emissions (thousand metric tons of carbon dioxide),"3,410"
Armenia,2005,Emissions (thousand metric tons of carbon dioxide),"4,353"
Armenia,2010,Emissions (thousand metric tons of carbon dioxide),"4,217"
Armenia,2012,Emissions (thousand metric tons of carbon dioxide),"5,695"
Armenia,2013,Emissions (thousand metric tons of carbon dioxide),"5,497"
