,Year,Series,Value
"Total, all countries or areas",1975,Agricultural production (Index Base: 2004-2006 = 100),51.3
"Total, all countries or areas",1985,Agricultural production (Index Base: 2004-2006 = 100),65.5
"Total, all countries or areas",1995,Agricultural production (Index Base: 2004-2006 = 100),78.3
"Total, all countries or areas",2005,Agricultural production (Index Base: 2004-2006 = 100),99.9
"Total, all countries or areas",2010,Agricultural production (Index Base: 2004-2006 = 100),112.9
"Total, all countries or areas",2014,Agricultural production (Index Base: 2004-2006 = 100),124.6
"Total, all countries or areas",2015,Agricultural production (Index Base: 2004-2006 = 100),125.9
"Total, all countries or areas",2016,Agricultural production (Index Base: 2004-2006 = 100),127.3
"Total, all countries or areas",1975,Food production (Index Base: 2004-2006 = 100),51
"Total, all countries or areas",1985,Food production (Index Base: 2004-2006 = 100),65
"Total, all countries or areas",1995,Food production (Index Base: 2004-2006 = 100),78.2
"Total, all countries or areas",2005,Food production (Index Base: 2004-2006 = 100),99.9
"Total, all countries or areas",2010,Food production (Index Base: 2004-2006 = 100),113.4
"Total, all countries or areas",2014,Food production (Index Base: 2004-2006 = 100),125
"Total, all countries or areas",2015,Food production (Index Base: 2004-2006 = 100),126.4
"Total, all countries or areas",2016,Food production (Index Base: 2004-2006 = 100),127.8
Africa,1975,Agricultural production (Index Base: 2004-2006 = 100),42.6
Africa,1985,Agricultural production (Index Base: 2004-2006 = 100),50.4
Africa,1995,Agricultural production (Index Base: 2004-2006 = 100),68.8
Africa,2005,Agricultural production (Index Base: 2004-2006 = 100),100
Africa,2010,Agricultural production (Index Base: 2004-2006 = 100),117
Africa,2014,Agricultural production (Index Base: 2004-2006 = 100),129
Africa,2015,Agricultural production (Index Base: 2004-2006 = 100),130.8
Africa,2016,Agricultural production (Index Base: 2004-2006 = 100),129.9
Africa,1975,Food production (Index Base: 2004-2006 = 100),41.4
Africa,1985,Food production (Index Base: 2004-2006 = 100),49.3
Africa,1995,Food production (Index Base: 2004-2006 = 100),68.3
Africa,2005,Food production (Index Base: 2004-2006 = 100),99.9
Africa,2010,Food production (Index Base: 2004-2006 = 100),117.8
Africa,2014,Food production (Index Base: 2004-2006 = 100),129.7
Africa,2015,Food production (Index Base: 2004-2006 = 100),131.5
