,Year,Series,Value
"Total, all countries or areas",1985,Grants of patents (number),"397,580"
"Total, all countries or areas",1995,Grants of patents (number),"430,700"
"Total, all countries or areas",2005,Grants of patents (number),"634,000"
"Total, all countries or areas",2010,Grants of patents (number),"915,500"
"Total, all countries or areas",2014,Grants of patents (number),"1,179,900"
"Total, all countries or areas",2015,Grants of patents (number),"1,241,000"
"Total, all countries or areas",2016,Grants of patents (number),"1,351,600"
Africa,2005,Grants of patents (number),"4,800"
Africa,2010,Grants of patents (number),"9,600"
Africa,2014,Grants of patents (number),"13,900"
Africa,2015,Grants of patents (number),"8,500"
Africa,2016,Grants of patents (number),"7,800"
Northern America,2005,Grants of patents (number),"159,300"
Northern America,2010,Grants of patents (number),"238,700"
Northern America,2014,Grants of patents (number),"324,400"
Northern America,2015,Grants of patents (number),"320,600"
Northern America,2016,Grants of patents (number),"329,500"
Latin America & the Caribbean,2005,Grants of patents (number),"15,000"
Latin America & the Caribbean,2010,Grants of patents (number),"17,900"
Latin America & the Caribbean,2014,Grants of patents (number),"18,700"
Latin America & the Caribbean,2015,Grants of patents (number),"18,500"
Latin America & the Caribbean,2016,Grants of patents (number),"19,600"
Asia,2005,Grants of patents (number),"288,700"
Asia,2010,Grants of patents (number),"469,600"
Asia,2014,Grants of patents (number),"636,900"
Asia,2015,Grants of patents (number),"700,500"
Asia,2016,Grants of patents (number),"771,000"
Europe,2005,Grants of patents (number),"151,000"
Europe,2010,Grants of patents (number),"160,800"
Europe,2014,Grants of patents (number),"161,800"
Europe,2015,Grants of patents (number),"165,400"
Europe,2016,Grants of patents (number),"195,900"
Oceania,2005,Grants of patents (number),"15,200"
Oceania,2010,Grants of patents (number),"18,900"
Oceania,2014,Grants of patents (number),"24,200"
Oceania,2015,Grants of patents (number),"27,500"
Oceania,2016,Grants of patents (number),"27,800"
Albania,2014,Resident patent filings (per million population),4
Albania,2015,Resident patent filings (per million population),5
Albania,2016,Resident patent filings (per million population),8
Albania,2005,Grants of patents (number),395
Albania,2010,Grants of patents (number),349
Albania,2014,Grants of patents (number),5
Albania,2015,Grants of patents (number),10
Albania,2016,Grants of patents (number),5
Albania,2010,Patents in force (number),349
Algeria,1995,Resident patent filings (per million population),1
Algeria,2005,Resident patent filings (per million population),2
Algeria,2010,Resident patent filings (per million population),2
Algeria,2014,Resident patent filings (per million population),2
Algeria,2015,Resident patent filings (per million population),2
Algeria,2016,Resident patent filings (per million population),3
Algeria,1995,Grants of patents (number),118
Algeria,2005,Grants of patents (number),443
Algeria,2010,Grants of patents (number),"1,076"
Algeria,2014,Grants of patents (number),281
Algeria,2015,Grants of patents (number),353
Algeria,2016,Grants of patents (number),383
Algeria,2005,Patents in force (number),498
Algeria,2014,Patents in force (number),"4,340"
Algeria,2015,Patents in force (number),"5,145"
Algeria,2016,Patents in force (number),"5,618"
Argentina,1995,Resident patent filings (per million population),19
Argentina,2005,Resident patent filings (per million population),27
Argentina,2010,Resident patent filings (per million population),13
Argentina,2014,Resident patent filings (per million population),12
Argentina,2015,Resident patent filings (per million population),13
Argentina,2016,Resident patent filings (per million population),20
Argentina,1995,Grants of patents (number),"1,003"
Argentina,2005,Grants of patents (number),"1,798"
Argentina,2010,Grants of patents (number),"1,366"
Argentina,2014,Grants of patents (number),"1,360"
Argentina,2015,Grants of patents (number),"1,559"
Argentina,2016,Grants of patents (number),"1,879"
Armenia,1995,Resident patent filings (per million population),58
Armenia,2005,Resident patent filings (per million population),69
Armenia,2010,Resident patent filings (per million population),49
Armenia,2014,Resident patent filings (per million population),42
Armenia,2015,Resident patent filings (per million population),39
Armenia,2016,Resident patent filings (per million population),44
Armenia,1995,Grants of patents (number),52
Armenia,2005,Grants of patents (number),126
Armenia,2010,Grants of patents (number),124
Armenia,2014,Grants of patents (number),108
Armenia,2015,Grants of patents (number),81
Armenia,2016,Grants of patents (number),93
Armenia,2005,Patents in force (number),110
Armenia,2010,Patents in force (number),278
Armenia,2014,Patents in force (number),279
Armenia,2015,Patents in force (number),248
Armenia,2016,Patents in force (number),226
Australia,1995,Resident patent filings (per million population),99
Australia,2005,Resident patent filings (per million population),125
Australia,2010,Resident patent filings (per million population),109
Australia,2014,Resident patent filings (per million population),85
Australia,2015,Resident patent filings (per million population),96
Australia,2016,Resident patent filings (per million population),109
Australia,1985,Grants of patents (number),"6,764"
Australia,1995,Grants of patents (number),"9,406"
Australia,2005,Grants of patents (number),"10,979"
Australia,2010,Grants of patents (number),"14,557"
Australia,2014,Grants of patents (number),"19,304"
Australia,2015,Grants of patents (number),"23,098"
Australia,2016,Grants of patents (number),"23,744"
Australia,2005,Patents in force (number),"96,403"
Australia,2010,Patents in force (number),"96,293"
Australia,2014,Patents in force (number),"128,407"
Australia,2015,Patents in force (number),"117,906"
Australia,2016,Patents in force (number),"132,994"
Austria,1985,Resident patent filings (per million population),300
Austria,1995,Resident patent filings (per million population),217
Austria,2005,Resident patent filings (per million population),404
Austria,2010,Resident patent filings (per million population),497
Austria,2014,Resident patent filings (per million population),475
Austria,2015,Resident patent filings (per million population),486
Austria,2016,Resident patent filings (per million population),471
Austria,1985,Grants of patents (number),"2,571"
Austria,1995,Grants of patents (number),"1,777"
Austria,2005,Grants of patents (number),938
Austria,2010,Grants of patents (number),"1,130"
Austria,2014,Grants of patents (number),962
Austria,2015,Grants of patents (number),"1,356"
Austria,2016,Grants of patents (number),"1,135"
Austria,2005,Patents in force (number),"95,618"
Austria,2010,Patents in force (number),"102,113"
Austria,2014,Patents in force (number),"118,494"
Austria,2015,Patents in force (number),"121,367"
Austria,2016,Patents in force (number),"142,875"
Azerbaijan,1995,Resident patent filings (per million population),29
Azerbaijan,2005,Resident patent filings (per million population),33
Azerbaijan,2010,Resident patent filings (per million population),30
Azerbaijan,2014,Resident patent filings (per million population),21
Azerbaijan,2015,Resident patent filings (per million population),23
Azerbaijan,2016,Resident patent filings (per million population),19
Azerbaijan,1995,Grants of patents (number),9
Azerbaijan,2005,Grants of patents (number),195
Azerbaijan,2010,Grants of patents (number),126
Azerbaijan,2014,Grants of patents (number),97
Azerbaijan,2015,Grants of patents (number),88
Azerbaijan,2016,Grants of patents (number),131
Azerbaijan,2014,Patents in force (number),87
Azerbaijan,2015,Patents in force (number),82
Azerbaijan,2016,Patents in force (number),345
Bahamas,1985,Resident patent filings (per million population),13
Bahamas,2014,Resident patent filings (per million population),3
Bahamas,2015,Resident patent filings (per million population),5
Bahamas,2016,Resident patent filings (per million population),8
Bahamas,1985,Grants of patents (number),66
Bahamas,2014,Grants of patents (number),238
Bahamas,2015,Grants of patents (number),192
Bahamas,2016,Grants of patents (number),47
Bahamas,2014,Patents in force (number),"1,117"
Bahamas,2015,Patents in force (number),"1,132"
Bahamas,2016,Patents in force (number),"1,077"
Bahrain,2014,Resident patent filings (per million population),5
Bahrain,2015,Resident patent filings (per million population),7
Bahrain,2016,Resident patent filings (per million population),6
Bahrain,1985,Grants of patents (number),31
Bahrain,2014,Patents in force (number),117
Bangladesh,1995,Resident patent filings (per million population),1
Bangladesh,1985,Grants of patents (number),118
Bangladesh,1995,Grants of patents (number),80
