,Year,Series,Value
"Total, all countries or areas",2005,International migrant stock: Both sexes (number),190531600
"Total, all countries or areas",2005,International migrant stock: Both sexes (% total population),2.9124
"Total, all countries or areas",2005,International migrant stock: Male (% total Population),2.9517
"Total, all countries or areas",2005,International migrant stock: Female (% total Population),2.8733
"Total, all countries or areas",2010,International migrant stock: Both sexes (number),220019266
"Total, all countries or areas",2010,International migrant stock: Both sexes (% total population),3.162
"Total, all countries or areas",2010,International migrant stock: Male (% total Population),3.2381
"Total, all countries or areas",2010,International migrant stock: Female (% total Population),3.0856
"Total, all countries or areas",2015,International migrant stock: Both sexes (number),247585744
"Total, all countries or areas",2015,International migrant stock: Both sexes (% total population),3.3535
"Total, all countries or areas",2015,International migrant stock: Male (% total Population),3.4267
"Total, all countries or areas",2015,International migrant stock: Female (% total Population),3.2798
"Total, all countries or areas",2015,Total refugees and people in refugee-like situations (number),15097633
"Total, all countries or areas",2015,"Asylum seekers, including pending cases (number)",2343919
"Total, all countries or areas",2015,Other of concern to UNHCR (number),40518150
"Total, all countries or areas",2015,Total population of concern to UNHCR (number),57959702
"Total, all countries or areas",2017,International migrant stock: Both sexes (number),257715425
"Total, all countries or areas",2017,International migrant stock: Both sexes (% total population),3.4133
"Total, all countries or areas",2017,International migrant stock: Male (% total Population),3.4944
"Total, all countries or areas",2017,International migrant stock: Female (% total Population),3.3318
"Total, all countries or areas",2017,Total refugees and people in refugee-like situations (number),18473853
"Total, all countries or areas",2017,"Asylum seekers, including pending cases (number)",2954666
"Total, all countries or areas",2017,Other of concern to UNHCR (number),45979852
"Total, all countries or areas",2017,Total population of concern to UNHCR (number),67408371
"Total, all countries or areas",2018,Total refugees and people in refugee-like situations (number),20203120
"Total, all countries or areas",2018,"Asylum seekers, including pending cases (number)",3174042
"Total, all countries or areas",2018,Other of concern to UNHCR (number),46974012
"Total, all countries or areas",2018,Total population of concern to UNHCR (number),70351174
Africa,2005,International migrant stock: Both sexes (number),15462306
Africa,2005,International migrant stock: Both sexes (% total population),1.672
Africa,2005,International migrant stock: Male (% total Population),1.8246
Africa,2005,International migrant stock: Female (% total Population),1.5204
Africa,2010,International migrant stock: Both sexes (number),17007249
Africa,2010,International migrant stock: Both sexes (% total population),1.6206
Africa,2010,International migrant stock: Male (% total Population),1.7487
Africa,2010,International migrant stock: Female (% total Population),1.4932
Africa,2015,International migrant stock: Both sexes (number),23436088
Africa,2015,International migrant stock: Both sexes (% total population),1.9622
Africa,2015,International migrant stock: Male (% total Population),2.0857
Africa,2015,International migrant stock: Female (% total Population),1.8391
Africa,2015,Total refugees and people in refugee-like situations (number),4493139
Africa,2015,"Asylum seekers, including pending cases (number)",1044031
Africa,2015,Other of concern to UNHCR (number),11530138
Africa,2015,Total population of concern to UNHCR (number),17067308
Africa,2017,International migrant stock: Both sexes (number),24650223
Africa,2017,International migrant stock: Both sexes (% total population),1.9622
Africa,2017,International migrant stock: Male (% total Population),2.0772
Africa,2017,International migrant stock: Female (% total Population),1.8474
Africa,2017,Total refugees and people in refugee-like situations (number),6134401
Africa,2017,"Asylum seekers, including pending cases (number)",589255
Africa,2017,Other of concern to UNHCR (number),15203541
Africa,2017,Total population of concern to UNHCR (number),21927197
Africa,2018,Total refugees and people in refugee-like situations (number),6658476
Africa,2018,"Asylum seekers, including pending cases (number)",594946
Africa,2018,Other of concern to UNHCR (number),17868520
Africa,2018,Total population of concern to UNHCR (number),25121942
Northern Africa,2005,International migrant stock: Both sexes (number),1731939
Northern Africa,2005,International migrant stock: Both sexes (% total population),0.9221
Northern Africa,2005,International migrant stock: Male (% total Population),1.0977
Northern Africa,2005,International migrant stock: Female (% total Population),0.7448
Northern Africa,2010,International migrant stock: Both sexes (number),1893613
Northern Africa,2010,International migrant stock: Both sexes (% total population),0.9268
Northern Africa,2010,International migrant stock: Male (% total Population),1.0984
Northern Africa,2010,International migrant stock: Female (% total Population),0.7541
Northern Africa,2015,International migrant stock: Both sexes (number),2354732
Northern Africa,2015,International migrant stock: Both sexes (% total population),1.0459
Northern Africa,2015,International migrant stock: Male (% total Population),1.2257
Northern Africa,2015,International migrant stock: Female (% total Population),0.8645
Northern Africa,2017,International migrant stock: Both sexes (number),2410056
Northern Africa,2017,International migrant stock: Both sexes (% total population),1.0317
Northern Africa,2017,International migrant stock: Male (% total Population),1.1929
Northern Africa,2017,International migrant stock: Female (% total Population),0.869
Sub-Saharan Africa,2005,International migrant stock: Both sexes (number),14272361
Sub-Saharan Africa,2005,International migrant stock: Both sexes (% total population),1.8588
Sub-Saharan Africa,2005,International migrant stock: Male (% total Population),2.0024
Sub-Saharan Africa,2005,International migrant stock: Female (% total Population),1.7166
Sub-Saharan Africa,2010,International migrant stock: Both sexes (number),15691999
Sub-Saharan Africa,2010,International migrant stock: Both sexes (% total population),1.7842
Sub-Saharan Africa,2010,International migrant stock: Male (% total Population),1.8998
Sub-Saharan Africa,2010,International migrant stock: Female (% total Population),1.6695
Sub-Saharan Africa,2015,International migrant stock: Both sexes (number),21705234
Sub-Saharan Africa,2015,International migrant stock: Both sexes (% total population),2.1535
Sub-Saharan Africa,2015,International migrant stock: Male (% total Population),2.2615
Sub-Saharan Africa,2015,International migrant stock: Female (% total Population),2.0463
Sub-Saharan Africa,2017,International migrant stock: Both sexes (number),22975988
Sub-Saharan Africa,2017,International migrant stock: Both sexes (% total population),2.161
Sub-Saharan Africa,2017,International migrant stock: Male (% total Population),2.2631
Sub-Saharan Africa,2017,International migrant stock: Female (% total Population),2.0595
Eastern Africa,2005,International migrant stock: Both sexes (number),4745792
Eastern Africa,2005,International migrant stock: Both sexes (% total population),1.5788
Eastern Africa,2005,International migrant stock: Male (% total Population),1.6996
Eastern Africa,2005,International migrant stock: Female (% total Population),1.4603
Eastern Africa,2010,International migrant stock: Both sexes (number),4657063
Eastern Africa,2010,International migrant stock: Both sexes (% total population),1.3421
Eastern Africa,2010,International migrant stock: Male (% total Population),1.3761
Eastern Africa,2010,International migrant stock: Female (% total Population),1.3087
Eastern Africa,2015,International migrant stock: Both sexes (number),6920965
Eastern Africa,2015,International migrant stock: Both sexes (% total population),1.7326
Eastern Africa,2015,International migrant stock: Male (% total Population),1.7517
Eastern Africa,2015,International migrant stock: Female (% total Population),1.7138
Eastern Africa,2017,International migrant stock: Both sexes (number),7591799
Eastern Africa,2017,International migrant stock: Both sexes (% total population),1.7989
Eastern Africa,2017,International migrant stock: Male (% total Population),1.8096
Eastern Africa,2017,International migrant stock: Female (% total Population),1.7883
Middle Africa,2005,International migrant stock: Both sexes (number),1928828
