,Year,Series,Value
"Total, all countries or areas",2000,"Seats held by women in national parliament, as of February (%)",13.3396
"Total, all countries or areas",2005,"Seats held by women in national parliament, as of February (%)",15.9373
"Total, all countries or areas",2010,"Seats held by women in national parliament, as of February (%)",19.0306
"Total, all countries or areas",2015,"Seats held by women in national parliament, as of February (%)",22.2732
"Total, all countries or areas",2016,"Seats held by women in national parliament, as of February (%)",22.7371
"Total, all countries or areas",2017,"Seats held by women in national parliament, as of February (%)",23.3881
"Total, all countries or areas",2018,"Seats held by women in national parliament, as of February (%)",23.4288
"Total, all countries or areas",2019,"Seats held by women in national parliament, as of February (%)",24.2981
Africa,2000,"Seats held by women in national parliament, as of February (%)",10.4459
Africa,2005,"Seats held by women in national parliament, as of February (%)",13.9041
Africa,2010,"Seats held by women in national parliament, as of February (%)",17.3825
Africa,2015,"Seats held by women in national parliament, as of February (%)",22.9575
Africa,2016,"Seats held by women in national parliament, as of February (%)",23.2571
Africa,2017,"Seats held by women in national parliament, as of February (%)",23.7461
Africa,2018,"Seats held by women in national parliament, as of February (%)",23.4347
Africa,2019,"Seats held by women in national parliament, as of February (%)",23.6237
Northern Africa,2000,"Seats held by women in national parliament, as of February (%)",4.5376
Northern Africa,2005,"Seats held by women in national parliament, as of February (%)",8.7362
Northern Africa,2010,"Seats held by women in national parliament, as of February (%)",10.9416
Northern Africa,2015,"Seats held by women in national parliament, as of February (%)",21.9711
Northern Africa,2016,"Seats held by women in national parliament, as of February (%)",23.2049
Northern Africa,2017,"Seats held by women in national parliament, as of February (%)",23.8179
Northern Africa,2018,"Seats held by women in national parliament, as of February (%)",22.6357
Northern Africa,2019,"Seats held by women in national parliament, as of February (%)",22.6593
Sub-Saharan Africa,2000,"Seats held by women in national parliament, as of February (%)",11.5237
Sub-Saharan Africa,2005,"Seats held by women in national parliament, as of February (%)",14.4434
Sub-Saharan Africa,2010,"Seats held by women in national parliament, as of February (%)",18.3981
Sub-Saharan Africa,2015,"Seats held by women in national parliament, as of February (%)",22.6417
Sub-Saharan Africa,2016,"Seats held by women in national parliament, as of February (%)",23.2714
Sub-Saharan Africa,2017,"Seats held by women in national parliament, as of February (%)",23.7273
Sub-Saharan Africa,2018,"Seats held by women in national parliament, as of February (%)",23.6443
Sub-Saharan Africa,2019,"Seats held by women in national parliament, as of February (%)",23.8813
Eastern Africa,2000,"Seats held by women in national parliament, as of February (%)",11.8943
Eastern Africa,2005,"Seats held by women in national parliament, as of February (%)",16.5918
Eastern Africa,2010,"Seats held by women in national parliament, as of February (%)",21.593
Eastern Africa,2015,"Seats held by women in national parliament, as of February (%)",27.1855
Eastern Africa,2016,"Seats held by women in national parliament, as of February (%)",28.8517
Eastern Africa,2017,"Seats held by women in national parliament, as of February (%)",29.695
