,Year,Series,Value
Eastern and South-Eastern Asia,1985,Ratio of girls to boys in primary education,0.877
Eastern and South-Eastern Asia,1995,Ratio of girls to boys in primary education,0.958
Eastern and South-Eastern Asia,2005,Ratio of girls to boys in primary education,0.9894
Eastern and South-Eastern Asia,2010,Ratio of girls to boys in primary education,0.9934
Eastern and South-Eastern Asia,2015,Ratio of girls to boys in primary education,0.9923
Eastern and South-Eastern Asia,2016,Ratio of girls to boys in primary education,0.9942
Eastern and South-Eastern Asia,2017,Ratio of girls to boys in primary education,0.9949
Eastern and South-Eastern Asia,1985,Ratio of girls to boys in secondary education,0.7925
Eastern and South-Eastern Asia,1995,Ratio of girls to boys in secondary education,0.8975
Eastern and South-Eastern Asia,2005,Ratio of girls to boys in secondary education,0.9853
Eastern and South-Eastern Asia,2010,Ratio of girls to boys in secondary education,1.0003
Eastern and South-Eastern Asia,2015,Ratio of girls to boys in secondary education,1.0155
Eastern and South-Eastern Asia,2016,Ratio of girls to boys in secondary education,1.0195
Eastern and South-Eastern Asia,2017,Ratio of girls to boys in secondary education,1.0178
Eastern and South-Eastern Asia,1985,Ratio of girls to boys in tertiary education,0.6005
Eastern and South-Eastern Asia,1995,Ratio of girls to boys in tertiary education,0.7367
Eastern and South-Eastern Asia,2005,Ratio of girls to boys in tertiary education,0.8967
Eastern and South-Eastern Asia,2010,Ratio of girls to boys in tertiary education,1.0225
Eastern and South-Eastern Asia,2015,Ratio of girls to boys in tertiary education,1.1363
Eastern and South-Eastern Asia,2016,Ratio of girls to boys in tertiary education,1.1567
Eastern and South-Eastern Asia,2017,Ratio of girls to boys in tertiary education,1.1589
Northern Africa and Western Asia,1985,Ratio of girls to boys in primary education,0.8184
Northern Africa and Western Asia,1995,Ratio of girls to boys in primary education,0.8699
Northern Africa and Western Asia,2005,Ratio of girls to boys in primary education,0.9183
Northern Africa and Western Asia,2010,Ratio of girls to boys in primary education,0.9382
Northern Africa and Western Asia,2015,Ratio of girls to boys in primary education,0.952
Northern Africa and Western Asia,2016,Ratio of girls to boys in primary education,0.9525
Northern Africa and Western Asia,2017,Ratio of girls to boys in primary education,0.9533
Northern Africa and Western Asia,1985,Ratio of girls to boys in secondary education,0.6963
Northern Africa and Western Asia,1995,Ratio of girls to boys in secondary education,0.8052
Northern Africa and Western Asia,2005,Ratio of girls to boys in secondary education,0.9162
Northern Africa and Western Asia,2010,Ratio of girls to boys in secondary education,0.9327
Northern Africa and Western Asia,2015,Ratio of girls to boys in secondary education,0.9459
Northern Africa and Western Asia,2016,Ratio of girls to boys in secondary education,0.9461
Northern Africa and Western Asia,2017,Ratio of girls to boys in secondary education,0.9477
Northern Africa and Western Asia,1985,Ratio of girls to boys in tertiary education,0.6299
Northern Africa and Western Asia,1995,Ratio of girls to boys in tertiary education,0.7649
Northern Africa and Western Asia,2005,Ratio of girls to boys in tertiary education,0.93
Northern Africa and Western Asia,2010,Ratio of girls to boys in tertiary education,0.9884
Northern Africa and Western Asia,2015,Ratio of girls to boys in tertiary education,1.0115
Northern Africa and Western Asia,2016,Ratio of girls to boys in tertiary education,1.0223
Northern Africa and Western Asia,2017,Ratio of girls to boys in tertiary education,1.0206
Northern America and Europe,1985,Ratio of girls to boys in primary education,1
Northern America and Europe,1995,Ratio of girls to boys in primary education,0.9907
