,Year,Series,Value
"Total, all countries or areas",2005,Students enrolled in primary education (thousands),"678,991.61"
"Total, all countries or areas",2005,Gross enrollement ratio - Primary (male),104.936
"Total, all countries or areas",2005,Gross enrollment ratio - Primary (female),99.9214
"Total, all countries or areas",2005,Students enrolled in secondary education (thousands),"509,245.76"
"Total, all countries or areas",2005,Gross enrollment ratio - Secondary (male),65.7318
"Total, all countries or areas",2005,Gross enrollment ratio - Secondary (female),62.0691
"Total, all countries or areas",2005,Students enrolled in tertiary education (thousands),"139,950.88"
"Total, all countries or areas",2005,Gross enrollment ratio - Tertiary (male),23.7177
"Total, all countries or areas",2005,Gross enrollment ratio - Tertiary (female),24.84
"Total, all countries or areas",2010,Students enrolled in primary education (thousands),"697,048.83"
"Total, all countries or areas",2010,Gross enrollement ratio - Primary (male),105.8406
"Total, all countries or areas",2010,Gross enrollment ratio - Primary (female),102.9678
"Total, all countries or areas",2010,Students enrolled in secondary education (thousands),"546,102.43"
"Total, all countries or areas",2010,Gross enrollment ratio - Secondary (male),72.3451
"Total, all countries or areas",2010,Gross enrollment ratio - Secondary (female),69.8178
"Total, all countries or areas",2010,Students enrolled in tertiary education (thousands),"182,209.18"
"Total, all countries or areas",2010,Gross enrollment ratio - Tertiary (male),28.393
"Total, all countries or areas",2010,Gross enrollment ratio - Tertiary (female),30.4946
"Total, all countries or areas",2014,Students enrolled in primary education (thousands),"715,016.66"
"Total, all countries or areas",2014,Gross enrollement ratio - Primary (male),103.1513
"Total, all countries or areas",2014,Gross enrollment ratio - Primary (female),102.8368
"Total, all countries or areas",2014,Students enrolled in secondary education (thousands),"580,925.09"
"Total, all countries or areas",2014,Gross enrollment ratio - Secondary (male),76.8073
"Total, all countries or areas",2014,Gross enrollment ratio - Secondary (female),75.821
"Total, all countries or areas",2014,Students enrolled in tertiary education (thousands),"212,931.48"
"Total, all countries or areas",2014,Gross enrollment ratio - Tertiary (male),33.7063
"Total, all countries or areas",2014,Gross enrollment ratio - Tertiary (female),37.5289
"Total, all countries or areas",2015,Students enrolled in primary education (thousands),"720,228.45"
"Total, all countries or areas",2015,Gross enrollement ratio - Primary (male),102.7414
"Total, all countries or areas",2015,Gross enrollment ratio - Primary (female),102.6242
"Total, all countries or areas",2015,Students enrolled in secondary education (thousands),"583,315.56"
"Total, all countries or areas",2015,Gross enrollment ratio - Secondary (male),76.9851
"Total, all countries or areas",2015,Gross enrollment ratio - Secondary (female),75.9324
"Total, all countries or areas",2015,Students enrolled in tertiary education (thousands),"217,458.98"
"Total, all countries or areas",2015,Gross enrollment ratio - Tertiary (male),34.7216
"Total, all countries or areas",2015,Gross enrollment ratio - Tertiary (female),38.7492
"Total, all countries or areas",2017,Students enrolled in primary education (thousands),"746,284.92"
"Total, all countries or areas",2017,Gross enrollement ratio - Primary (male),103.7417
"Total, all countries or areas",2017,Gross enrollment ratio - Primary (female),104.4958
"Total, all countries or areas",2017,Students enrolled in secondary education (thousands),"590,725.24"
"Total, all countries or areas",2017,Gross enrollment ratio - Secondary (male),76.9813
"Total, all countries or areas",2017,Gross enrollment ratio - Secondary (female),76.1996
"Total, all countries or areas",2017,Students enrolled in tertiary education (thousands),"220,704.24"
"Total, all countries or areas",2017,Gross enrollment ratio - Tertiary (male),35.7433
"Total, all countries or areas",2017,Gross enrollment ratio - Tertiary (female),40.1622
Northern Africa,2005,Students enrolled in primary education (thousands),"23,022.99"
Northern Africa,2005,Gross enrollement ratio - Primary (male),97.5028
Northern Africa,2005,Gross enrollment ratio - Primary (female),90.3474
Northern Africa,2005,Students enrolled in secondary education (thousands),"16,908.91"
Northern Africa,2005,Gross enrollment ratio - Secondary (male),68.742
Northern Africa,2005,Gross enrollment ratio - Secondary (female),67.7743
Northern Africa,2005,Students enrolled in tertiary education (thousands),"4,585.89"
Northern Africa,2005,Gross enrollment ratio - Tertiary (male),23.8312
Northern Africa,2005,Gross enrollment ratio - Tertiary (female),22.9692
Northern Africa,2010,Students enrolled in primary education (thousands),"23,597.68"
Northern Africa,2010,Gross enrollement ratio - Primary (male),101.4367
Northern Africa,2010,Gross enrollment ratio - Primary (female),96.0266
Northern Africa,2010,Students enrolled in secondary education (thousands),"17,398.83"
Northern Africa,2010,Gross enrollment ratio - Secondary (male),72.1599
Northern Africa,2010,Gross enrollment ratio - Secondary (female),70.4278
Northern Africa,2010,Students enrolled in tertiary education (thousands),"5,514.78"
Northern Africa,2010,Gross enrollment ratio - Tertiary (male),25.7716
Northern Africa,2010,Gross enrollment ratio - Tertiary (female),27.6724
Northern Africa,2014,Students enrolled in primary education (thousands),"25,149.71"
Northern Africa,2014,Gross enrollement ratio - Primary (male),100.0596
Northern Africa,2014,Gross enrollment ratio - Primary (female),96.7596
Northern Africa,2014,Students enrolled in secondary education (thousands),"18,617.52"
