,Year,Series,Value
"Total, all countries or areas",2005,Teachers at primary level (thousands),26891.1335
"Total, all countries or areas",2005,Pupil-teacher ratio in primary education,25.2497
"Total, all countries or areas",2005,Teachers at secondary level (thousands),28507.0086
"Total, all countries or areas",2005,Pupil-teacher ratio in secondary education,17.8639
"Total, all countries or areas",2005,Teachers at tertiary level (thousands),9231.0213
"Total, all countries or areas",2010,Teachers at primary level (thousands),28668.8191
"Total, all countries or areas",2010,Pupil-teacher ratio in primary education,24.3138
"Total, all countries or areas",2010,Teachers at secondary level (thousands),32355.3832
"Total, all countries or areas",2010,Pupil-teacher ratio in secondary education,16.8783
"Total, all countries or areas",2010,Teachers at tertiary level (thousands),11160.7966
"Total, all countries or areas",2015,Teachers at primary level (thousands),31184.7482
"Total, all countries or areas",2015,Pupil-teacher ratio in primary education,23.0955
"Total, all countries or areas",2015,Teachers at secondary level (thousands),33528.3906
"Total, all countries or areas",2015,Pupil-teacher ratio in secondary education,17.3977
"Total, all countries or areas",2015,Teachers at tertiary level (thousands),12981.0277
"Total, all countries or areas",2017,Teachers at primary level (thousands),31572.7098
"Total, all countries or areas",2017,Pupil-teacher ratio in primary education,23.637
"Total, all countries or areas",2017,Teachers at secondary level (thousands),34555.0392
"Total, all countries or areas",2017,Pupil-teacher ratio in secondary education,17.0952
"Total, all countries or areas",2017,Teachers at tertiary level (thousands),13161.5653
Northern Africa,2005,Teachers at primary level (thousands),944.3133
Northern Africa,2005,Pupil-teacher ratio in primary education,24.3807
Northern Africa,2005,Teachers at secondary level (thousands),993.7656
Northern Africa,2005,Pupil-teacher ratio in secondary education,17.015
Northern Africa,2005,Teachers at tertiary level (thousands),172.5367
Northern Africa,2010,Teachers at primary level (thousands),971.5714
Northern Africa,2010,Pupil-teacher ratio in primary education,24.2882
Northern Africa,2010,Teachers at secondary level (thousands),1161.7744
Northern Africa,2010,Pupil-teacher ratio in secondary education,14.9761
Northern Africa,2010,Teachers at tertiary level (thousands),209.4663
Northern Africa,2015,Teachers at primary level (thousands),1176.2087
Northern Africa,2015,Pupil-teacher ratio in primary education,21.9235
Northern Africa,2015,Teachers at secondary level (thousands),1202.4673
Northern Africa,2015,Pupil-teacher ratio in secondary education,15.7193
Northern Africa,2015,Teachers at tertiary level (thousands),257.8716
Northern Africa,2017,Teachers at primary level (thousands),1196.5046
Northern Africa,2017,Pupil-teacher ratio in primary education,22.9262
Northern Africa,2017,Teachers at secondary level (thousands),1217.6973
Northern Africa,2017,Pupil-teacher ratio in secondary education,16.1016
Northern Africa,2017,Teachers at tertiary level (thousands),261.6881
Sub-Saharan Africa,2005,Teachers at primary level (thousands),2576.5327
Sub-Saharan Africa,2005,Pupil-teacher ratio in primary education,44.0134
Sub-Saharan Africa,2005,Teachers at secondary level (thousands),1177.9569
Sub-Saharan Africa,2005,Pupil-teacher ratio in secondary education,27.1807
Sub-Saharan Africa,2005,Teachers at tertiary level (thousands),177.801
Sub-Saharan Africa,2010,Teachers at primary level (thousands),3167.6605
Sub-Saharan Africa,2010,Pupil-teacher ratio in primary education,42.8994
Sub-Saharan Africa,2010,Teachers at secondary level (thousands),1889.6989
Sub-Saharan Africa,2010,Pupil-teacher ratio in secondary education,23.7704
Sub-Saharan Africa,2010,Teachers at tertiary level (thousands),261.2495
Sub-Saharan Africa,2015,Teachers at primary level (thousands),4060.6161
Sub-Saharan Africa,2015,Pupil-teacher ratio in primary education,38.6029
Sub-Saharan Africa,2015,Teachers at secondary level (thousands),2695.0617
Sub-Saharan Africa,2015,Pupil-teacher ratio in secondary education,21.1933
Sub-Saharan Africa,2015,Teachers at tertiary level (thousands),348.9227
Sub-Saharan Africa,2017,Teachers at primary level (thousands),4280.3817
Sub-Saharan Africa,2017,Pupil-teacher ratio in primary education,38.4838
Sub-Saharan Africa,2017,Teachers at secondary level (thousands),2730.9956
Sub-Saharan Africa,2017,Pupil-teacher ratio in secondary education,21.7131
Northern America,2005,Teachers at primary level (thousands),1864.5455
Northern America,2005,Pupil-teacher ratio in primary education,14.3628
Northern America,2005,Teachers at secondary level (thousands),1773.9823
Northern America,2005,Pupil-teacher ratio in secondary education,15.2418
Northern America,2005,Teachers at tertiary level (thousands),1385.6967
Northern America,2010,Teachers at primary level (thousands),1919.9048
Northern America,2010,Pupil-teacher ratio in primary education,13.8369
Northern America,2010,Teachers at secondary level (thousands),1898.02
Northern America,2010,Pupil-teacher ratio in secondary education,14.1246
Northern America,2010,Teachers at tertiary level (thousands),1646.2896
Northern America,2015,Teachers at primary level (thousands),1847.1034
Northern America,2015,Pupil-teacher ratio in primary education,14.6683
Northern America,2015,Teachers at secondary level (thousands),1802.5378
Northern America,2015,Pupil-teacher ratio in secondary education,15.0138
Northern America,2015,Teachers at tertiary level (thousands),1785.749
Northern America,2016,Teachers at primary level (thousands),1864.1251
Northern America,2016,Pupil-teacher ratio in primary education,14.6675
Northern America,2016,Teachers at secondary level (thousands),1822.3139
Northern America,2016,Pupil-teacher ratio in secondary education,15.01
Northern America,2016,Teachers at tertiary level (thousands),1734.9761
Latin America & the Caribbean,2005,Teachers at primary level (thousands),2935.0236
Latin America & the Caribbean,2005,Pupil-teacher ratio in primary education,23.5318
Latin America & the Caribbean,2005,Teachers at secondary level (thousands),3469.3008
Latin America & the Caribbean,2005,Pupil-teacher ratio in secondary education,16.9738
Latin America & the Caribbean,2005,Teachers at tertiary level (thousands),1228.2748
Latin America & the Caribbean,2010,Teachers at primary level (thousands),2908.3666
Latin America & the Caribbean,2010,Pupil-teacher ratio in primary education,23.1024
Latin America & the Caribbean,2010,Teachers at secondary level (thousands),3541.8658
Latin America & the Caribbean,2010,Pupil-teacher ratio in secondary education,17.2508
Latin America & the Caribbean,2010,Teachers at tertiary level (thousands),1689.1426
Latin America & the Caribbean,2015,Teachers at primary level (thousands),2984.7679
Latin America & the Caribbean,2015,Pupil-teacher ratio in primary education,21.6365
Latin America & the Caribbean,2015,Teachers at secondary level (thousands),3906.9234
Latin America & the Caribbean,2015,Pupil-teacher ratio in secondary education,16.392
Latin America & the Caribbean,2015,Teachers at tertiary level (thousands),1850.233
Latin America & the Caribbean,2017,Teachers at primary level (thousands),3010.1576
Latin America & the Caribbean,2017,Pupil-teacher ratio in primary education,21.4512
Latin America & the Caribbean,2017,Teachers at secondary level (thousands),3887.074
Latin America & the Caribbean,2017,Pupil-teacher ratio in secondary education,16.4682
Latin America & the Caribbean,2017,Teachers at tertiary level (thousands),1953.7149
Central Asia,2005,Teachers at primary level (thousands),242.4219
Central Asia,2005,Pupil-teacher ratio in primary education,19.8413
Central Asia,2005,Teachers at secondary level (thousands),792.9023
Central Asia,2005,Pupil-teacher ratio in secondary education,11.4043
Central Asia,2005,Teachers at tertiary level (thousands),101.9949
Central Asia,2010,Teachers at primary level (thousands),226.1625
Central Asia,2010,Pupil-teacher ratio in primary education,18.7989
Central Asia,2010,Teachers at secondary level (thousands),746.9706
Central Asia,2010,Pupil-teacher ratio in secondary education,11.519
Central Asia,2010,Teachers at tertiary level (thousands),113.1155
Central Asia,2015,Teachers at primary level (thousands),252.6593
Central Asia,2015,Pupil-teacher ratio in primary education,19.102
Central Asia,2015,Teachers at secondary level (thousands),783.9518
Central Asia,2015,Pupil-teacher ratio in secondary education,10.18
Central Asia,2015,Teachers at tertiary level (thousands),116.898
Central Asia,2017,Teachers at primary level (thousands),251.5464
Central Asia,2017,Pupil-teacher ratio in primary education,21.4524
Central Asia,2017,Teachers at secondary level (thousands),839.6488
Central Asia,2017,Pupil-teacher ratio in secondary education,9.5431
Central Asia,2017,Teachers at tertiary level (thousands),112.934
Eastern Asia,2005,Teachers at primary level (thousands),6683.3156
Eastern Asia,2005,Pupil-teacher ratio in primary education,18.9061
Eastern Asia,2005,Teachers at secondary level (thousands),6500.1969
Eastern Asia,2005,Pupil-teacher ratio in secondary education,17.7265
Eastern Asia,2005,Teachers at tertiary level (thousands),2179.452
Eastern Asia,2010,Teachers at primary level (thousands),6658.4408
Eastern Asia,2010,Pupil-teacher ratio in primary education,17.06
Eastern Asia,2010,Teachers at secondary level (thousands),7435.3746
Eastern Asia,2010,Pupil-teacher ratio in secondary education,15.2695
Eastern Asia,2010,Teachers at tertiary level (thousands),2404.7927
Eastern Asia,2012,Teachers at primary level (thousands),6580.7982
Eastern Asia,2012,Pupil-teacher ratio in primary education,16.943
Eastern Asia,2012,Teachers at secondary level (thousands),7594.0453
Eastern Asia,2012,Pupil-teacher ratio in secondary education,14.3682
Eastern Asia,2012,Teachers at tertiary level (thousands),2534.7944
Eastern Asia,2015,Teachers at primary level (thousands),6564.859
Eastern Asia,2015,Pupil-teacher ratio in primary education,16.3421
Eastern Asia,2015,Teachers at secondary level (thousands),7280.889
Eastern Asia,2015,Pupil-teacher ratio in secondary education,13.6797
Eastern Asia,2017,Teachers at primary level (thousands),6740.0525
Eastern Asia,2017,Pupil-teacher ratio in primary education,16.5965
Eastern Asia,2017,Teachers at secondary level (thousands),7308.6428
Eastern Asia,2017,Pupil-teacher ratio in secondary education,13.2035
South-central Asia,2005,Teachers at primary level (thousands),4825.7534
South-central Asia,2005,Pupil-teacher ratio in primary education,38.6025
South-central Asia,2005,Teachers at secondary level (thousands),4949.3633
South-central Asia,2005,Pupil-teacher ratio in secondary education,26.2219
South-central Asia,2005,Teachers at tertiary level (thousands),843.8226
South-central Asia,2010,Teachers at primary level (thousands),5501.4699
South-central Asia,2010,Pupil-teacher ratio in primary education,35.6435
South-central Asia,2010,Teachers at secondary level (thousands),6446.0321
South-central Asia,2010,Pupil-teacher ratio in secondary education,23.5766
South-central Asia,2010,Teachers at tertiary level (thousands),1372.0912
South-central Asia,2015,Teachers at primary level (thousands),6307.7293
South-central Asia,2015,Pupil-teacher ratio in primary education,31.8185
South-central Asia,2015,Teachers at secondary level (thousands),6531.1126
South-central Asia,2015,Pupil-teacher ratio in secondary education,27.3252
South-central Asia,2015,Teachers at tertiary level (thousands),1915.0801
South-central Asia,2017,Teachers at primary level (thousands),6170.2566
South-central Asia,2017,Pupil-teacher ratio in primary education,34.0825
South-central Asia,2017,Teachers at secondary level (thousands),7277.9424
South-central Asia,2017,Pupil-teacher ratio in secondary education,25.1717
South-central Asia,2017,Teachers at tertiary level (thousands),1951.7161
South-eastern Asia,2005,Teachers at primary level (thousands),2940.9373
South-eastern Asia,2005,Pupil-teacher ratio in primary education,23.2257
South-eastern Asia,2005,Teachers at secondary level (thousands),2238.7341
South-eastern Asia,2005,Pupil-teacher ratio in secondary education,18.2422
South-eastern Asia,2005,Teachers at tertiary level (thousands),579.9659
South-eastern Asia,2010,Teachers at primary level (thousands),3248.3128
South-eastern Asia,2010,Pupil-teacher ratio in primary education,21.054
South-eastern Asia,2010,Teachers at secondary level (thousands),2700.6508
South-eastern Asia,2010,Pupil-teacher ratio in secondary education,16.8737
South-eastern Asia,2010,Teachers at tertiary level (thousands),690.7755
South-eastern Asia,2015,Teachers at primary level (thousands),3711.3522
South-eastern Asia,2015,Pupil-teacher ratio in primary education,18.5226
South-eastern Asia,2015,Teachers at secondary level (thousands),2767.2591
South-eastern Asia,2015,Pupil-teacher ratio in secondary education,18.5829
South-eastern Asia,2015,Teachers at tertiary level (thousands),759.5687
South-eastern Asia,2017,Teachers at primary level (thousands),3646.3793
South-eastern Asia,2017,Pupil-teacher ratio in primary education,18.7926
South-eastern Asia,2017,Teachers at secondary level (thousands),2856.2652
South-eastern Asia,2017,Pupil-teacher ratio in secondary education,18.2393
South-eastern Asia,2017,Teachers at tertiary level (thousands),770.2021
Southern Asia,2005,Teachers at primary level (thousands),4583.3315
Southern Asia,2005,Pupil-teacher ratio in primary education,39.5948
Southern Asia,2005,Teachers at secondary level (thousands),4156.4609
Southern Asia,2005,Pupil-teacher ratio in secondary education,29.0485
Southern Asia,2005,Teachers at tertiary level (thousands),741.8277
Southern Asia,2010,Teachers at primary level (thousands),5275.3075
Southern Asia,2010,Pupil-teacher ratio in primary education,36.3657
Southern Asia,2010,Teachers at secondary level (thousands),5699.0615
Southern Asia,2010,Pupil-teacher ratio in secondary education,25.157
Southern Asia,2010,Teachers at tertiary level (thousands),1258.9757
Southern Asia,2015,Teachers at primary level (thousands),6055.07
Southern Asia,2015,Pupil-teacher ratio in primary education,32.3491
Southern Asia,2015,Teachers at secondary level (thousands),5747.1608
Southern Asia,2015,Pupil-teacher ratio in secondary education,29.6639
Southern Asia,2015,Teachers at tertiary level (thousands),1798.1821
Southern Asia,2017,Teachers at primary level (thousands),5918.7103
Southern Asia,2017,Pupil-teacher ratio in primary education,34.6193
Southern Asia,2017,Teachers at secondary level (thousands),6438.2936
Southern Asia,2017,Pupil-teacher ratio in secondary education,27.2099
Southern Asia,2017,Teachers at tertiary level (thousands),1838.7821
Western Asia,2005,Teachers at primary level (thousands),1289.1944
Western Asia,2005,Pupil-teacher ratio in primary education,18.7474
Western Asia,2005,Teachers at secondary level (thousands),1344.4698
Western Asia,2005,Pupil-teacher ratio in secondary education,14.6529
Western Asia,2005,Teachers at tertiary level (thousands),306.7046
Western Asia,2010,Teachers at primary level (thousands),1444.6315
Western Asia,2010,Pupil-teacher ratio in primary education,17.5993
Western Asia,2010,Teachers at secondary level (thousands),1594.6401
Western Asia,2010,Pupil-teacher ratio in secondary education,14.0413
Western Asia,2010,Teachers at tertiary level (thousands),371.8746
Western Asia,2015,Teachers at primary level (thousands),1613.0291
Western Asia,2015,Pupil-teacher ratio in primary education,16.5534
Western Asia,2015,Teachers at secondary level (thousands),1794.8356
Western Asia,2015,Pupil-teacher ratio in secondary education,14.1118
Western Asia,2015,Teachers at tertiary level (thousands),480.2258
Western Asia,2016,Teachers at primary level (thousands),1579.77
Western Asia,2016,Pupil-teacher ratio in primary education,16.8525
Western Asia,2016,Teachers at secondary level (thousands),1832.2157
Western Asia,2016,Pupil-teacher ratio in secondary education,13.9925
Western Asia,2016,Teachers at tertiary level (thousands),504.7309
Western Asia,2017,Teachers at primary level (thousands),1601.0809
Western Asia,2017,Pupil-teacher ratio in primary education,16.918
Europe,2005,Teachers at primary level (thousands),2672.818
Europe,2005,Pupil-teacher ratio in primary education,14.3904
Europe,2005,Teachers at secondary level (thousands),5835.9329
Europe,2005,Pupil-teacher ratio in secondary education,11.1843
Europe,2005,Teachers at tertiary level (thousands),2272.3598
Europe,2010,Teachers at primary level (thousands),2673.4354
Europe,2010,Pupil-teacher ratio in primary education,13.746
Europe,2010,Teachers at secondary level (thousands),5469.7885
Europe,2010,Pupil-teacher ratio in secondary education,10.7186
Europe,2010,Teachers at tertiary level (thousands),2411.9744
Europe,2015,Teachers at primary level (thousands),2724.2957
Europe,2015,Pupil-teacher ratio in primary education,14.1266
Europe,2015,Teachers at secondary level (thousands),5328.2973
Europe,2015,Pupil-teacher ratio in secondary education,10.7843
Europe,2015,Teachers at tertiary level (thousands),2377.448
Europe,2017,Teachers at primary level (thousands),2827.2304
Europe,2017,Pupil-teacher ratio in primary education,14.0352
Europe,2017,Teachers at secondary level (thousands),5386.678
Europe,2017,Pupil-teacher ratio in secondary education,10.9165
Europe,2017,Teachers at tertiary level (thousands),2367.6044
Oceania,2005,Teachers at primary level (thousands),158.6998
Oceania,2005,Pupil-teacher ratio in primary education,19.7959
Oceania,2010,Teachers at primary level (thousands),175.0255
Oceania,2010,Pupil-teacher ratio in primary education,20.3179
Oceania,2015,Teachers at primary level (thousands),194.7869
Oceania,2015,Pupil-teacher ratio in primary education,21.0516
Oceania,2017,Teachers at primary level (thousands),202.504
Oceania,2017,Pupil-teacher ratio in primary education,21.0318
Afghanistan,2004,Teachers at tertiary level (thousands),1.781
Afghanistan,2004,Pupil-teacher ratio in tertiary education,15.5239
Afghanistan,2007,Teachers at primary level (thousands),110.312
Afghanistan,2007,Pupil-teacher ratio in primary education,42.7703
