,Year,Series,Value
Afghanistan,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),9.3032
Afghanistan,2010,All staff compensation as % of total expenditure in public institutions (%),72.3783
Afghanistan,2010,Capital expenditure as % of total expenditure in public institutions (%),18.3186
Afghanistan,2010,Expenditure by level of education: primary (as % of government expenditure),62.1365
Afghanistan,2010,Expenditure by level of education: secondary (as % of government expenditure),26.6937
Afghanistan,2010,Expenditure by level of education: tertiary (as % of government expenditure),9.0322
Afghanistan,2010,Public expenditure on education (% of government expenditure),17.0676
Afghanistan,2010,Public expenditure on education (% of GDP),3.462
Afghanistan,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),8.9602
Afghanistan,2015,All staff compensation as % of total expenditure in public institutions (%),71.4471
Afghanistan,2015,Capital expenditure as % of total expenditure in public institutions (%),19.5927
Afghanistan,2015,Expenditure by level of education: primary (as % of government expenditure),56.6955
Afghanistan,2015,Expenditure by level of education: secondary (as % of government expenditure),24.3563
Afghanistan,2015,Expenditure by level of education: tertiary (as % of government expenditure),15.9538
Afghanistan,2015,Public expenditure on education (% of government expenditure),12.509
Afghanistan,2015,Public expenditure on education (% of GDP),3.242
Afghanistan,2017,Expenditure by level of education: primary (as % of government expenditure),44.1906
Afghanistan,2017,Expenditure by level of education: secondary (as % of government expenditure),22.2537
Afghanistan,2017,Public expenditure on education (% of government expenditure),15.6614
Afghanistan,2017,Public expenditure on education (% of GDP),3.9268
Albania,2005,Public expenditure on education (% of government expenditure),11.358
Albania,2005,Public expenditure on education (% of GDP),3.2387
Albania,2007,Public expenditure on education (% of government expenditure),11.1772
Albania,2007,Public expenditure on education (% of GDP),3.2687
Albania,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),12.4627
Albania,2015,All staff compensation as % of total expenditure in public institutions (%),79.4827
Albania,2015,Capital expenditure as % of total expenditure in public institutions (%),8.0546
Albania,2015,Expenditure by level of education: primary (as % of government expenditure),56.7669
Albania,2015,Expenditure by level of education: secondary (as % of government expenditure),21.5817
Albania,2015,Expenditure by level of education: tertiary (as % of government expenditure),21.156
Albania,2015,Public expenditure on education (% of government expenditure),11.3177
Albania,2015,Public expenditure on education (% of GDP),3.438
Albania,2016,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),18.9283
Albania,2016,All staff compensation as % of total expenditure in public institutions (%),72.7093
Albania,2016,Capital expenditure as % of total expenditure in public institutions (%),8.3624
Albania,2016,Expenditure by level of education: secondary (as % of government expenditure),25.3694
Albania,2016,Expenditure by level of education: tertiary (as % of government expenditure),19.0985
Albania,2016,Public expenditure on education (% of government expenditure),13.597
Albania,2016,Public expenditure on education (% of GDP),3.9546
Algeria,2008,Expenditure by level of education: tertiary (as % of government expenditure),26.9726
Algeria,2008,Public expenditure on education (% of government expenditure),11.4284
Algeria,2008,Public expenditure on education (% of GDP),4.337
American Samoa,2006,Capital expenditure as % of total expenditure in public institutions (%),6.2346
American Samoa,2006,Expenditure by level of education: tertiary (as % of government expenditure),11.1848
American Samoa,2006,Public expenditure on education (% of GDP),14.6293
Andorra,2005,Expenditure by level of education: pre-primary (as % of government expenditure),16.87
Andorra,2005,Expenditure by level of education: primary (as % of government expenditure),24.1359
Andorra,2005,Expenditure by level of education: secondary (as % of government expenditure),20.6186
Andorra,2005,Expenditure by level of education: tertiary (as % of government expenditure),3.8825
Andorra,2005,Public expenditure on education (% of GDP),1.5965
Andorra,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),30.9192
Andorra,2010,All staff compensation as % of total expenditure in public institutions (%),36.7439
Andorra,2010,Capital expenditure as % of total expenditure in public institutions (%),1.6832
Andorra,2010,Expenditure by level of education: pre-primary (as % of government expenditure),14.6094
Andorra,2010,Expenditure by level of education: primary (as % of government expenditure),28.8952
Andorra,2010,Expenditure by level of education: secondary (as % of government expenditure),20.9346
Andorra,2010,Expenditure by level of education: tertiary (as % of government expenditure),3.8613
Andorra,2010,Public expenditure on education (% of GDP),3.0574
Andorra,2017,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),63.8312
Andorra,2017,All staff compensation as % of total expenditure in public institutions (%),35.4391
Andorra,2017,Capital expenditure as % of total expenditure in public institutions (%),0.7298
Andorra,2017,Expenditure by level of education: pre-primary (as % of government expenditure),11.912
Andorra,2017,Expenditure by level of education: primary (as % of government expenditure),22.0479
Andorra,2017,Expenditure by level of education: secondary (as % of government expenditure),24.7644
