,Year,Series,Value
Afghanistan,2001,Health personnel: Physicians (number),"4,104"
Afghanistan,2001,Health personnel: Physicians (per 1000 population),0.2
Afghanistan,2001,Health personnel: Pharmacists (number),525
Afghanistan,2001,Health personnel: Pharmacists (per 1000 population),0
Afghanistan,2005,Health personnel: Pharmacists (number),900
Afghanistan,2005,Health personnel: Pharmacists (per 1000 population),0
Afghanistan,2005,Health personnel: Nurses and midwives (number),"14,930"
Afghanistan,2005,Health personnel: Nurses and midwives personnel (per 1000 population),0.6
Afghanistan,2008,Health personnel: Physicians (number),"4,834"
Afghanistan,2008,Health personnel: Physicians (per 1000 population),0.2
Afghanistan,2008,Health personnel: Dentists (number),382
Afghanistan,2008,Health personnel: Dentists (per 1000 population),0
Afghanistan,2008,Health personnel: Pharmacists (number),829
Afghanistan,2008,Health personnel: Pharmacists (per 1000 population),0
Afghanistan,2008,Health personnel: Nurses and midwives (number),"13,780"
Afghanistan,2008,Health personnel: Nurses and midwives personnel (per 1000 population),0.5
Afghanistan,2009,Health personnel: Physicians (number),"6,037"
Afghanistan,2009,Health personnel: Physicians (per 1000 population),0.2
Afghanistan,2009,Health personnel: Pharmacists (number),847
Afghanistan,2009,Health personnel: Pharmacists (per 1000 population),0
Afghanistan,2009,Health personnel: Nurses and midwives (number),"17,257"
Afghanistan,2009,Health personnel: Nurses and midwives personnel (per 1000 population),0.6
Afghanistan,2010,Health personnel: Physicians (number),"6,901"
Afghanistan,2010,Health personnel: Physicians (per 1000 population),0.2
Afghanistan,2010,Health personnel: Pharmacists (number),814
Afghanistan,2010,Health personnel: Pharmacists (per 1000 population),0
Afghanistan,2014,Health personnel: Physicians (number),"9,954"
Afghanistan,2014,Health personnel: Physicians (per 1000 population),0.3
Afghanistan,2014,Health personnel: Dentists (number),111
Afghanistan,2014,Health personnel: Dentists (per 1000 population),0
Afghanistan,2014,Health personnel: Pharmacists (number),"1,711"
Afghanistan,2014,Health personnel: Pharmacists (per 1000 population),0.1
Afghanistan,2014,Health personnel: Nurses and midwives (number),"10,482"
Afghanistan,2014,Health personnel: Nurses and midwives personnel (per 1000 population),0.3
Afghanistan,2015,Health personnel: Physicians (number),"9,808"
Afghanistan,2015,Health personnel: Physicians (per 1000 population),0.3
Afghanistan,2015,Health personnel: Dentists (number),123
Afghanistan,2015,Health personnel: Dentists (per 1000 population),0
Afghanistan,2015,Health personnel: Pharmacists (number),"1,712"
Afghanistan,2015,Health personnel: Pharmacists (per 1000 population),0.1
Afghanistan,2016,Health personnel: Physicians (number),"9,842"
Afghanistan,2016,Health personnel: Physicians (per 1000 population),0.3
Afghanistan,2016,Health personnel: Dentists (number),120
Afghanistan,2016,Health personnel: Dentists (per 1000 population),0
Afghanistan,2016,Health personnel: Pharmacists (number),"1,675"
Afghanistan,2016,Health personnel: Pharmacists (per 1000 population),0
Albania,2006,Health personnel: Dentists (number),"1,035"
Albania,2006,Health personnel: Dentists (per 1000 population),0.3
Albania,2010,Health personnel: Physicians (number),"3,640"
Albania,2010,Health personnel: Physicians (per 1000 population),1.2
Albania,2010,Health personnel: Pharmacists (number),"1,324"
Albania,2010,Health personnel: Pharmacists (per 1000 population),0.5
