,Year,Series,Value
Afghanistan,2005,Current health expenditure (% of GDP),9.9483
Afghanistan,2010,Current health expenditure (% of GDP),8.5697
Afghanistan,2014,Current health expenditure (% of GDP),9.5289
Afghanistan,2015,Current health expenditure (% of GDP),10.094
Afghanistan,2016,Current health expenditure (% of GDP),10.1987
Afghanistan,2005,Domestic general government health expenditure (% of total government expenditure),3.371
Afghanistan,2010,Domestic general government health expenditure (% of total government expenditure),2.2555
Afghanistan,2014,Domestic general government health expenditure (% of total government expenditure),1.8607
Afghanistan,2015,Domestic general government health expenditure (% of total government expenditure),2.0144
Afghanistan,2016,Domestic general government health expenditure (% of total government expenditure),2.0144
Albania,2000,Current health expenditure (% of GDP),6.7613
Albania,2005,Current health expenditure (% of GDP),6.3428
Albania,2010,Current health expenditure (% of GDP),5.01
Albania,2014,Current health expenditure (% of GDP),6.9168
Albania,2015,Current health expenditure (% of GDP),6.8197
Albania,2016,Current health expenditure (% of GDP),6.6979
Albania,2000,Domestic general government health expenditure (% of total government expenditure),7.07
Albania,2005,Domestic general government health expenditure (% of total government expenditure),9.6865
Albania,2010,Domestic general government health expenditure (% of total government expenditure),8.464
Albania,2014,Domestic general government health expenditure (% of total government expenditure),9.554
Albania,2015,Domestic general government health expenditure (% of total government expenditure),9.5081
Albania,2016,Domestic general government health expenditure (% of total government expenditure),9.5081
Algeria,2000,Current health expenditure (% of GDP),3.489
Algeria,2005,Current health expenditure (% of GDP),3.2352
Algeria,2010,Current health expenditure (% of GDP),5.1172
Algeria,2014,Current health expenditure (% of GDP),6.5472
Algeria,2015,Current health expenditure (% of GDP),6.9829
Algeria,2016,Current health expenditure (% of GDP),6.6485
Algeria,2000,Domestic general government health expenditure (% of total government expenditure),8.7881
Algeria,2005,Domestic general government health expenditure (% of total government expenditure),8.2694
Algeria,2010,Domestic general government health expenditure (% of total government expenditure),9.5448
Algeria,2014,Domestic general government health expenditure (% of total government expenditure),11.6107
Algeria,2015,Domestic general government health expenditure (% of total government expenditure),10.7331
Algeria,2016,Domestic general government health expenditure (% of total government expenditure),10.7343
Andorra,2000,Current health expenditure (% of GDP),9.3481
Andorra,2005,Current health expenditure (% of GDP),8.566
Andorra,2010,Current health expenditure (% of GDP),9.4497
Andorra,2014,Current health expenditure (% of GDP),10.2765
Andorra,2015,Current health expenditure (% of GDP),10.2612
Andorra,2016,Current health expenditure (% of GDP),10.3677
Andorra,2000,Domestic general government health expenditure (% of total government expenditure),12.9924
Andorra,2005,Domestic general government health expenditure (% of total government expenditure),10.9966
Andorra,2010,Domestic general government health expenditure (% of total government expenditure),10.8924
Andorra,2014,Domestic general government health expenditure (% of total government expenditure),14.9578
Andorra,2015,Domestic general government health expenditure (% of total government expenditure),15.2437
Andorra,2016,Domestic general government health expenditure (% of total government expenditure),14.0176
Angola,2000,Current health expenditure (% of GDP),2.3344
Angola,2005,Current health expenditure (% of GDP),3.7348
Angola,2010,Current health expenditure (% of GDP),2.7367
