,Year,Series,Value
"Total, all countries or areas",2015,"Intentional homicide rates per 100,000",5.3
Sub-Saharan Africa,2015,"Intentional homicide rates per 100,000",9.6
Latin America & the Caribbean,2015,"Intentional homicide rates per 100,000",22.3
South-central Asia,2015,"Intentional homicide rates per 100,000",3.7
Oceania,2015,"Intentional homicide rates per 100,000",8.8
Australia and New Zealand,2015,"Intentional homicide rates per 100,000",1
Afghanistan,2010,"Intentional homicide rates per 100,000",3.4
Afghanistan,2012,"Intentional homicide rates per 100,000",6.3
Afghanistan,2012,"Percentage of male and female intentional homicide victims, Male",11.8
Afghanistan,2012,"Percentage of male and female intentional homicide victims, Female",0.6
Albania,2005,"Intentional homicide rates per 100,000",5
Albania,2005,"Percentage of male and female intentional homicide victims, Male",8.6
Albania,2005,"Percentage of male and female intentional homicide victims, Female",1.4
Albania,2005,"Assault rate per 100,000 population",5.4
Albania,2005,"Theft at the national level, rate per 100,000 population",97
Albania,2005,"Robbery at the national level, rate per 100,000 population",6.5
Albania,2005,"Total Sexual Violence at the national level, rate per 100,000",2.9
Albania,2010,"Intentional homicide rates per 100,000",4.3
Albania,2010,"Percentage of male and female intentional homicide victims, Male",7.3
Albania,2010,"Percentage of male and female intentional homicide victims, Female",1.3
Albania,2010,"Assault rate per 100,000 population",6.1
Albania,2010,"Kidnapping at the national level, rate per 100,000",0.3
Albania,2010,"Theft at the national level, rate per 100,000 population",135.3
Albania,2010,"Robbery at the national level, rate per 100,000 population",8
Albania,2010,"Total Sexual Violence at the national level, rate per 100,000",2.7
Albania,2015,"Intentional homicide rates per 100,000",2.3
Albania,2015,"Percentage of male and female intentional homicide victims, Male",3.5
Albania,2015,"Percentage of male and female intentional homicide victims, Female",1
Albania,2015,"Assault rate per 100,000 population",5.8
Albania,2015,"Kidnapping at the national level, rate per 100,000",0.3
Albania,2015,"Theft at the national level, rate per 100,000 population",245.8
Albania,2015,"Robbery at the national level, rate per 100,000 population",8
Albania,2015,"Total Sexual Violence at the national level, rate per 100,000",5.1
Albania,2016,"Intentional homicide rates per 100,000",2.7
Albania,2016,"Percentage of male and female intentional homicide victims, Male",4.3
Albania,2016,"Percentage of male and female intentional homicide victims, Female",1
Albania,2016,"Assault rate per 100,000 population",4
Albania,2016,"Kidnapping at the national level, rate per 100,000",0.1
Albania,2016,"Theft at the national level, rate per 100,000 population",192.4
Albania,2016,"Robbery at the national level, rate per 100,000 population",5.4
Algeria,2005,"Intentional homicide rates per 100,000",0.6
Algeria,2005,"Assault rate per 100,000 population",98.9
Algeria,2005,"Kidnapping at the national level, rate per 100,000",0.3
Algeria,2005,"Robbery at the national level, rate per 100,000 population",75.5
Algeria,2010,"Intentional homicide rates per 100,000",0.7
Algeria,2010,"Assault rate per 100,000 population",114.6
Algeria,2010,"Kidnapping at the national level, rate per 100,000",0.5
Algeria,2010,"Theft at the national level, rate per 100,000 population",141.4
Algeria,2010,"Robbery at the national level, rate per 100,000 population",51.2
Algeria,2010,"Total Sexual Violence at the national level, rate per 100,000",10.5
Algeria,2015,"Intentional homicide rates per 100,000",1.4
