,Year,Series,Value
Afghanistan,2005,Consumer price index: General,71.141
Afghanistan,2010,Consumer price index: General,100
Afghanistan,2015,Consumer price index: General,132.1177
Afghanistan,2016,Consumer price index: General,137.9046
Afghanistan,2017,Consumer price index: General,144.7692
Afghanistan,2010,Consumer price index: Food,100
Afghanistan,2015,Consumer price index: Food,100.8219
Afghanistan,2016,Consumer price index: Food,106.5345
Afghanistan,2017,Consumer price index: Food,113.927
Åland Islands,1995,Consumer price index: General,80
Åland Islands,2005,Consumer price index: General,90.8265
Åland Islands,2010,Consumer price index: General,100
Åland Islands,2015,Consumer price index: General,108.5683
Åland Islands,2016,Consumer price index: General,109.1667
Åland Islands,2017,Consumer price index: General,111.1
Åland Islands,2018,Consumer price index: General,112.5
Åland Islands,2005,Consumer price index: Food,90.3342
Åland Islands,2010,Consumer price index: Food,100
Åland Islands,2015,Consumer price index: Food,114.3
Åland Islands,2016,Consumer price index: Food,113.1
Åland Islands,2017,Consumer price index: Food,113.7
Åland Islands,2018,Consumer price index: Food,115.6
Albania,1995,Consumer price index: General,40.7478
Albania,2005,Consumer price index: General,86.6665
Albania,2010,Consumer price index: General,100
Albania,2015,Consumer price index: General,111.3972
Albania,2016,Consumer price index: General,112.818
Albania,2017,Consumer price index: General,115.0798
Albania,2018,Consumer price index: General,117.4057
Albania,2005,Consumer price index: Food,82.8125
Albania,2010,Consumer price index: Food,100
Albania,2015,Consumer price index: Food,118.8192
Albania,2016,Consumer price index: Food,122.5574
Albania,2017,Consumer price index: Food,127.3438
Albania,2018,Consumer price index: Food,130.7555
Algeria,1995,Consumer price index: General,51.9303
Algeria,2005,Consumer price index: General,81.8249
Algeria,2010,Consumer price index: General,100
Algeria,2015,Consumer price index: General,126.7367
Algeria,2016,Consumer price index: General,134.8449
Algeria,2017,Consumer price index: General,142.3842
Algeria,2018,Consumer price index: General,148.464
Algeria,2010,Consumer price index: Food,100
Algeria,2015,Consumer price index: Food,131.2707
Algeria,2016,Consumer price index: Food,135.7301
Algeria,2017,Consumer price index: Food,142.5363
Algeria,2018,Consumer price index: Food,147.3495
Andorra,2005,Consumer price index: General,89.6129
Andorra,2010,Consumer price index: General,100
Andorra,2015,Consumer price index: General,103.2631
Andorra,2016,Consumer price index: General,102.8262
Andorra,2017,Consumer price index: General,105.4889
Andorra,2018,Consumer price index: General,105.8153
Andorra,2005,Consumer price index: Food,92.0016
Andorra,2010,Consumer price index: Food,100
Andorra,2015,Consumer price index: Food,108.2173
Andorra,2016,Consumer price index: Food,109.1247
Andorra,2017,Consumer price index: Food,112.2576
Andorra,2018,Consumer price index: Food,114.4729
Angola,1995,Consumer price index: General,0.0007
Angola,2005,Consumer price index: General,53.6948
Angola,2010,Consumer price index: General,100
Angola,2015,Consumer price index: General,161.0523
Angola,2016,Consumer price index: General,213.1974
Angola,2017,Consumer price index: General,280.7633
Angola,2018,Consumer price index: General,337.4504
Angola,2005,Consumer price index: Food,45.4599
Angola,2010,Consumer price index: Food,100
Angola,2015,Consumer price index: Food,167.2521
Angola,2016,Consumer price index: Food,222.646
Angola,2017,Consumer price index: Food,286.6098
Anguilla,1995,Consumer price index: General,61.0044
Anguilla,2005,Consumer price index: General,81.9035
Anguilla,2010,Consumer price index: General,100
Anguilla,2015,Consumer price index: General,105.0533
Anguilla,2016,Consumer price index: General,104.5051
Anguilla,2017,Consumer price index: General,105.8576
Anguilla,2010,Consumer price index: Food,100
Anguilla,2015,Consumer price index: Food,111.3574
Anguilla,2016,Consumer price index: Food,111.0452
Anguilla,2017,Consumer price index: Food,112.3082
Anguilla,2018,Consumer price index: Food,113.4148
Antigua and Barbuda,2005,Consumer price index: General,89.4605
Antigua and Barbuda,2010,Consumer price index: General,100
Antigua and Barbuda,2015,Consumer price index: General,110.3197
Antigua and Barbuda,2016,Consumer price index: General,109.7798
Antigua and Barbuda,2017,Consumer price index: General,112.4502
Argentina,2017,Consumer price index: General,112.8871
Argentina,2018,Consumer price index: General,151.5902
Argentina,2017,Consumer price index: Food,111.683
Argentina,2018,Consumer price index: Food,148.2494
Armenia,1995,Consumer price index: General,44.2897
Armenia,2005,Consumer price index: General,76.3796
Armenia,2010,Consumer price index: General,100
Armenia,2015,Consumer price index: General,124.7662
Armenia,2016,Consumer price index: General,123.0149
Armenia,2017,Consumer price index: General,124.2076
Armenia,2018,Consumer price index: General,127.338
Armenia,2010,Consumer price index: Food,100
Armenia,2015,Consumer price index: Food,127.08
Armenia,2016,Consumer price index: Food,122.8992
Armenia,2017,Consumer price index: Food,127.937
Aruba,1995,Consumer price index: General,62.4952
Aruba,2005,Consumer price index: General,84.1374
Aruba,2010,Consumer price index: General,100
Aruba,2015,Consumer price index: General,103.4022
Aruba,2016,Consumer price index: General,102.4852
Aruba,2017,Consumer price index: General,101.992
Aruba,2018,Consumer price index: General,105.644
Aruba,2005,Consumer price index: Food,73.6053
Aruba,2010,Consumer price index: Food,100
Aruba,2015,Consumer price index: Food,111.9446
Aruba,2016,Consumer price index: Food,111.7629
Aruba,2017,Consumer price index: Food,112.4972
Aruba,2018,Consumer price index: Food,120.8829
Australia,1995,Consumer price index: General,67.6379
Australia,2005,Consumer price index: General,86.3424
Australia,2010,Consumer price index: General,100
Australia,2015,Consumer price index: General,112.0447
Australia,2016,Consumer price index: General,113.4755
Australia,2017,Consumer price index: General,115.6868
Australia,2018,Consumer price index: General,117.898
Australia,2010,Consumer price index: Food,100
Australia,2015,Consumer price index: Food,107.5711
Australia,2016,Consumer price index: Food,108.4496
Australia,2017,Consumer price index: Food,109.2248
Australia,2018,Consumer price index: Food,110.2842
Austria,1995,Consumer price index: General,77.06
Austria,2005,Consumer price index: General,91.3527
Austria,2010,Consumer price index: General,100
Austria,2015,Consumer price index: General,110.6757
Austria,2016,Consumer price index: General,111.7
Austria,2017,Consumer price index: General,114
Austria,2018,Consumer price index: General,116.3
Austria,1995,Consumer price index: Food,76.3598
Austria,2005,Consumer price index: Food,88.0558
Austria,2010,Consumer price index: Food,100
Austria,2015,Consumer price index: Food,114.4167
Austria,2016,Consumer price index: Food,115.2
Austria,2017,Consumer price index: Food,118
Austria,2018,Consumer price index: Food,119.7
Azerbaijan,1995,Consumer price index: General,42.6677
Azerbaijan,2005,Consumer price index: General,61.1464
Azerbaijan,2010,Consumer price index: General,100
Azerbaijan,2015,Consumer price index: General,117.7309
Azerbaijan,2016,Consumer price index: General,132.3878
Azerbaijan,2017,Consumer price index: General,149.4723
Azerbaijan,2018,Consumer price index: General,152.9
Azerbaijan,2010,Consumer price index: Food,100
Azerbaijan,2015,Consumer price index: Food,119.5773
Azerbaijan,2016,Consumer price index: Food,136.2348
Azerbaijan,2017,Consumer price index: Food,159.7667
Azerbaijan,2018,Consumer price index: Food,162.9583
Bahamas,1995,Consumer price index: General,75.2891
Bahamas,2005,Consumer price index: General,88.1683
Bahamas,2010,Consumer price index: General,100
Bahamas,2015,Consumer price index: General,109.603
Bahamas,2016,Consumer price index: General,109.2233
Bahamas,2017,Consumer price index: General,110.8816
Bahamas,2018,Consumer price index: General,113.394
Bahamas,2015,Consumer price index: Food,106.4692
Bahrain,1995,Consumer price index: General,83.7908
