,Year,Series,Value
"Total, all countries or areas",1990,Primary energy production (petajoules),"360,903"
"Total, all countries or areas",1995,Primary energy production (petajoules),"380,713"
"Total, all countries or areas",2000,Primary energy production (petajoules),"412,155"
"Total, all countries or areas",2005,Primary energy production (petajoules),"476,738"
"Total, all countries or areas",2010,Primary energy production (petajoules),"530,597"
"Total, all countries or areas",2014,Primary energy production (petajoules),"567,032"
"Total, all countries or areas",2015,Primary energy production (petajoules),"570,980"
"Total, all countries or areas",2016,Primary energy production (petajoules),"568,988"
"Total, all countries or areas",1990,Net imports [Imports - Exports - Bunkers] (petajoules),"-8,506"
"Total, all countries or areas",1995,Net imports [Imports - Exports - Bunkers] (petajoules),"-8,833"
"Total, all countries or areas",2000,Net imports [Imports - Exports - Bunkers] (petajoules),"-10,761"
"Total, all countries or areas",2005,Net imports [Imports - Exports - Bunkers] (petajoules),"-13,751"
"Total, all countries or areas",2010,Net imports [Imports - Exports - Bunkers] (petajoules),"-12,967"
"Total, all countries or areas",2014,Net imports [Imports - Exports - Bunkers] (petajoules),"-16,188"
"Total, all countries or areas",2015,Net imports [Imports - Exports - Bunkers] (petajoules),"-18,261"
"Total, all countries or areas",2016,Net imports [Imports - Exports - Bunkers] (petajoules),"-21,853"
"Total, all countries or areas",1990,Changes in stocks (petajoules),"4,141"
"Total, all countries or areas",1995,Changes in stocks (petajoules),193
"Total, all countries or areas",2000,Changes in stocks (petajoules),"-2,969"
"Total, all countries or areas",2005,Changes in stocks (petajoules),-313
"Total, all countries or areas",2010,Changes in stocks (petajoules),138
"Total, all countries or areas",2014,Changes in stocks (petajoules),"3,372"
"Total, all countries or areas",2015,Changes in stocks (petajoules),"2,540"
"Total, all countries or areas",2016,Changes in stocks (petajoules),"-4,441"
"Total, all countries or areas",1990,Total supply (petajoules),"348,256"
"Total, all countries or areas",1995,Total supply (petajoules),"371,687"
"Total, all countries or areas",2000,Total supply (petajoules),"404,363"
"Total, all countries or areas",2005,Total supply (petajoules),"463,300"
"Total, all countries or areas",2010,Total supply (petajoules),"517,492"
"Total, all countries or areas",2014,Total supply (petajoules),"547,472"
"Total, all countries or areas",2015,Total supply (petajoules),"550,179"
"Total, all countries or areas",2016,Total supply (petajoules),"551,577"
"Total, all countries or areas",1990,Supply per capita (gigajoules),62
"Total, all countries or areas",1995,Supply per capita (gigajoules),65
"Total, all countries or areas",2000,Supply per capita (gigajoules),66
"Total, all countries or areas",2005,Supply per capita (gigajoules),71
"Total, all countries or areas",2010,Supply per capita (gigajoules),74
"Total, all countries or areas",2014,Supply per capita (gigajoules),75
"Total, all countries or areas",2015,Supply per capita (gigajoules),75
"Total, all countries or areas",2016,Supply per capita (gigajoules),74
Africa,1990,Primary energy production (petajoules),"28,031"
Africa,1995,Primary energy production (petajoules),"32,227"
Africa,2000,Primary energy production (petajoules),"37,344"
Africa,2005,Primary energy production (petajoules),"45,181"
Africa,2010,Primary energy production (petajoules),"47,682"
Africa,2014,Primary energy production (petajoules),"45,029"
Africa,2015,Primary energy production (petajoules),"45,004"
Africa,2016,Primary energy production (petajoules),"44,744"
Africa,1990,Net imports [Imports - Exports - Bunkers] (petajoules),"-12,200"
Africa,1995,Net imports [Imports - Exports - Bunkers] (petajoules),"-13,010"
Africa,2000,Net imports [Imports - Exports - Bunkers] (petajoules),"-16,264"
Africa,2005,Net imports [Imports - Exports - Bunkers] (petajoules),"-20,516"
Africa,2010,Net imports [Imports - Exports - Bunkers] (petajoules),"-19,157"
Africa,2014,Net imports [Imports - Exports - Bunkers] (petajoules),"-12,806"
Africa,2015,Net imports [Imports - Exports - Bunkers] (petajoules),"-12,949"
Africa,2016,Net imports [Imports - Exports - Bunkers] (petajoules),"-11,912"
Africa,1990,Changes in stocks (petajoules),-11
Africa,1995,Changes in stocks (petajoules),321
Africa,2000,Changes in stocks (petajoules),-33
Africa,2005,Changes in stocks (petajoules),2
Africa,2010,Changes in stocks (petajoules),19
Africa,2014,Changes in stocks (petajoules),217
Africa,2015,Changes in stocks (petajoules),87
Africa,2016,Changes in stocks (petajoules),14
Africa,1990,Total supply (petajoules),"15,842"
Africa,1995,Total supply (petajoules),"18,896"
Africa,2000,Total supply (petajoules),"21,113"
Africa,2005,Total supply (petajoules),"24,661"
Africa,2010,Total supply (petajoules),"28,507"
Africa,2014,Total supply (petajoules),"32,006"
Africa,2015,Total supply (petajoules),"31,968"
Africa,2016,Total supply (petajoules),"32,819"
Africa,1990,Supply per capita (gigajoules),25
Africa,1995,Supply per capita (gigajoules),26
Africa,2000,Supply per capita (gigajoules),26
Africa,2005,Supply per capita (gigajoules),27
Africa,2010,Supply per capita (gigajoules),27
Africa,2014,Supply per capita (gigajoules),27
Africa,2015,Supply per capita (gigajoules),27
Africa,2016,Supply per capita (gigajoules),27
North America,1990,Primary energy production (petajoules),"89,489"
North America,1995,Primary energy production (petajoules),"93,298"
North America,2000,Primary energy production (petajoules),"96,175"
North America,2005,Primary energy production (petajoules),"97,912"
North America,2010,Primary energy production (petajoules),"100,226"
North America,2014,Primary energy production (petajoules),"114,023"
North America,2015,Primary energy production (petajoules),"114,018"
North America,2016,Primary energy production (petajoules),"109,340"
North America,1990,Net imports [Imports - Exports - Bunkers] (petajoules),"7,792"
North America,1995,Net imports [Imports - Exports - Bunkers] (petajoules),"9,145"
North America,2000,Net imports [Imports - Exports - Bunkers] (petajoules),"15,612"
North America,2005,Net imports [Imports - Exports - Bunkers] (petajoules),"20,169"
North America,2010,Net imports [Imports - Exports - Bunkers] (petajoules),"12,902"
North America,2014,Net imports [Imports - Exports - Bunkers] (petajoules),"1,430"
North America,2015,Net imports [Imports - Exports - Bunkers] (petajoules),"1,649"
North America,2016,Net imports [Imports - Exports - Bunkers] (petajoules),"2,199"
North America,1990,Changes in stocks (petajoules),"1,783"
North America,1995,Changes in stocks (petajoules),-923
