,Year,Series,Value
Albania,2008,R & D personnel: Total (number in full-time equivalent),779
Albania,2008,R & D personnel: Researchers - total (number in full-time equivalent),467
Albania,2008,R & D personnel: Researchers - women (number in full-time equivalent),207
Albania,2008,R & D personnel: Technicians - total (number in full-time equivalent),120
Albania,2008,R & D personnel: Other supporting staff - total (number in full-time equivalent),192
Algeria,2005,R & D personnel: Total (number in full-time equivalent),"7,331"
Algeria,2005,R & D personnel: Researchers - total (number in full-time equivalent),"5,593"
Algeria,2005,R & D personnel: Researchers - women (number in full-time equivalent),"2,043"
Algeria,2005,R & D personnel: Technicians - total (number in full-time equivalent),"1,134"
Algeria,2005,R & D personnel: Other supporting staff - total (number in full-time equivalent),604
American Samoa,2005,R & D personnel: Total (number in full-time equivalent),6
American Samoa,2005,R & D personnel: Researchers - total (number in full-time equivalent),6
Angola,2011,R & D personnel: Total (number in full-time equivalent),"2,038"
Angola,2011,R & D personnel: Researchers - total (number in full-time equivalent),"1,150"
Angola,2011,R & D personnel: Researchers - women (number in full-time equivalent),320
Angola,2011,R & D personnel: Technicians - total (number in full-time equivalent),858
Angola,2011,R & D personnel: Technicians - women (number in full-time equivalent),242
Angola,2011,R & D personnel: Other supporting staff - total (number in full-time equivalent),30
Angola,2011,R & D personnel: Other supporting staff - women (number in full-time equivalent),6
Argentina,2005,R & D personnel: Total (number in full-time equivalent),"45,361"
Argentina,2005,R & D personnel: Researchers - total (number in full-time equivalent),"31,868"
Argentina,2005,R & D personnel: Researchers - women (number in full-time equivalent),"15,416"
Argentina,2005,R & D personnel: Technicians - total (number in full-time equivalent),"7,788"
Argentina,2005,R & D personnel: Other supporting staff - total (number in full-time equivalent),"5,705"
Argentina,2010,R & D personnel: Total (number in full-time equivalent),"65,299"
Argentina,2010,R & D personnel: Researchers - total (number in full-time equivalent),"46,199"
Argentina,2010,R & D personnel: Researchers - women (number in full-time equivalent),"23,558"
Argentina,2010,R & D personnel: Technicians - total (number in full-time equivalent),"10,143"
Argentina,2010,R & D personnel: Other supporting staff - total (number in full-time equivalent),"8,957"
Argentina,2015,R & D personnel: Total (number in full-time equivalent),"78,713"
Argentina,2015,R & D personnel: Researchers - total (number in full-time equivalent),"52,970"
Argentina,2015,R & D personnel: Researchers - women (number in full-time equivalent),"27,536"
Argentina,2015,R & D personnel: Technicians - total (number in full-time equivalent),"13,953"
Argentina,2015,R & D personnel: Other supporting staff - total (number in full-time equivalent),"11,790"
Armenia,2005,R & D personnel: Total (number in full-time equivalent),"6,892"
Armenia,2005,R & D personnel: Researchers - total (number in full-time equivalent),"5,056"
Armenia,2005,R & D personnel: Researchers - women (number in full-time equivalent),"2,329"
Armenia,2005,R & D personnel: Technicians - total (number in full-time equivalent),345
Armenia,2005,R & D personnel: Other supporting staff - total (number in full-time equivalent),"1,491"
Armenia,2010,R & D personnel: Total (number in full-time equivalent),"6,558"
Armenia,2010,R & D personnel: Researchers - total (number in full-time equivalent),"4,981"
Armenia,2010,R & D personnel: Researchers - women (number in full-time equivalent),"2,261"
Armenia,2010,R & D personnel: Technicians - total (number in full-time equivalent),479
Armenia,2010,R & D personnel: Other supporting staff - total (number in full-time equivalent),672
Armenia,2016,R & D personnel: Total (number in full-time equivalent),"4,881"
Armenia,2016,R & D personnel: Researchers - total (number in full-time equivalent),"3,682"
Armenia,2016,R & D personnel: Researchers - women (number in full-time equivalent),"1,917"
Armenia,2016,R & D personnel: Technicians - total (number in full-time equivalent),320
Armenia,2016,R & D personnel: Technicians - women (number in full-time equivalent),168
Armenia,2016,R & D personnel: Other supporting staff - total (number in full-time equivalent),537
Armenia,2016,R & D personnel: Other supporting staff - women (number in full-time equivalent),283
Australia,2004,R & D personnel: Total (number in full-time equivalent),"116,194"
Australia,2004,R & D personnel: Researchers - total (number in full-time equivalent),"81,192"
Australia,2004,R & D personnel: Technicians - total (number in full-time equivalent),"17,600"
Australia,2004,R & D personnel: Other supporting staff - total (number in full-time equivalent),"17,402"
Australia,2008,R & D personnel: Total (number in full-time equivalent),"137,489"
Australia,2008,R & D personnel: Researchers - total (number in full-time equivalent),"92,649"
Australia,2008,R & D personnel: Technicians - total (number in full-time equivalent),"24,243"
Australia,2008,R & D personnel: Other supporting staff - total (number in full-time equivalent),"20,597"
Australia,2010,R & D personnel: Researchers - total (number in full-time equivalent),"100,414"
Austria,2004,R & D personnel: Total (number in full-time equivalent),"42,891"
Austria,2004,R & D personnel: Researchers - total (number in full-time equivalent),"25,955"
Austria,2004,R & D personnel: Researchers - women (number in full-time equivalent),"4,740"
Austria,2004,R & D personnel: Technicians - total (number in full-time equivalent),"12,067"
Austria,2004,R & D personnel: Technicians - women (number in full-time equivalent),"2,901"
Austria,2004,R & D personnel: Other supporting staff - total (number in full-time equivalent),"4,869"
Austria,2004,R & D personnel: Other supporting staff - women (number in full-time equivalent),"2,471"
Austria,2005,R & D personnel: Total (number in full-time equivalent),"47,625"
Austria,2005,R & D personnel: Researchers - total (number in full-time equivalent),"28,470"
Austria,2009,R & D personnel: Total (number in full-time equivalent),"56,438"
Austria,2009,R & D personnel: Researchers - total (number in full-time equivalent),"34,664"
Austria,2009,R & D personnel: Researchers - women (number in full-time equivalent),"7,765"
Austria,2009,R & D personnel: Technicians - total (number in full-time equivalent),"16,709"
Austria,2009,R & D personnel: Technicians - women (number in full-time equivalent),"3,903"
Austria,2009,R & D personnel: Other supporting staff - total (number in full-time equivalent),"5,065"
Austria,2009,R & D personnel: Other supporting staff - women (number in full-time equivalent),"2,398"
Austria,2010,R & D personnel: Total (number in full-time equivalent),"59,923"
Austria,2010,R & D personnel: Researchers - total (number in full-time equivalent),"36,581"
Austria,2015,R & D personnel: Total (number in full-time equivalent),"71,396"
Austria,2015,R & D personnel: Researchers - total (number in full-time equivalent),"43,562"
Austria,2015,R & D personnel: Researchers - women (number in full-time equivalent),"10,114"
Austria,2015,R & D personnel: Technicians - total (number in full-time equivalent),"22,387"
Austria,2015,R & D personnel: Technicians - women (number in full-time equivalent),"4,651"
Austria,2015,R & D personnel: Other supporting staff - total (number in full-time equivalent),"5,447"
Austria,2015,R & D personnel: Other supporting staff - women (number in full-time equivalent),"2,326"
Austria,2016,R & D personnel: Total (number in full-time equivalent),"73,643"
Austria,2016,R & D personnel: Researchers - total (number in full-time equivalent),"44,933"
Azerbaijan,2005,R & D personnel: Total (number in full-time equivalent),"18,164"
Azerbaijan,2005,R & D personnel: Researchers - total (number in full-time equivalent),"11,603"
Azerbaijan,2005,R & D personnel: Researchers - women (number in full-time equivalent),"6,056"
Azerbaijan,2005,R & D personnel: Technicians - total (number in full-time equivalent),"1,825"
Azerbaijan,2005,R & D personnel: Other supporting staff - total (number in full-time equivalent),"3,086"
Azerbaijan,2010,R & D personnel: Total (number in full-time equivalent),"17,924"
Azerbaijan,2010,R & D personnel: Researchers - total (number in full-time equivalent),"11,037"
Azerbaijan,2010,R & D personnel: Researchers - women (number in full-time equivalent),"6,101"
Azerbaijan,2010,R & D personnel: Technicians - total (number in full-time equivalent),"1,819"
Azerbaijan,2010,R & D personnel: Technicians - women (number in full-time equivalent),"1,087"
Azerbaijan,2010,R & D personnel: Other supporting staff - total (number in full-time equivalent),"3,531"
Azerbaijan,2010,R & D personnel: Other supporting staff - women (number in full-time equivalent),"1,866"
Azerbaijan,2016,R & D personnel: Total (number in full-time equivalent),"22,527"
Azerbaijan,2016,R & D personnel: Researchers - total (number in full-time equivalent),"15,548"
Azerbaijan,2016,R & D personnel: Researchers - women (number in full-time equivalent),"8,871"
Azerbaijan,2016,R & D personnel: Technicians - total (number in full-time equivalent),"2,019"
Azerbaijan,2016,R & D personnel: Technicians - women (number in full-time equivalent),"1,060"
Azerbaijan,2016,R & D personnel: Other supporting staff - total (number in full-time equivalent),"2,574"
Azerbaijan,2016,R & D personnel: Other supporting staff - women (number in full-time equivalent),"1,468"
Bahrain,2014,R & D personnel: Total (number in full-time equivalent),562
Bahrain,2014,R & D personnel: Researchers - total (number in full-time equivalent),493
Bahrain,2014,R & D personnel: Researchers - women (number in full-time equivalent),205
Bahrain,2014,R & D personnel: Technicians - total (number in full-time equivalent),23
Bahrain,2014,R & D personnel: Technicians - women (number in full-time equivalent),12
Bahrain,2014,R & D personnel: Other supporting staff - total (number in full-time equivalent),41
Bahrain,2014,R & D personnel: Other supporting staff - women (number in full-time equivalent),16
Belarus,2005,R & D personnel: Total (number in full-time equivalent),"30,222"
Belarus,2005,R & D personnel: Researchers - total (number in full-time equivalent),"18,267"
Belarus,2005,R & D personnel: Researchers - women (number in full-time equivalent),"7,897"
Belarus,2005,R & D personnel: Technicians - total (number in full-time equivalent),"2,112"
Belarus,2005,R & D personnel: Other supporting staff - total (number in full-time equivalent),"5,763"
Belarus,2010,R & D personnel: Total (number in full-time equivalent),"31,712"
Belarus,2010,R & D personnel: Researchers - total (number in full-time equivalent),"19,879"
Belarus,2010,R & D personnel: Researchers - women (number in full-time equivalent),"8,392"
Belarus,2010,R & D personnel: Technicians - total (number in full-time equivalent),"2,248"
Belarus,2010,R & D personnel: Other supporting staff - total (number in full-time equivalent),"9,585"
Belarus,2016,R & D personnel: Total (number in full-time equivalent),"25,942"
Belarus,2016,R & D personnel: Researchers - total (number in full-time equivalent),"16,879"
Belarus,2016,R & D personnel: Researchers - women (number in full-time equivalent),"6,686"
Belarus,2016,R & D personnel: Technicians - total (number in full-time equivalent),"1,618"
Belarus,2016,R & D personnel: Other supporting staff - total (number in full-time equivalent),"7,445"
Belgium,2005,R & D personnel: Total (number in full-time equivalent),"53,517"
Belgium,2005,R & D personnel: Researchers - total (number in full-time equivalent),"33,146"
Belgium,2005,R & D personnel: Researchers - women (number in full-time equivalent),"9,769"
Belgium,2005,R & D personnel: Technicians - total (number in full-time equivalent),"15,047"
Belgium,2005,R & D personnel: Technicians - women (number in full-time equivalent),"4,585"
Belgium,2005,R & D personnel: Other supporting staff - total (number in full-time equivalent),"5,324"
Belgium,2005,R & D personnel: Other supporting staff - women (number in full-time equivalent),"2,702"
Belgium,2010,R & D personnel: Total (number in full-time equivalent),"60,075"
Belgium,2010,R & D personnel: Researchers - total (number in full-time equivalent),"40,832"
Belgium,2010,R & D personnel: Researchers - women (number in full-time equivalent),"12,962"
Belgium,2010,R & D personnel: Technicians - total (number in full-time equivalent),"14,401"
Belgium,2010,R & D personnel: Technicians - women (number in full-time equivalent),"5,079"
Belgium,2010,R & D personnel: Other supporting staff - total (number in full-time equivalent),"4,841"
Belgium,2010,R & D personnel: Other supporting staff - women (number in full-time equivalent),"2,517"
Belgium,2011,R & D personnel: Total (number in full-time equivalent),"62,895"
Belgium,2011,R & D personnel: Researchers - total (number in full-time equivalent),"42,686"
Belgium,2011,R & D personnel: Researchers - women (number in full-time equivalent),"13,545"
Belgium,2011,R & D personnel: Technicians - total (number in full-time equivalent),"15,176"
Belgium,2011,R & D personnel: Technicians - women (number in full-time equivalent),"5,232"
Belgium,2011,R & D personnel: Other supporting staff - total (number in full-time equivalent),"5,033"
Belgium,2011,R & D personnel: Other supporting staff - women (number in full-time equivalent),"2,575"
Belgium,2016,R & D personnel: Total (number in full-time equivalent),"79,766"
Belgium,2016,R & D personnel: Researchers - total (number in full-time equivalent),"53,771"
Benin,2007,R & D personnel: Researchers - total (number in full-time equivalent),"1,000"
Bermuda,2010,R & D personnel: Total (number in full-time equivalent),80
Bermuda,2010,R & D personnel: Researchers - total (number in full-time equivalent),41
Bermuda,2010,R & D personnel: Researchers - women (number in full-time equivalent),17
Bermuda,2010,R & D personnel: Technicians - total (number in full-time equivalent),10
Bermuda,2010,R & D personnel: Other supporting staff - total (number in full-time equivalent),29
Bermuda,2010,R & D personnel: Other supporting staff - women (number in full-time equivalent),13
Bermuda,2015,R & D personnel: Total (number in full-time equivalent),60
Bermuda,2015,R & D personnel: Researchers - total (number in full-time equivalent),34
Bermuda,2015,R & D personnel: Researchers - women (number in full-time equivalent),11
Bermuda,2015,R & D personnel: Technicians - total (number in full-time equivalent),4
Bermuda,2015,R & D personnel: Other supporting staff - total (number in full-time equivalent),22
Bermuda,2015,R & D personnel: Other supporting staff - women (number in full-time equivalent),12
Bolivia (Plurin. State of),2002,R & D personnel: Total (number in full-time equivalent),"1,090"
Bolivia (Plurin. State of),2002,R & D personnel: Researchers - total (number in full-time equivalent),"1,040"
