,Year,Series,Value
"Total, all countries or areas",2005,"Safely managed drinking water sources, urban (Proportion of population with access)",86.1804
"Total, all countries or areas",2005,"Safely managed drinking water sources, rural (Proportion of population with access)",43.0323
"Total, all countries or areas",2005,"Safely managed drinking water sources, total (Proportion of population with access)",64.2425
"Total, all countries or areas",2005,"Safely managed sanitation facilities, urban (Proportion of population with access)",37.0176
"Total, all countries or areas",2005,"Safely managed sanitation facilities, rural (Proportion of population with access)",26.072
"Total, all countries or areas",2005,"Safely managed sanitation facilities, total (Proportion of population with access)",31.4525
"Total, all countries or areas",2010,"Safely managed drinking water sources, urban (Proportion of population with access)",85.8733
"Total, all countries or areas",2010,"Safely managed drinking water sources, rural (Proportion of population with access)",45.7852
"Total, all countries or areas",2010,"Safely managed drinking water sources, total (Proportion of population with access)",66.4963
"Total, all countries or areas",2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",41.2881
"Total, all countries or areas",2010,"Safely managed sanitation facilities, rural (Proportion of population with access)",32.533
"Total, all countries or areas",2010,"Safely managed sanitation facilities, total (Proportion of population with access)",37.0562
"Total, all countries or areas",2017,"Safely managed drinking water sources, urban (Proportion of population with access)",85.1475
"Total, all countries or areas",2017,"Safely managed drinking water sources, rural (Proportion of population with access)",53.0372
"Total, all countries or areas",2017,"Safely managed drinking water sources, total (Proportion of population with access)",70.6449
"Total, all countries or areas",2017,"Safely managed sanitation facilities, urban (Proportion of population with access)",47.0236
"Total, all countries or areas",2017,"Safely managed sanitation facilities, rural (Proportion of population with access)",42.5072
"Total, all countries or areas",2017,"Safely managed sanitation facilities, total (Proportion of population with access)",44.9838
Northern Africa,2005,"Safely managed sanitation facilities, urban (Proportion of population with access)",32.8116
Northern Africa,2005,"Safely managed sanitation facilities, total (Proportion of population with access)",20.0516
Northern Africa,2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",35.6687
Northern Africa,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",23.7565
Northern Africa,2017,"Safely managed sanitation facilities, urban (Proportion of population with access)",39.2672
Northern Africa,2017,"Safely managed sanitation facilities, total (Proportion of population with access)",28.8441
Sub-Saharan Africa,2005,"Safely managed drinking water sources, urban (Proportion of population with access)",43.6911
Sub-Saharan Africa,2005,"Safely managed drinking water sources, rural (Proportion of population with access)",7.4167
Sub-Saharan Africa,2005,"Safely managed drinking water sources, total (Proportion of population with access)",19.6415
Sub-Saharan Africa,2005,"Safely managed sanitation facilities, urban (Proportion of population with access)",18.3933
Sub-Saharan Africa,2005,"Safely managed sanitation facilities, rural (Proportion of population with access)",14.8936
Sub-Saharan Africa,2005,"Safely managed sanitation facilities, total (Proportion of population with access)",16.073
Sub-Saharan Africa,2010,"Safely managed drinking water sources, urban (Proportion of population with access)",46.0458
Sub-Saharan Africa,2010,"Safely managed drinking water sources, rural (Proportion of population with access)",8.9419
Sub-Saharan Africa,2010,"Safely managed drinking water sources, total (Proportion of population with access)",22.3545
Sub-Saharan Africa,2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",19.0923
Sub-Saharan Africa,2010,"Safely managed sanitation facilities, rural (Proportion of population with access)",16.1067
Sub-Saharan Africa,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",17.186
Sub-Saharan Africa,2017,"Safely managed drinking water sources, urban (Proportion of population with access)",50.0432
Sub-Saharan Africa,2017,"Safely managed drinking water sources, rural (Proportion of population with access)",11.6141
Sub-Saharan Africa,2017,"Safely managed drinking water sources, total (Proportion of population with access)",26.9232
Sub-Saharan Africa,2017,"Safely managed sanitation facilities, urban (Proportion of population with access)",19.8465
Sub-Saharan Africa,2017,"Safely managed sanitation facilities, rural (Proportion of population with access)",17.524
Sub-Saharan Africa,2017,"Safely managed sanitation facilities, total (Proportion of population with access)",18.4492
Eastern Africa,2005,"Safely managed drinking water sources, urban (Proportion of population with access)",40.5945
Eastern Africa,2005,"Safely managed drinking water sources, rural (Proportion of population with access)",4.212
Eastern Africa,2005,"Safely managed drinking water sources, total (Proportion of population with access)",12.404
Eastern Africa,2010,"Safely managed drinking water sources, urban (Proportion of population with access)",45.5973
Eastern Africa,2010,"Safely managed drinking water sources, rural (Proportion of population with access)",5.8028
Eastern Africa,2010,"Safely managed drinking water sources, total (Proportion of population with access)",15.4942
Eastern Africa,2017,"Safely managed drinking water sources, urban (Proportion of population with access)",53.1918
Eastern Africa,2017,"Safely managed drinking water sources, rural (Proportion of population with access)",8.9412
Eastern Africa,2017,"Safely managed drinking water sources, total (Proportion of population with access)",21.1074
Southern Africa,2005,"Safely managed drinking water sources, urban (Proportion of population with access)",89.2549
Southern Africa,2010,"Safely managed drinking water sources, urban (Proportion of population with access)",87.1974
Southern Africa,2017,"Safely managed drinking water sources, urban (Proportion of population with access)",81.8727
Western Africa,2005,"Safely managed drinking water sources, urban (Proportion of population with access)",33.2166
Western Africa,2005,"Safely managed drinking water sources, rural (Proportion of population with access)",10.5033
Western Africa,2005,"Safely managed drinking water sources, total (Proportion of population with access)",19.0856
Western Africa,2005,"Safely managed sanitation facilities, urban (Proportion of population with access)",20.514
Western Africa,2005,"Safely managed sanitation facilities, rural (Proportion of population with access)",15.6891
Western Africa,2005,"Safely managed sanitation facilities, total (Proportion of population with access)",17.5122
Western Africa,2010,"Safely managed drinking water sources, urban (Proportion of population with access)",33.3008
Western Africa,2010,"Safely managed drinking water sources, rural (Proportion of population with access)",12.4214
Western Africa,2010,"Safely managed drinking water sources, total (Proportion of population with access)",21.0113
Western Africa,2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",21.1518
Western Africa,2010,"Safely managed sanitation facilities, rural (Proportion of population with access)",16.275
Western Africa,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",18.2814
Western Africa,2017,"Safely managed drinking water sources, urban (Proportion of population with access)",33.5556
Western Africa,2017,"Safely managed drinking water sources, rural (Proportion of population with access)",15.4143
Western Africa,2017,"Safely managed drinking water sources, total (Proportion of population with access)",23.7133
Western Africa,2017,"Safely managed sanitation facilities, urban (Proportion of population with access)",21.9493
Western Africa,2017,"Safely managed sanitation facilities, rural (Proportion of population with access)",17.0462
Western Africa,2017,"Safely managed sanitation facilities, total (Proportion of population with access)",19.2892
Northern America,2005,"Safely managed drinking water sources, urban (Proportion of population with access)",99.6169
Northern America,2005,"Safely managed drinking water sources, total (Proportion of population with access)",98.9279
Northern America,2005,"Safely managed sanitation facilities, urban (Proportion of population with access)",89.5752
Northern America,2005,"Safely managed sanitation facilities, total (Proportion of population with access)",78.1297
Northern America,2010,"Safely managed drinking water sources, urban (Proportion of population with access)",99.6323
Northern America,2010,"Safely managed drinking water sources, total (Proportion of population with access)",98.9755
Northern America,2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",90.0586
Northern America,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",79.0171
Northern America,2017,"Safely managed drinking water sources, urban (Proportion of population with access)",99.6453
Northern America,2017,"Safely managed drinking water sources, total (Proportion of population with access)",99.0334
Northern America,2017,"Safely managed sanitation facilities, urban (Proportion of population with access)",90.1955
Northern America,2017,"Safely managed sanitation facilities, total (Proportion of population with access)",79.7931
Latin America & the Caribbean,2005,"Safely managed drinking water sources, urban (Proportion of population with access)",82.3951
Latin America & the Caribbean,2005,"Safely managed drinking water sources, total (Proportion of population with access)",57.4593
Latin America & the Caribbean,2005,"Safely managed sanitation facilities, urban (Proportion of population with access)",17.9728
Latin America & the Caribbean,2005,"Safely managed sanitation facilities, total (Proportion of population with access)",14.5948
Latin America & the Caribbean,2010,"Safely managed drinking water sources, urban (Proportion of population with access)",82.3174
Latin America & the Caribbean,2010,"Safely managed drinking water sources, rural (Proportion of population with access)",39.0266
Latin America & the Caribbean,2010,"Safely managed drinking water sources, total (Proportion of population with access)",73.0458
Latin America & the Caribbean,2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",25.0353
Latin America & the Caribbean,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",20.7012
Latin America & the Caribbean,2017,"Safely managed drinking water sources, urban (Proportion of population with access)",82.2623
Latin America & the Caribbean,2017,"Safely managed drinking water sources, rural (Proportion of population with access)",41.6588
Latin America & the Caribbean,2017,"Safely managed drinking water sources, total (Proportion of population with access)",74.3162
Latin America & the Caribbean,2017,"Safely managed sanitation facilities, urban (Proportion of population with access)",37.0303
Latin America & the Caribbean,2017,"Safely managed sanitation facilities, total (Proportion of population with access)",31.3188
Caribbean,2000,"Safely managed sanitation facilities, urban (Proportion of population with access)",12.6442
Central America,2005,"Safely managed drinking water sources, rural (Proportion of population with access)",37.2525
Central America,2005,"Safely managed drinking water sources, total (Proportion of population with access)",43.8243
Central America,2005,"Safely managed sanitation facilities, urban (Proportion of population with access)",19.5171
Central America,2005,"Safely managed sanitation facilities, total (Proportion of population with access)",15.0112
Central America,2010,"Safely managed drinking water sources, rural (Proportion of population with access)",39.0417
Central America,2010,"Safely managed drinking water sources, total (Proportion of population with access)",45.1314
Central America,2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",29.2013
Central America,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",23.0064
Central America,2017,"Safely managed drinking water sources, rural (Proportion of population with access)",41.5882
Central America,2017,"Safely managed drinking water sources, total (Proportion of population with access)",46.8034
Central America,2017,"Safely managed sanitation facilities, urban (Proportion of population with access)",44.0364
Central America,2017,"Safely managed sanitation facilities, total (Proportion of population with access)",35.7303
South America,2005,"Safely managed drinking water sources, urban (Proportion of population with access)",86.5123
South America,2005,"Safely managed drinking water sources, rural (Proportion of population with access)",36.4299
South America,2005,"Safely managed drinking water sources, total (Proportion of population with access)",77.0447
South America,2005,"Safely managed sanitation facilities, urban (Proportion of population with access)",17.9561
South America,2005,"Safely managed sanitation facilities, total (Proportion of population with access)",15.0765
South America,2010,"Safely managed drinking water sources, urban (Proportion of population with access)",86.7144
South America,2010,"Safely managed drinking water sources, rural (Proportion of population with access)",38.8374
South America,2010,"Safely managed drinking water sources, total (Proportion of population with access)",78.2742
South America,2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",24.6066
South America,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",20.9454
South America,2017,"Safely managed drinking water sources, urban (Proportion of population with access)",86.9365
South America,2017,"Safely managed drinking water sources, rural (Proportion of population with access)",41.807
South America,2017,"Safely managed drinking water sources, total (Proportion of population with access)",79.6876
South America,2017,"Safely managed sanitation facilities, urban (Proportion of population with access)",36.4561
South America,2017,"Safely managed sanitation facilities, total (Proportion of population with access)",31.5954
Asia,2005,"Safely managed drinking water sources, urban (Proportion of population with access)",86.0864
Asia,2005,"Safely managed drinking water sources, rural (Proportion of population with access)",46.765
Asia,2005,"Safely managed drinking water sources, total (Proportion of population with access)",62.9474
Asia,2005,"Safely managed sanitation facilities, urban (Proportion of population with access)",27.263
Asia,2005,"Safely managed sanitation facilities, rural (Proportion of population with access)",23.7234
Asia,2005,"Safely managed sanitation facilities, total (Proportion of population with access)",29.8396
Asia,2010,"Safely managed drinking water sources, urban (Proportion of population with access)",86.1294
Asia,2010,"Safely managed drinking water sources, rural (Proportion of population with access)",50.4071
Asia,2010,"Safely managed drinking water sources, total (Proportion of population with access)",66.3929
Asia,2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",33.6895
Asia,2010,"Safely managed sanitation facilities, rural (Proportion of population with access)",31.9778
Asia,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",32.7438
Asia,2017,"Safely managed drinking water sources, urban (Proportion of population with access)",85.7943
Asia,2017,"Safely managed drinking water sources, rural (Proportion of population with access)",59.7995
Asia,2017,"Safely managed drinking water sources, total (Proportion of population with access)",72.5978
Asia,2017,"Safely managed sanitation facilities, urban (Proportion of population with access)",42.6874
Asia,2017,"Safely managed sanitation facilities, rural (Proportion of population with access)",45.9685
Asia,2017,"Safely managed sanitation facilities, total (Proportion of population with access)",44.3531
Central Asia,2005,"Safely managed drinking water sources, urban (Proportion of population with access)",85.2347
Central Asia,2005,"Safely managed drinking water sources, rural (Proportion of population with access)",34.3578
Central Asia,2005,"Safely managed drinking water sources, total (Proportion of population with access)",58.1676
Central Asia,2005,"Safely managed sanitation facilities, urban (Proportion of population with access)",46.6392
Central Asia,2010,"Safely managed drinking water sources, urban (Proportion of population with access)",87.561
Central Asia,2010,"Safely managed drinking water sources, rural (Proportion of population with access)",41.6068
Central Asia,2010,"Safely managed drinking water sources, total (Proportion of population with access)",63.6564
Central Asia,2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",48.9878
Central Asia,2017,"Safely managed drinking water sources, urban (Proportion of population with access)",90.4079
Central Asia,2017,"Safely managed drinking water sources, rural (Proportion of population with access)",52.9367
Central Asia,2017,"Safely managed drinking water sources, total (Proportion of population with access)",70.9771
Central Asia,2017,"Safely managed sanitation facilities, urban (Proportion of population with access)",49.0401
Eastern Asia,2005,"Safely managed drinking water sources, urban (Proportion of population with access)",94.0145
Eastern Asia,2005,"Safely managed sanitation facilities, urban (Proportion of population with access)",46.1674
Eastern Asia,2005,"Safely managed sanitation facilities, rural (Proportion of population with access)",30.0443
Eastern Asia,2005,"Safely managed sanitation facilities, total (Proportion of population with access)",37.8359
Eastern Asia,2010,"Safely managed drinking water sources, urban (Proportion of population with access)",93.7793
Eastern Asia,2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",59.306
Eastern Asia,2010,"Safely managed sanitation facilities, rural (Proportion of population with access)",38.0454
Eastern Asia,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",49.612
Eastern Asia,2017,"Safely managed drinking water sources, urban (Proportion of population with access)",93.3345
Eastern Asia,2017,"Safely managed sanitation facilities, urban (Proportion of population with access)",78.1505
Eastern Asia,2017,"Safely managed sanitation facilities, rural (Proportion of population with access)",56.2169
Eastern Asia,2017,"Safely managed sanitation facilities, total (Proportion of population with access)",69.7828
Southern Asia,2005,"Safely managed drinking water sources, urban (Proportion of population with access)",62.3094
Southern Asia,2005,"Safely managed drinking water sources, rural (Proportion of population with access)",38.6088
Southern Asia,2005,"Safely managed drinking water sources, total (Proportion of population with access)",45.8889
Southern Asia,2005,"Safely managed sanitation facilities, rural (Proportion of population with access)",14.441
Southern Asia,2010,"Safely managed drinking water sources, urban (Proportion of population with access)",60.692
Southern Asia,2010,"Safely managed drinking water sources, rural (Proportion of population with access)",47.1031
Southern Asia,2010,"Safely managed drinking water sources, total (Proportion of population with access)",51.5245
Southern Asia,2010,"Safely managed sanitation facilities, rural (Proportion of population with access)",24.3007
Southern Asia,2017,"Safely managed drinking water sources, urban (Proportion of population with access)",58.5362
Southern Asia,2017,"Safely managed drinking water sources, rural (Proportion of population with access)",59.8674
Southern Asia,2017,"Safely managed drinking water sources, total (Proportion of population with access)",59.3972
Southern Asia,2017,"Safely managed sanitation facilities, rural (Proportion of population with access)",38.6564
Western Asia,2005,"Safely managed drinking water sources, total (Proportion of population with access)",67.9314
Western Asia,2005,"Safely managed sanitation facilities, urban (Proportion of population with access)",57.1549
Western Asia,2005,"Safely managed sanitation facilities, total (Proportion of population with access)",38.4308
Western Asia,2010,"Safely managed drinking water sources, total (Proportion of population with access)",71.8305
Western Asia,2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",60.8876
Western Asia,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",42.4386
Western Asia,2017,"Safely managed drinking water sources, total (Proportion of population with access)",75.755
Western Asia,2017,"Safely managed sanitation facilities, urban (Proportion of population with access)",64.0067
Western Asia,2017,"Safely managed sanitation facilities, total (Proportion of population with access)",45.9448
Europe,2005,"Safely managed drinking water sources, total (Proportion of population with access)",90.9858
Europe,2005,"Safely managed sanitation facilities, urban (Proportion of population with access)",74.2759
Europe,2005,"Safely managed sanitation facilities, rural (Proportion of population with access)",42.9922
Europe,2005,"Safely managed sanitation facilities, total (Proportion of population with access)",65.5004
Europe,2010,"Safely managed drinking water sources, total (Proportion of population with access)",92.3859
Europe,2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",77.9019
Europe,2010,"Safely managed sanitation facilities, rural (Proportion of population with access)",50.0714
Europe,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",75.6472
Europe,2017,"Safely managed drinking water sources, total (Proportion of population with access)",93.4155
Europe,2017,"Safely managed sanitation facilities, urban (Proportion of population with access)",81.0972
Europe,2017,"Safely managed sanitation facilities, rural (Proportion of population with access)",53.3005
Europe,2017,"Safely managed sanitation facilities, total (Proportion of population with access)",78.8739
Eastern Europe,2005,"Safely managed drinking water sources, total (Proportion of population with access)",79.7097
Eastern Europe,2005,"Safely managed sanitation facilities, urban (Proportion of population with access)",53.8088
Eastern Europe,2005,"Safely managed sanitation facilities, total (Proportion of population with access)",45.482
Eastern Europe,2010,"Safely managed drinking water sources, total (Proportion of population with access)",82.6581
Eastern Europe,2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",56.1198
Eastern Europe,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",48.8809
Eastern Europe,2017,"Safely managed drinking water sources, total (Proportion of population with access)",84.9536
Eastern Europe,2017,"Safely managed sanitation facilities, urban (Proportion of population with access)",61.407
Eastern Europe,2017,"Safely managed sanitation facilities, total (Proportion of population with access)",54.7528
Northern Europe,2005,"Safely managed drinking water sources, total (Proportion of population with access)",98.1081
Northern Europe,2005,"Safely managed sanitation facilities, urban (Proportion of population with access)",94.7612
