,Year,Series,Value
"Total, all countries or areas",2000,Percentage of individuals using the internet,6.5
"Total, all countries or areas",2005,Percentage of individuals using the internet,15.7
"Total, all countries or areas",2010,Percentage of individuals using the internet,28.7
"Total, all countries or areas",2014,Percentage of individuals using the internet,39.7
"Total, all countries or areas",2015,Percentage of individuals using the internet,42.8
"Total, all countries or areas",2016,Percentage of individuals using the internet,45.5
"Total, all countries or areas",2017,Percentage of individuals using the internet,48.6
Northern Africa,2000,Percentage of individuals using the internet,0.6
Northern Africa,2005,Percentage of individuals using the internet,9.6
Northern Africa,2010,Percentage of individuals using the internet,24.6
Northern Africa,2014,Percentage of individuals using the internet,35.3
Northern Africa,2015,Percentage of individuals using the internet,38.9
Northern Africa,2016,Percentage of individuals using the internet,41.7
Northern Africa,2017,Percentage of individuals using the internet,45.5
Sub-Saharan Africa,2000,Percentage of individuals using the internet,0.5
Sub-Saharan Africa,2005,Percentage of individuals using the internet,2.1
Sub-Saharan Africa,2010,Percentage of individuals using the internet,6.5
Sub-Saharan Africa,2014,Percentage of individuals using the internet,14.3
Sub-Saharan Africa,2015,Percentage of individuals using the internet,17.7
Sub-Saharan Africa,2016,Percentage of individuals using the internet,19.5
Sub-Saharan Africa,2017,Percentage of individuals using the internet,21.8
Eastern Africa,2000,Percentage of individuals using the internet,0.2
Eastern Africa,2005,Percentage of individuals using the internet,1.3
Eastern Africa,2010,Percentage of individuals using the internet,4.5
Eastern Africa,2014,Percentage of individuals using the internet,9.8
Eastern Africa,2015,Percentage of individuals using the internet,13.3
Eastern Africa,2016,Percentage of individuals using the internet,15
Eastern Africa,2017,Percentage of individuals using the internet,17.6
Middle Africa,2000,Percentage of individuals using the internet,0.1
Middle Africa,2005,Percentage of individuals using the internet,0.7
Middle Africa,2010,Percentage of individuals using the internet,2.1
Middle Africa,2014,Percentage of individuals using the internet,7
Middle Africa,2015,Percentage of individuals using the internet,8.7
Middle Africa,2016,Percentage of individuals using the internet,10.5
Middle Africa,2017,Percentage of individuals using the internet,12.2
Southern Africa,2000,Percentage of individuals using the internet,4.9
Southern Africa,2005,Percentage of individuals using the internet,7
Southern Africa,2010,Percentage of individuals using the internet,22
Southern Africa,2014,Percentage of individuals using the internet,45.9
Southern Africa,2015,Percentage of individuals using the internet,48.9
Southern Africa,2016,Percentage of individuals using the internet,51.2
Southern Africa,2017,Percentage of individuals using the internet,53.4
Western Africa,2000,Percentage of individuals using the internet,0.1
Western Africa,2005,Percentage of individuals using the internet,2.5
Western Africa,2010,Percentage of individuals using the internet,7.7
Western Africa,2014,Percentage of individuals using the internet,16.7
Western Africa,2015,Percentage of individuals using the internet,21.1
Western Africa,2016,Percentage of individuals using the internet,22.9
Western Africa,2017,Percentage of individuals using the internet,25.2
Northern America,2000,Percentage of individuals using the internet,40.5
Northern America,2005,Percentage of individuals using the internet,68.7
Northern America,2010,Percentage of individuals using the internet,75.2
Northern America,2014,Percentage of individuals using the internet,78.1
Northern America,2015,Percentage of individuals using the internet,79.3
Northern America,2016,Percentage of individuals using the internet,80.4
Northern America,2017,Percentage of individuals using the internet,80.7
Latin America & the Caribbean,2000,Percentage of individuals using the internet,3.9
Latin America & the Caribbean,2005,Percentage of individuals using the internet,16.6
Latin America & the Caribbean,2010,Percentage of individuals using the internet,34.7
Latin America & the Caribbean,2014,Percentage of individuals using the internet,48.7
Latin America & the Caribbean,2015,Percentage of individuals using the internet,54.5
Latin America & the Caribbean,2016,Percentage of individuals using the internet,57.4
Latin America & the Caribbean,2017,Percentage of individuals using the internet,62.1
Caribbean,2000,Percentage of individuals using the internet,2.9
Caribbean,2005,Percentage of individuals using the internet,12.6
Caribbean,2010,Percentage of individuals using the internet,23.7
Caribbean,2014,Percentage of individuals using the internet,36.5
Caribbean,2015,Percentage of individuals using the internet,39.9
Caribbean,2016,Percentage of individuals using the internet,44.8
Caribbean,2017,Percentage of individuals using the internet,47.6
Latin America,2000,Percentage of individuals using the internet,4
Latin America,2005,Percentage of individuals using the internet,16.9
Latin America,2010,Percentage of individuals using the internet,35.5
Latin America,2014,Percentage of individuals using the internet,49.6
Latin America,2015,Percentage of individuals using the internet,55.5
Latin America,2016,Percentage of individuals using the internet,58.3
Latin America,2017,Percentage of individuals using the internet,63.2
Asia,2010,Percentage of individuals using the internet,22.6
Asia,2014,Percentage of individuals using the internet,35
Asia,2015,Percentage of individuals using the internet,38.6
Asia,2016,Percentage of individuals using the internet,41.8
