,Year,Series,Value
Afghanistan,2010,Tourism expenditure (millions of US dollars),147
Afghanistan,2015,Tourism expenditure (millions of US dollars),87
Afghanistan,2016,Tourism expenditure (millions of US dollars),69
Afghanistan,2017,Tourism expenditure (millions of US dollars),19
Albania,2010,Tourist/visitor arrivals (thousands),"2,191"
Albania,2015,Tourist/visitor arrivals (thousands),"3,784"
Albania,2016,Tourist/visitor arrivals (thousands),"4,070"
Albania,2017,Tourist/visitor arrivals (thousands),"4,643"
Albania,1995,Tourism expenditure (millions of US dollars),70
Albania,2005,Tourism expenditure (millions of US dollars),880
Albania,2010,Tourism expenditure (millions of US dollars),"1,778"
Albania,2015,Tourism expenditure (millions of US dollars),"1,613"
Albania,2016,Tourism expenditure (millions of US dollars),"1,820"
Albania,2017,Tourism expenditure (millions of US dollars),"2,049"
Algeria,1995,Tourist/visitor arrivals (thousands),520
Algeria,2005,Tourist/visitor arrivals (thousands),"1,443"
Algeria,2010,Tourist/visitor arrivals (thousands),"2,070"
Algeria,2015,Tourist/visitor arrivals (thousands),"1,710"
Algeria,2016,Tourist/visitor arrivals (thousands),"2,039"
Algeria,2017,Tourist/visitor arrivals (thousands),"2,451"
Algeria,2005,Tourism expenditure (millions of US dollars),477
Algeria,2010,Tourism expenditure (millions of US dollars),324
Algeria,2015,Tourism expenditure (millions of US dollars),347
Algeria,2016,Tourism expenditure (millions of US dollars),246
Algeria,2017,Tourism expenditure (millions of US dollars),172
American Samoa,1995,Tourist/visitor arrivals (thousands),34
American Samoa,2005,Tourist/visitor arrivals (thousands),25
American Samoa,2010,Tourist/visitor arrivals (thousands),23
American Samoa,2015,Tourist/visitor arrivals (thousands),20
American Samoa,2016,Tourist/visitor arrivals (thousands),20
American Samoa,2017,Tourist/visitor arrivals (thousands),20
Andorra,2005,Tourist/visitor arrivals (thousands),"2,418"
Andorra,2010,Tourist/visitor arrivals (thousands),"1,808"
Andorra,2015,Tourist/visitor arrivals (thousands),"2,663"
