,Year,Series,Value
"Total, all countries or areas",1975,Net official development assistance received: Bilateral  (millions of US dollars),15188.71
"Total, all countries or areas",1985,Net official development assistance received: Bilateral  (millions of US dollars),26347.81
"Total, all countries or areas",1995,Net official development assistance received: Bilateral  (millions of US dollars),48267.84
"Total, all countries or areas",2005,Net official development assistance received: Bilateral  (millions of US dollars),82922.81
"Total, all countries or areas",2010,Net official development assistance received: Bilateral  (millions of US dollars),94440.61
"Total, all countries or areas",2015,Net official development assistance received: Bilateral  (millions of US dollars),117371.81
"Total, all countries or areas",2016,Net official development assistance received: Bilateral  (millions of US dollars),116518.92
"Total, all countries or areas",1975,Net official development assistance received: Multilateral (millions of US dollars),3596.63
"Total, all countries or areas",1985,Net official development assistance received: Multilateral (millions of US dollars),5920.24
"Total, all countries or areas",1995,Net official development assistance received: Multilateral (millions of US dollars),11003.72
"Total, all countries or areas",2005,Net official development assistance received: Multilateral (millions of US dollars),25619.61
"Total, all countries or areas",2010,Net official development assistance received: Multilateral (millions of US dollars),37133.33
"Total, all countries or areas",2015,Net official development assistance received: Multilateral (millions of US dollars),35367.72
"Total, all countries or areas",2016,Net official development assistance received: Multilateral (millions of US dollars),40492.5
"Total, all countries or areas",1975,Net official development assistance received: Total (millions of US dollars),18785.34
"Total, all countries or areas",1985,Net official development assistance received: Total (millions of US dollars),32268.05
"Total, all countries or areas",1995,Net official development assistance received: Total (millions of US dollars),59271.56
"Total, all countries or areas",2005,Net official development assistance received: Total (millions of US dollars),108542.42
"Total, all countries or areas",2010,Net official development assistance received: Total (millions of US dollars),131573.94
"Total, all countries or areas",2015,Net official development assistance received: Total (millions of US dollars),152739.53
"Total, all countries or areas",2016,Net official development assistance received: Total (millions of US dollars),157011.42
"Total, all countries or areas",1975,Net official development assistance received: Total (as % GNI),1.67
"Total, all countries or areas",1985,Net official development assistance received: Total (as % GNI),1.32
"Total, all countries or areas",1995,Net official development assistance received: Total (as % GNI),1.07
"Total, all countries or areas",2005,Net official development assistance received: Total (as % GNI),1.17
"Total, all countries or areas",2010,Net official development assistance received: Total (as % GNI),0.69
"Total, all countries or areas",2015,Net official development assistance received: Total (as % GNI),0.62
"Total, all countries or areas",2016,Net official development assistance received: Total (as % GNI),0.64
Africa,1975,Net official development assistance received: Bilateral  (millions of US dollars),5670.62
Africa,1985,Net official development assistance received: Bilateral  (millions of US dollars),10076.26
Africa,1995,Net official development assistance received: Bilateral  (millions of US dollars),16827.92
Africa,2005,Net official development assistance received: Bilateral  (millions of US dollars),24081.16
Africa,2010,Net official development assistance received: Bilateral  (millions of US dollars),30087.09
Africa,2015,Net official development assistance received: Bilateral  (millions of US dollars),34917.57
Africa,2016,Net official development assistance received: Bilateral  (millions of US dollars),31113.95
Africa,2017,Net official development assistance received: Bilateral  (millions of US dollars),33433.34
Africa,1975,Net official development assistance received: Multilateral (millions of US dollars),1104.8
Africa,1985,Net official development assistance received: Multilateral (millions of US dollars),2246.91
Africa,1995,Net official development assistance received: Multilateral (millions of US dollars),5015.19
Africa,2005,Net official development assistance received: Multilateral (millions of US dollars),11740.06
Africa,2010,Net official development assistance received: Multilateral (millions of US dollars),17732.41
